Name,Publications,publication,Citation,h-index
"380. Mundepi, Urvashi",1,2014,0,0
"384. Naithani, Shweta",1,2012,0,0
"387. Nautiyal, Maynak",1,2014,0,0
"395. P, Bhatt R.",1,2013,0,0
"396. Pai, Manju O.",1,2016,0,0
"399. Pandey, Mukesh",1,2016,0,0
"404. Pandey, Rajiv",1,2017,0,0
"405. Pandey, Richa Joshi",1,2013,0,0
"407. Panwar, Narayan Singh",1,2016,0,0
"410. Phartyal, Punam",1,2012,0,0
"411. Pinder, Rohit",1,2016,0,0
413. Poonam,1,2016,0,0
"424. Raturi, Deepali",1,2016,0,0
"425. Rawat, A. S.",1,2013,0,0
"427. Rawat, Dinesh Singh",1,2015,0,0
"428. Rawat, Geeta",1,2015,0,0
"434. Richa, Gupta",1,2013,0,0
"435. Rout, Prakash Chandra",1,2016,0,0
"438. Saklani, Kumud",1,2015,0,0
"439. Sakshi, Ravinder Singh",1,2011,0,0
"439. Sakshi, Ravinder Singh",1,2011,0,0
"444. Sati, Pradeep C.",1,2016,0,0
"449. Shah, K. N.",1,2016,0,0
"451. Sharma, C. M.",1,2016,0,0
"456. Sharma, Monika",1,2013,0,0
"460. Sharma, Rakesh B.",1,2011,0,0
"465. Sheikh, Mehraj Ahamd",1,2015,0,0
"469. Shukla, Tanuj",1,2016,0,0
"471. Singh, Darshan D.",1,2015,0,0
"474. Singh, Khushboo",1,2017,0,0
"479. Singh, Rajat N.",1,2015,0,0
"484. Singh, Shurveer",1,2016,0,0
"Singh, Sushma",1,2016,0,0
"Singh, Upendra",1,2016,0,0
"Srivastav, R. K.",1,2013,0,0
"Thapliyal, Rohitash",1,2011,0,0
"Uniyal, Shweta",1,2016,0,0
"Upadhayay, Trilok Chandra",1,2011,0,0
