Name,,Publications,publication,Citations,h-index
"316. Mondal, Subhas",,3,2015,9,11
"317. Mukherjee, Sutapa K.",,3,2014,39,11
"318. Mukhopadhyay, Debdip",,3,2016,19,2
"319. Mukhopadhyay, Sutapa",,3,2015,0,0
"320. Narayan Ghosh, Uday",,3,2012,23,3
"321. Pal, Durba",,3,2012,273,5
"322. Pal, Sougata K.",,3,2012,44,11
"323. Pal, Soumojit",,3,2016,3,1
"324. Pan, Sandip",,3,2017,2,1
"325. Rahaman, Chowdhury Habibur",,3,2014,2,2
"326. Ray, Atish K.",,3,2014,9,4
"327. Ray, Santanu",,3,2014,5,1
"328. Rout, Tofan Kumar",,3,2014,27,5
"329. Roy, Sukhendu C.",,3,2012,0,3
"330. Saha, DulalChandra",,3,2012,15,2
"331. Saren, Binoy Kumar",,3,2015,0,2
"332. Sarkar, Anirban",,3,2016,20,5
"333. Sarkar, Shrabanti",,3,2014,4,2
"334. Sarkar, Sucharita",,3,2016,15,3
"335. Seal, Soma",,3,2015,47,2
"336. Sk, Ismail",,3,2012,116,4
"337. Sukul, Soma",,3,2013,11,2
"338. Ukil, Bidisha",,3,2016,3,1
"339. Urinda, Sharmistha",,3,2016,8,3
"340. Verma, Satish Kumar",,3,2014,4,5
"341. Wickramage, Nadeesha",,3,2016,9,57
"342. Agarwal, Khusbu",,2,2014,2,1
"343. Arukha, Ananta Prasad",,2,2015,2,1
"344. Bag, T.",,2,2013,1,5
"345. Bandyopadhyay, Amitava",,2,2016,1,6
"346. Banerjee, Nirmalya C.",,2,2013,3,7
"347. Banerjee, Sambhu Nath",,2,2016,3,1
"348. Basu, Saswati N.",,2,2014,3,7
"349. Bergholz, Matthias",,2,2011,90,56
"350. Bhattacharya, Debapriya N.",,2,2014,2,6
"351. Bhattacharya, Kashinath",,2,2016,2,1
"352. Bhattacharya, Shelley",,2,2016,15,3
"353. Bhattacharya, Shewli",,2,2013,0,0
"354. Chakraborty, Amrita",,2,2016,3,3
"355. Chakraborty, N. R.",,2,2012,0,1
"356. Chakraborty, N. R.",,2,2016,0,1
"357. Chakraborty, Subhankar",,2,2015,0,2
"358. Chakraborty, Subrata",,2,2014,0,0
"359. Chakravorty, Ranita",,2,2014,1,1
"360. Chakravorty, S.",,2,2015,0,0
"361. Chandra Bag, Bidhan",,2,2016,6,2
"362. Chatterjee, Ansuman",,2,2016,3,1
"363. Chatterjee, Ashis Kumar",,2,2016,2,2
"364. Chatterjee, Debjani",,2,2016,0,0
"365. Chatterjee, Prasanta",,2,2015,1,1
"366. Chatterjee, Rajashi",,2,2016,1,1
"367. Chattopadhyay, Mrittika K.",,2,2017,0,4
"368. Deb, Prahlad",,2,2016,0,0
"369. Debnath, Manojit",,2,2012,8,2
"370. Ghosh, Arghya Pratim",,2,2016,10,2
