Name,,Publications,publication,citations,h-index
"295. Deka, Bhabesh",,4,2016,7,2
"296. Deka, Ramesh Ch",,4,2016,7,1
"297. Deka, Rashmi",,4,2016,0,0
"298. Dey, Mamon",,4,2016,29,3
"299. Dutta, Anisha",,4,2014,38,4
"300. Dutta, Malay",,4,2014,13,2
"301. Dutta, Papia",,4,2014,9,2
"302. Francis, Ng K.",,4,2015,9,1
"303. Gogoi, Bhaskarjyoti",,4,2017,9,2
"304. Gogoi, Nilima",,4,2016,6,1
"305. Gogoi, Ujjal",,4,2014,19,3
"306. Gohain, Munmi",,4,2016,0,0
"307. Goswami, Bondita",,4,2015,5,1
"308. Haloi, A.",,4,2017,2,1
"309. Haloi, Rajib",,4,2016,2,3
"310. Hazarika, Nabajit",,4,2016,4,1
"311. Hazarika, Shabiha Nudrat",,4,2016,16,2
"312. Hussain, Iftikar",,4,2016,8,2
"313. Hussain, Nazneen",,4,2017,1,1
"314. Kirtania, Sushen",,4,2015,14,3
"315. Konwar, Shruti",,4,2014,2,1
"316. Lakshmi Kantham, M.",,4,2016,9,51
"317. Majumdar, Sourav",,4,2016,13,3
"318. Medhi, Tapas",,4,2017,10,2
"319. Pegu, Rupa",,4,2015,23,3
"320. Puzari, Panchanan",,4,2016,36,8
"321. Rai, Sudhirkumar",,4,2014,74,11
"322. Rajkhowa, Pritom",,4,2016,6,1
"323. Roy, Buddhadeb R.",,4,2014,46,6
"324. Sagar, Kalpana",,4,2017,46,3
"325. Saikia, Chinmayee N.",,4,2017,3,3
"326. Saikia, Debashree",,4,2014,51,7
"327. Saikia, Pankaj",,4,2013,21,6
"328. Samyor, Duyi",,4,2016,1,1
"329. Sarmah, Pubalee",,4,2014,33,6
"330. Sharma, Maitreyee",,4,2016,7,1
"331. Srivastava, B.",,4,2017,1,3
"332. Adhikari, Binoy",,3,2012,30,3
"333. Ahmed, Kabirun",,3,2017,6,1
"334. Ahmed, Tazuddin",,3,2013,4,1
"335. Ankireddy, Seshadri Reddy",,3,2013,35,3
"336. Baishya, A. C.",,3,2013,7,2
"337. Banik, Nibedita",,3,2015,18,2
"338. Barbora, Madhumita",,3,2015,0,0
"339. Bardalai, Monoj",,3,2016,0,0
"340. Barman, Anjan",,3,2016,0,0
"341. Baruah, Dipal",,3,2017,28,2
"342. Bhattacharyya, Rupam",,3,2017,0,2
"343. Bhuyan, Pranamika",,3,2016,1,1
"344. Bonjyotsna, Ananya",,3,2016,1,1
"345. Bora, Dilip Kumar",,3,2012,19,7
"346. Bora, Pritom Jyoti",,3,2015,5,1
"347. Borah, Kalyan Jyoti",,3,2011,18,5
"348. Borah, Manikanta",,3,2015,14,2
"349. Borah, Rajiv",,3,2016,12,2
"350. Borah, Suchibrata",,3,2015,7,2
"351. Boro, Debojit",,3,2016,2,1
"352. Bose, Surya Sekhar",,3,2013,33,3
"353. Brahma, Rajeev Kungur",,3,2017,21,2
"354. Buragohain, Mridusmita",,3,2016,3,1
"355. Choudhury, Arup Jyoti",,3,2016,10,13
"356. Chutia, R.",,3,2014,1,1
"357. Das, Monimala P.",,3,2015,2,1
"358. Datta, Sumit",,3,2016,0,0
"359. Deka, Ram Charan",,3,2014,1,1
"360. Devi, Rasna",,3,2015,14,2
"361. Devi, Runjun",,3,2016,3,1
"362. Dutta, Anupam",,3,2015,6,2
"363. Dutta, Malayananda Ananda",,3,2016,3,3
"364. Dutta, Rekha Rani",,3,2016,32,1
"365. Ghosh, Santanu K.",,3,2013,2,18
"366. Gogoi, Anindita",,3,2016,7,1
"367. Gogoi, Debananda",,3,2016,11,2
"368. Gogoi, Krishna",,3,2013,16,2
