University,Citations per Faculty-17,Citations per Faculty-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
University of Hawai'i at Mañoa,40.2,46.2,,,-0.149253731,0.022276676,0.149253731
The University of Hong Kong,47.3,46.3,,,0.021141649,0.000446969,0.021141649
National Chung Hsing University,50.2,46.3,,,0.077689243,0.006035618,0.077689243
Clark University,50.5,46.3,,,0.083168317,0.006916969,0.083168317
The University of Nottingham,50.7,46.3,,,0.08678501,0.007531638,0.08678501
University of Naples - Federico II,47.3,46.4,,,0.019027484,0.000362045,0.019027484
University of Miami,35.1,46.5,,,-0.324786325,0.105486157,0.324786325
Chang Gung University,50.1,46.5,,,0.071856287,0.005163326,0.071856287
North Carolina State University,50.1,46.7,,,0.067864271,0.004605559,0.067864271
"University of Illinois, Chicago (UIC)",44.8,46.9,,,-0.046875,0.002197266,0.046875
University of Crete,45.4,47.2,,,-0.039647577,0.00157193,0.039647577
University of Birmingham,50.1,47.2,,,0.057884232,0.003350584,0.057884232
Macquarie University,51.4,47.2,,,0.081712062,0.006676861,0.081712062
The University of Manchester,53.5,47.5,,,0.112149533,0.012577518,0.112149533
Lehigh University,55.3,47.6,,,0.139240506,0.019387919,0.139240506
Universitat Pompeu Fabra,44.4,47.7,,,-0.074324324,0.005524105,0.074324324
University of Surrey,43.8,47.8,,,-0.091324201,0.00834011,0.091324201
The University of Auckland,50,48.1,,,0.038,0.001444,0.038
Freie Universitaet Berlin,51.8,48.3,,,0.067567568,0.004565376,0.067567568
Tohoku University,52.3,48.4,,,0.07456979,0.005560654,0.07456979
University College Dublin,56.5,48.4,,,0.143362832,0.020552902,0.143362832
University of Science and Technology Beijing,44.3,48.7,,,-0.099322799,0.009865018,0.099322799
Julius-Maximilians-Universität Würzburg,53,48.7,,,0.081132075,0.006582414,0.081132075
Universität Stuttgart,34.6,48.8,,,-0.410404624,0.168431956,0.410404624
University of Oslo,56.7,48.9,,,0.137566138,0.018924442,0.137566138
"The University of Newcastle, Australia (UON)",44.1,49.1,,,-0.113378685,0.012854726,0.113378685
Stockholm University,49.5,49.2,,,0.006060606,3.67309E-05,0.006060606
Ben Gurion University of The Negev,51.8,49.2,,,0.05019305,0.002519342,0.05019305
National Cheng Kung University (NCKU),57.1,49.3,,,0.136602452,0.01866023,0.136602452
Cranfield University,53.7,49.4,,,0.080074488,0.006411924,0.080074488
Tokyo University of Agriculture and Technology,46.6,49.5,,,-0.06223176,0.003872792,0.06223176
University of Alberta,49.8,49.6,,,0.004016064,1.61288E-05,0.004016064
Illinois Institute of Technology,39.4,49.7,,,-0.26142132,0.068341106,0.26142132
Tianjin University,47.8,49.7,,,-0.039748954,0.001579979,0.039748954
Brunel University London,48.8,49.8,,,-0.020491803,0.000419914,0.020491803
University of East Anglia (UEA),59.5,49.8,,,0.16302521,0.026577219,0.16302521
Université de Montréal,48.5,49.9,,,-0.028865979,0.000833245,0.028865979
University of Toronto,50,50,,,0,0,0
The University of Sheffield,52,50.1,,,0.036538462,0.001335059,0.036538462
University of Trento,48.5,50.2,,,-0.035051546,0.001228611,0.035051546
The Hebrew University of Jerusalem,51.4,50.4,,,0.019455253,0.000378507,0.019455253
The Chinese University of Hong Kong (CUHK),53.4,50.7,,,0.050561798,0.002556495,0.050561798
Missouri University of Science and Technology,57.3,50.7,,,0.115183246,0.01326718,0.115183246
Indian Institute of Technology Bombay (IITB),48.5,50.8,48.5,50.8,-0.04742268,0.002248911,0.04742268
Ecole Polytechnique,56,50.8,,,0.092857143,0.008622449,0.092857143
University of Leicester,43.7,50.9,,,-0.164759725,0.027145767,0.164759725
Queen's University Belfast,45.3,50.9,,,-0.123620309,0.015281981,0.123620309
University Ulm,52.6,51.2,,,0.02661597,0.00070841,0.02661597
University of South Florida,53.3,51.2,,,0.039399625,0.00155233,0.039399625
University of Pittsburgh,52.9,51.3,,,0.030245747,0.000914805,0.030245747
University of Reading,61.8,51.6,,,0.165048544,0.027241022,0.165048544
University of Modena and Reggio Emilia,49.3,51.7,,,-0.048681542,0.002369892,0.048681542
Lund University,51.7,51.8,,,-0.001934236,3.74127E-06,0.001934236
Quaid-i-Azam University,48.3,51.9,,,-0.074534161,0.005555341,0.074534161
Huazhong University of Science and Technology,48.8,52,,,-0.06557377,0.004299919,0.06557377
University of Colorado Boulder,53.9,52,,,0.035250464,0.001242595,0.035250464
Louisiana State University,49.7,52.1,,,-0.048289738,0.002331899,0.048289738
Universita' degli Studi di Ferrara,54.7,52.2,,,0.045703839,0.002088841,0.045703839
National Sun Yat-sen University,58.2,52.2,,,0.103092784,0.010628122,0.103092784
Hong Kong Baptist University,50.2,52.6,,,-0.047808765,0.002285678,0.047808765
University of Porto,54.4,52.8,,,0.029411765,0.000865052,0.029411765
Stellenbosch University,44.7,52.9,,,-0.18344519,0.033652138,0.18344519
University of Brescia,48.9,52.9,,,-0.081799591,0.006691173,0.081799591
University of York,60,53,,,0.116666667,0.013611111,0.116666667
Politecnico di Milano,57.7,53.1,,,0.079722704,0.006355709,0.079722704
University of Virginia,54.9,53.3,,,0.029143898,0.000849367,0.029143898
University of Groningen,45,53.6,,,-0.191111111,0.036523457,0.191111111
Albert-Ludwigs-Universitaet Freiburg,54.7,53.8,,,0.016453382,0.000270714,0.016453382
The University of Warwick,58.2,54.1,,,0.070446735,0.004962743,0.070446735
University of Wisconsin-Madison,56.4,54.2,,,0.039007092,0.001521553,0.039007092
The Hong Kong Polytechnic University,59.3,54.5,,,0.080944351,0.006551988,0.080944351
Université catholique de Louvain (UCL),37.8,54.6,,,-0.444444444,0.197530864,0.444444444
University of Sussex,73,54.7,,,0.250684932,0.062842935,0.250684932
Case Western Reserve University,59.3,54.9,,,0.074198988,0.00550549,0.074198988
Ludwig-Maximilians-Universität München,49.3,55.1,,,-0.117647059,0.01384083,0.117647059
The University of Adelaide,48,55.2,,,-0.15,0.0225,0.15
INSEAD,61.4,55.2,,,0.100977199,0.010196395,0.100977199
Ghent University,33.7,55.3,,,-0.640949555,0.410816332,0.640949555
University of Glasgow,57.6,55.5,,,0.036458333,0.00132921,0.036458333
The University of Edinburgh,61.7,55.5,,,0.100486224,0.010097481,0.100486224
Vrije Universiteit Amsterdam,56.1,55.8,,,0.005347594,2.85968E-05,0.005347594
Clarkson University,55.3,55.9,,,-0.01084991,0.000117721,0.01084991
University of Southampton,56.2,56,,,0.003558719,1.26645E-05,0.003558719
Kyoto University,60.3,56.4,,,0.064676617,0.004183065,0.064676617
University of Bristol,62.7,56.4,,,0.100478469,0.010095923,0.100478469
Uppsala University,59.5,56.5,,,0.050420168,0.002542193,0.050420168
Ruhr-Universität Bochum,42.3,56.7,,,-0.340425532,0.115889543,0.340425532
Wageningen University,50.8,56.7,,,-0.116141732,0.013488902,0.116141732
James Cook University,49.4,56.8,,,-0.149797571,0.022439312,0.149797571
University of Canterbury,54.8,56.8,,,-0.03649635,0.001331984,0.03649635
University of Bath,61.1,56.9,,,0.068739771,0.004725156,0.068739771
Texas A&M University,83.1,57,,,0.314079422,0.098645884,0.314079422
University of Otago,52.8,57.2,,,-0.083333333,0.006944444,0.083333333
Justus-Liebig-University Giessen,40.6,58,,,-0.428571429,0.183673469,0.428571429
Purdue University,63.6,58,,,0.088050314,0.007752858,0.088050314
South China University of Technology,65.2,58.3,,,0.105828221,0.011199612,0.105828221
The University of Exeter,60,58.6,,,0.023333333,0.000544444,0.023333333
Nankai University,70.3,58.6,,,0.166429587,0.027698808,0.166429587
WHU - Otto Beisheim School of Management,47.1,58.9,,,-0.250530786,0.062765675,0.250530786
University of Aberdeen,56.1,59,,,-0.051693405,0.002672208,0.051693405
University of Wollongong,56.2,59.4,,,-0.056939502,0.003242107,0.056939502
Bangor University,54.9,59.5,,,-0.083788707,0.007020547,0.083788707
Indian Institute of Technology Guwahati (IITG),62.3,59.5,62.3,59.5,0.04494382,0.002019947,0.04494382
Michigan State University,62.5,59.5,,,0.048,0.002304,0.048
University of Bergen,53.3,59.7,,,-0.120075047,0.014418017,0.120075047
Boston University,63.1,59.8,,,0.05229794,0.002735075,0.05229794
Harbin Institute of Technology,64.4,60,,,0.068322981,0.00466803,0.068322981
HEC Paris School of Management,58.2,60.2,,,-0.034364261,0.001180902,0.034364261
McGill University,63.1,61.4,,,0.026941363,0.000725837,0.026941363
"University of North Carolina, Chapel Hill",74.7,61.5,,,0.176706827,0.031225303,0.176706827
Dalian University of Technology,71.9,61.6,,,0.14325452,0.020521858,0.14325452
"University of California, Davis",88.7,61.6,,,0.305524239,0.093345061,0.305524239
Peking University,64.8,61.7,,,0.047839506,0.002288618,0.047839506
"Birkbeck, University of London",70,61.7,,,0.118571429,0.014059184,0.118571429
Queen's University at Kingston,65.7,61.9,,,0.057838661,0.003345311,0.057838661
Stockholm School of Economics,63.4,62.2,,,0.018927445,0.000358248,0.018927445
Columbia University,60.5,62.3,,,-0.029752066,0.000885185,0.029752066
Tokyo Institute of Technology,67.5,62.4,,,0.075555556,0.005708642,0.075555556
Tufts University,59.8,62.8,,,-0.050167224,0.00251675,0.050167224
Lanzhou University,58.7,63,,,-0.073253833,0.005366124,0.073253833
