University,Faculty Student-17,Faculty Student-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Gunma University,47.3,46.3,,,0.021141649,0.000446969,0.021141649
University of Szeged,43.9,46.6,,,-0.061503417,0.00378267,0.061503417
Universiti Sains Malaysia (USM),36.8,46.7,,,-0.269021739,0.072372696,0.269021739
University of Leeds,49.3,47,,,0.046653144,0.002176516,0.046653144
"KIT, Karlsruhe Institute of Technology",66,47,,,0.287878788,0.082874197,0.287878788
University of Eastern Finland,62.1,47.5,,,0.23510467,0.055274206,0.23510467
United Arab Emirates University,38.6,47.9,,,-0.240932642,0.058048538,0.240932642
Rheinische Friedrich-Wilhelms-Universität Bonn,48.3,47.9,,,0.008281573,6.85845E-05,0.008281573
University of New Mexico,50.9,48,,,0.05697446,0.003246089,0.05697446
Osaka Prefecture University,49.4,48.1,,,0.026315789,0.000692521,0.026315789
University of Birmingham,49.3,48.2,,,0.022312373,0.000497842,0.022312373
Universidad de la Habana,32.6,48.3,,,-0.481595092,0.231933833,0.481595092
Xi’an Jiaotong University,49.3,48.5,,,0.016227181,0.000263321,0.016227181
Johannes Gutenberg Universität Mainz,47.5,48.7,,,-0.025263158,0.000638227,0.025263158
Jilin University,40,49,,,-0.225,0.050625,0.225
National Chiao Tung University,60.2,49.5,,,0.177740864,0.031591815,0.177740864
Harbin Institute of Technology,49.6,50.3,,,-0.014112903,0.000199174,0.014112903
Universidad de San Andrés - UdeSA,67.8,50.3,,,0.258112094,0.066621853,0.258112094
Universidad Nacional Autónoma de México  (UNAM),49.6,50.9,,,-0.026209677,0.000686947,0.026209677
The University of Warwick,62.9,51.2,,,0.186009539,0.034599549,0.186009539
Chonnam National University,47,51.5,,,-0.095744681,0.009167044,0.095744681
Universität Hamburg,42,51.7,,,-0.230952381,0.053339002,0.230952381
University of Oslo,64,51.7,,,0.1921875,0.036936035,0.1921875
University of Oulu,48.9,52.1,,,-0.065439673,0.004282351,0.065439673
University of Navarra,66.1,52.2,,,0.210287443,0.044220809,0.210287443
Chonbuk National University,51,52.8,,,-0.035294118,0.001245675,0.035294118
University of Liverpool,57.7,53,,,0.081455806,0.006635048,0.081455806
Technische Universität Berlin (TU Berlin),42.7,53.1,,,-0.243559719,0.059321337,0.243559719
Lund University,49.3,53.7,,,-0.089249493,0.007965472,0.089249493
Ajou University,55.5,53.7,,,0.032432432,0.001051863,0.032432432
University of Aberdeen,63.7,53.7,,,0.156985871,0.024644564,0.156985871
Lobachevsky University,44.8,54.7,,,-0.220982143,0.048833107,0.220982143
Universidade Estadual de Londrina,43.5,54.9,,,-0.262068966,0.068680143,0.262068966
The Hong Kong University of Science and Technology,45.7,54.9,,,-0.20131291,0.040526888,0.20131291
Yamaguchi University,56.4,54.9,,,0.026595745,0.000707334,0.026595745
Universitat Politècnica de Catalunya,50.4,55,,,-0.091269841,0.008330184,0.091269841
"University of Maryland, College Park",55.5,55,,,0.009009009,8.11622E-05,0.009009009
University of Geneva,53.7,55.1,,,-0.026070764,0.000679685,0.026070764
Pontifícia Universidade Católica de São Paulo,55.2,55.2,,,0,0,0
The Australian National University,56.5,55.3,,,0.021238938,0.000451092,0.021238938
Radboud University,50.4,55.5,,,-0.101190476,0.010239512,0.101190476
London School of Economics and Political Science (LSE),57.1,55.9,,,0.021015762,0.000441662,0.021015762
Universiti Putra Malaysia (UPM),48.9,56,,,-0.145194274,0.021081377,0.145194274
The New School,53.8,56,,,-0.040892193,0.001672171,0.040892193
Umm Al-Qura University,57.7,56,,,0.029462738,0.000868053,0.029462738
Indian Institute of Science (IISc) Bangalore,69.3,56.1,69.3,56.1,0.19047619,0.036281179,0.19047619
Universidad de Montevideo (UM),41.5,56.3,,,-0.356626506,0.127182465,0.356626506
Smith College,44.5,56.3,,,-0.265168539,0.070314354,0.265168539
Newcastle University,54.8,56.5,,,-0.031021898,0.000962358,0.031021898
University of Hawai'i at Mañoa,56.6,56.5,,,0.001766784,3.12153E-06,0.001766784
University of Alberta,53.5,56.6,,,-0.057943925,0.003357498,0.057943925
Cardiff University,54.1,56.6,,,-0.046210721,0.002135431,0.046210721
Christian-Albrechts-University zu Kiel,57.1,57.1,,,0,0,0
Inha University,70.4,57.7,,,0.180397727,0.03254334,0.180397727
The Hong Kong Polytechnic University,48.1,58,,,-0.205821206,0.042362369,0.205821206
Mahidol University,73.3,58,,,0.208731241,0.043568731,0.208731241
"National Technical University  ""Kharkiv Polytechnic Institute""",52.9,58.5,,,-0.105860113,0.011206364,0.105860113
Bond University,49,58.7,,,-0.197959184,0.039187838,0.197959184
Instituto Tecnológico de Buenos Aires (ITBA),65.7,58.8,,,0.105022831,0.011029795,0.105022831
University of York,53.2,58.9,,,-0.107142857,0.011479592,0.107142857
"University of California, San Diego (UCSD)",64.9,58.9,,,0.092449923,0.008546988,0.092449923
Universidad de Zaragoza,47,59,,,-0.255319149,0.065187868,0.255319149
University of Oklahoma,61.8,59.4,,,0.038834951,0.001508153,0.038834951
The University of Nottingham,59,59.5,,,-0.008474576,7.18184E-05,0.008474576
Karaganda State University named after academician E.A.Buketov,56.2,59.7,,,-0.06227758,0.003878497,0.06227758
Qatar University,53.7,59.9,,,-0.115456238,0.013330143,0.115456238
Niigata University,55.1,60,,,-0.08892922,0.007908406,0.08892922
University of Utah,46.2,60.1,,,-0.300865801,0.09052023,0.300865801
Osaka City University,50.3,60.2,,,-0.196819085,0.038737752,0.196819085
"Ecole normale supérieure, Paris",76.6,60.4,,,0.211488251,0.04472728,0.211488251
Chalmers University of Technology,62,60.5,,,0.024193548,0.000585328,0.024193548
University of Virginia,63.6,60.6,,,0.047169811,0.002224991,0.047169811
Keio University,58.9,60.7,,,-0.030560272,0.00093393,0.030560272
University of Glasgow,61.6,60.7,,,0.01461039,0.000213463,0.01461039
University of Ulsan,66.2,60.8,,,0.081570997,0.006653828,0.081570997
