University,International Students-17,International Students-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Karl-Franzens-Universitaet Graz,35.8,37.1,,,-0.036312849,0.001318623,0.036312849
Aarhus University,44.3,37.9,,,0.144469526,0.020871444,0.144469526
Politecnico di Torino,45.7,38.1,,,0.166301969,0.027656345,0.166301969
Western Sydney University,37.2,38.3,,,-0.029569892,0.000874379,0.029569892
Chung-Ang University (CAU),37.3,38.3,,,-0.026809651,0.000718757,0.026809651
Universität Frankfurt am Main,41.4,38.3,,,0.074879227,0.005606899,0.074879227
Manchester Metropolitan University,41.4,38.3,,,0.074879227,0.005606899,0.074879227
Humboldt-Universität zu Berlin,39.8,38.4,,,0.035175879,0.001237342,0.035175879
Université de Montpellier,41,38.4,,,0.063414634,0.004021416,0.063414634
Technische Universität Dresden,36.2,38.5,,,-0.063535912,0.004036812,0.063535912
Ludwig-Maximilians-Universität München,39,38.6,,,0.01025641,0.000105194,0.01025641
Hanyang University,41.4,38.8,,,0.062801932,0.003944083,0.062801932
University of Amsterdam,35.3,38.9,,,-0.101983003,0.010400533,0.101983003
HUFS - Hankuk (Korea) University of Foreign Studies,32.3,39,,,-0.207430341,0.043027346,0.207430341
University of  Lorraine,42.1,39.1,,,0.071258907,0.005077832,0.071258907
University of Washington,47.5,39.4,,,0.170526316,0.029079224,0.170526316
Southern Methodist University,24.1,39.7,,,-0.647302905,0.41900105,0.647302905
Missouri University of Science and Technology,39.5,39.8,,,-0.007594937,5.76831E-05,0.007594937
Universiti Kebangsaan Malaysia (UKM),44,39.9,,,0.093181818,0.008682851,0.093181818
North Carolina State University,40.1,40,,,0.002493766,6.21887E-06,0.002493766
Far Eastern Federal University,37.7,40.1,,,-0.063660477,0.004052656,0.063660477
Lappeenranta University of Technology,30.4,40.4,,,-0.328947368,0.108206371,0.328947368
Radboud University,33.9,40.4,,,-0.191740413,0.036764386,0.191740413
Université Panthéon-Assas (Paris 2),40.8,40.4,,,0.009803922,9.61169E-05,0.009803922
Tilburg University,37.9,40.5,,,-0.068601583,0.004706177,0.068601583
McMaster University,44.9,40.5,,,0.097995546,0.009603127,0.097995546
University of Bern,39.9,40.8,,,-0.022556391,0.000508791,0.022556391
Aalto University,30,41,,,-0.366666667,0.134444444,0.366666667
University of Manitoba,56.2,41.2,,,0.266903915,0.0712377,0.266903915
Dartmouth College,44.5,41.5,,,0.06741573,0.004544881,0.06741573
University of Southern Denmark,49.6,41.5,,,0.163306452,0.026668997,0.163306452
KU Leuven,41.3,41.6,,,-0.007263923,5.27646E-05,0.007263923
Binghamton University SUNY,42.8,41.7,,,0.025700935,0.000660538,0.025700935
"Lingnan University, Hong Kong",44.8,41.7,,,0.069196429,0.004788146,0.069196429
KTH Royal Institute of Technology,42.9,42,,,0.020979021,0.000440119,0.020979021
Université Jean Moulin Lyon 3,41.1,42.1,,,-0.0243309,0.000591993,0.0243309
Czech Technical University in Prague,39,42.3,,,-0.084615385,0.007159763,0.084615385
Politecnico di Milano,41.4,42.4,,,-0.024154589,0.000583444,0.024154589
Ben Gurion University of The Negev,59.6,42.4,,,0.288590604,0.083284537,0.288590604
University of Oslo,67.2,42.4,,,0.369047619,0.136196145,0.369047619
Aalborg University,47.3,42.8,,,0.095137421,0.009051129,0.095137421
Pennsylvania State University,44.1,42.9,,,0.027210884,0.000740432,0.027210884
Queensland University of Technology (QUT),49.6,42.9,,,0.135080645,0.018246781,0.135080645
Université de Poitiers,46.3,43.3,,,0.064794816,0.004198368,0.064794816
Northumbria University at Newcastle,45.7,43.4,,,0.050328228,0.00253293,0.050328228
Aberystwyth University,68.9,43.4,,,0.370101597,0.136975192,0.370101597
Memorial University of Newfoundland,43,43.5,,,-0.011627907,0.000135208,0.011627907
Eindhoven University of Technology,24.7,43.8,,,-0.773279352,0.597960957,0.773279352
Novosibirsk State Technical University,47.2,44,,,0.06779661,0.00459638,0.06779661
Michigan Technological University,33.7,44.2,,,-0.3115727,0.097077548,0.3115727
Chalmers University of Technology,51.9,44.2,,,0.148362235,0.022011353,0.148362235
The Ohio State University,48.1,44.7,,,0.070686071,0.004996521,0.070686071
Technical University of Munich,57,44.8,,,0.214035088,0.045811019,0.214035088
Charles University,45,45.2,,,-0.004444444,1.97531E-05,0.004444444
Fudan University,46.5,45.2,,,0.027956989,0.000781593,0.027956989
Khalifa University,47.3,45.2,,,0.044397463,0.001971135,0.044397463
Ewha Womans University,35.1,45.4,,,-0.293447293,0.086111314,0.293447293
University of Antwerp,48.4,45.7,,,0.055785124,0.00311198,0.055785124
University of Victoria,47.2,46.1,,,0.023305085,0.000543127,0.023305085
King Fahd University of Petroleum & Minerals,64.4,46.6,,,0.276397516,0.076395587,0.276397516
Université Paris-Sud,52.4,46.7,,,0.108778626,0.011832789,0.108778626
University of Miami,48.9,46.9,,,0.040899796,0.001672793,0.040899796
Michigan State University,50.4,47.2,,,0.063492063,0.004031242,0.063492063
East China Normal University,42.2,47.4,,,-0.123222749,0.015183846,0.123222749
The University of Western Ontario,56.1,47.6,,,0.151515152,0.022956841,0.151515152
Rensselaer Polytechnic Institute,39.9,47.7,,,-0.195488722,0.03821584,0.195488722
George Washington University,47.9,47.8,,,0.002087683,4.35842E-06,0.002087683
University of Mons,52.5,48,,,0.085714286,0.007346939,0.085714286
Université Lumière Lyon 2,37.4,48.1,,,-0.286096257,0.081851068,0.286096257
Emory University,51.4,48.3,,,0.060311284,0.003637451,0.060311284
Université Paris-Sorbonne (Paris IV),67,48.3,,,0.279104478,0.077899309,0.279104478
Albert-Ludwigs-Universitaet Freiburg,44.5,48.4,,,-0.087640449,0.007680848,0.087640449
Peking University,49.6,48.5,,,0.022177419,0.000491838,0.022177419
Lomonosov Moscow State University,51.9,48.7,,,0.061657033,0.00380159,0.061657033
University of Cape Town,51.6,49.2,,,0.046511628,0.002163332,0.046511628
Universiti Teknologi Petronas (Petronas),69.8,49.2,,,0.29512894,0.087101091,0.29512894
University of San Francisco,50.4,49.4,,,0.01984127,0.000393676,0.01984127
Lehigh University,50.7,49.5,,,0.023668639,0.000560204,0.023668639
