University,International Outlook-15,International Outlook-16,,,B2-C2,B2-C2/B2,,,,ABS
Curtin UniversityAustralia,91.3,93.1,,,-1.8,-0.019715225,0.00038869,,,0.019715225
École PolytechniqueFrance,94.5,92.8,,,1.7,0.017989418,0.000323619,,,0.017989418
"Royal Holloway, University of LondonUnited Kingdom",94.4,92.7,,,1.7,0.018008475,0.000324305,,,0.018008475
University of ViennaAustria,91,92.6,,,-1.6,-0.017582418,0.000309141,,,0.017582418
University of Western AustraliaAustralia,87.3,92.6,,,-5.3,-0.060710195,0.003685728,,,0.060710195
Aston UniversityUnited Kingdom,79.7,92.5,,,-12.8,-0.160602258,0.025793085,,,0.160602258
University of St AndrewsUnited Kingdom,90.5,92.3,,,-1.8,-0.019889503,0.000395592,,,0.019889503
Brunel University LondonUnited Kingdom,88.8,91.8,,,-3,-0.033783784,0.001141344,,,0.033783784
University of CambridgeUnited Kingdom,87.8,91.5,,,-3.7,-0.04214123,0.001775883,,,0.04214123
University of AberdeenUnited Kingdom,84.1,91.4,,,-7.3,-0.086801427,0.007534488,,,0.086801427
University of CanterburyNew Zealand,88.2,91,,,-2.8,-0.031746032,0.001007811,,,0.031746032
University of AucklandNew Zealand,87.3,90.5,,,-3.2,-0.036655212,0.001343605,,,0.036655212
University of British ColumbiaCanada,84.8,90.5,,,-5.7,-0.067216981,0.004518123,,,0.067216981
Trinity College DublinRepublic of Ireland,83.9,90.5,,,-6.6,-0.078665077,0.006188194,,,0.078665077
University of ZurichSwitzerland,86.9,90.4,,,-3.5,-0.04027618,0.001622171,,,0.04027618
University of WarwickUnited Kingdom,85.7,90.3,,,-4.6,-0.053675613,0.002881071,,,0.053675613
Royal College of Surgeons in IrelandRepublic of Ireland,82.6,90.1,,,-7.5,-0.090799031,0.008244464,,,0.090799031
Macquarie UniversityAustralia,89.2,90,,,-0.8,-0.00896861,8.0436E-05,,,0.00896861
"Birkbeck, University of LondonUnited Kingdom",84.4,89.9,,,-5.5,-0.065165877,0.004246591,,,0.065165877
University of OtagoNew Zealand,81.5,89.9,,,-8.4,-0.103067485,0.010622906,,,0.103067485
University of EdinburghUnited Kingdom,84.3,89.8,,,-5.5,-0.065243179,0.004256672,,,0.065243179
University of New South WalesAustralia,83.5,89.5,,,-6,-0.071856287,0.005163326,,,0.071856287
The University of QueenslandAustralia,80.4,89.3,,,-8.9,-0.110696517,0.012253719,,,0.110696517
University of LausanneSwitzerland,85.1,89.2,,,-4.1,-0.048178613,0.002321179,,,0.048178613
University of South AustraliaAustralia,80.8,89,,,-8.2,-0.101485149,0.010299235,,,0.101485149
Victoria University of WellingtonNew Zealand,84.2,88.8,,,-4.6,-0.054631829,0.002984637,,,0.054631829
University of SouthamptonUnited Kingdom,82.4,88.4,,,-6,-0.072815534,0.005302102,,,0.072815534
Murdoch UniversityAustralia,85.3,88.3,,,-3,-0.035169988,0.001236928,,,0.035169988
University of SussexUnited Kingdom,83.6,88.3,,,-4.7,-0.056220096,0.003160699,,,0.056220096
Monash UniversityAustralia,79.6,87.6,,,-8,-0.100502513,0.010100755,,,0.100502513
University of FribourgSwitzerland,84.4,87.4,,,-3,-0.035545024,0.001263449,,,0.035545024
University of ExeterUnited Kingdom,79.8,87.3,,,-7.5,-0.093984962,0.008833173,,,0.093984962
University of MelbourneAustralia,81.3,87.1,,,-5.8,-0.071340713,0.005089497,,,0.071340713
Lancaster UniversityUnited Kingdom,84.7,87,,,-2.3,-0.027154664,0.000737376,,,0.027154664
University of ManchesterUnited Kingdom,82,87,,,-5,-0.06097561,0.003718025,,,0.06097561
University of WaikatoNew Zealand,80.3,87,,,-6.7,-0.083437111,0.006961751,,,0.083437111
University of WollongongAustralia,80.4,86.8,,,-6.4,-0.07960199,0.006336477,,,0.07960199
University of LeicesterUnited Kingdom,83.9,86.6,,,-2.7,-0.032181168,0.001035628,,,0.032181168
Durham UniversityUnited Kingdom,80.4,86.4,,,-6,-0.074626866,0.005569169,,,0.074626866
University College DublinRepublic of Ireland,79.4,86.3,,,-6.9,-0.086901763,0.007551916,,,0.086901763
University of GlasgowUnited Kingdom,78.8,85.8,,,-7,-0.088832487,0.007891211,,,0.088832487
École Normale SupérieureFrance,81.9,85.5,,,-3.6,-0.043956044,0.001932134,,,0.043956044
McGill UniversityCanada,79,85.5,,,-6.5,-0.082278481,0.006769748,,,0.082278481
University of LiverpoolUnited Kingdom,79.5,85.4,,,-5.9,-0.074213836,0.005507694,,,0.074213836
Technical University of DenmarkDenmark,79.7,85.1,,,-5.4,-0.067754078,0.004590615,,,0.067754078
University of AdelaideAustralia,79.3,85.1,,,-5.8,-0.073139975,0.005349456,,,0.073139975
University of ReadingUnited Kingdom,75,85.1,,,-10.1,-0.134666667,0.018135111,,,0.134666667
Swinburne University of TechnologyAustralia,86.9,84.8,,,2.1,0.024165708,0.000583981,,,0.024165708
University of BathUnited Kingdom,76.1,84.8,,,-8.7,-0.114323259,0.013069808,,,0.114323259
Université Libre de BruxellesBelgium,79.4,84.5,,,-5.1,-0.064231738,0.004125716,,,0.064231738
KTH Royal Institute of TechnologySweden,84,84.4,,,-0.4,-0.004761905,2.26757E-05,,,0.004761905
University of SydneyAustralia,83.6,84.4,,,-0.8,-0.009569378,9.1573E-05,,,0.009569378
Newcastle UniversityUnited Kingdom,73.8,84.3,,,-10.5,-0.142276423,0.02024258,,,0.142276423
University of MontrealCanada,76.7,84.2,,,-7.5,-0.097783572,0.009561627,,,0.097783572
Massachusetts Institute of TechnologyUnited States of America,84.3,84,,,0.3,0.003558719,1.26645E-05,,,0.003558719
Delft University of TechnologyNetherlands,77.9,84,,,-6.1,-0.07830552,0.006131754,,,0.07830552
University of BernSwitzerland,80.7,83.7,,,-3,-0.037174721,0.00138196,,,0.037174721
University of East AngliaUnited Kingdom,76.5,83.5,,,-7,-0.091503268,0.008372848,,,0.091503268
