Column 2,Column
Ruhr-Universität Bochum,366
University of Texas Dallas,366
Washington State University,366
Heriot-Watt University,369
Politecnico di Torino,370
Universität Bremen,370
Xi’an Jiaotong University,372
Tilburg University,373
"Birkbeck, University of London",374
Oxford Brookes University,374
Jagiellonian University,376
University of Kansas,376
University of Tampere,376
University of Florence,379
Deakin University,380
University of Connecticut,380
University of the Philippines,380
Universidad Politècnica de València,383
Sun Yat-sen University,384
Université Montpellier 2 Sciences et Techniques,385
Moscow State Institute of International Relations (MGIMO University),386
Stellenbosch University,387
Tulane University,387
Politécnica de Madrid,389
Instituto Tecnológico de Buenos Aires (ITBA),390
La Trobe University,390
Université Paul Sabatier Toulouse III,390
"The University of Tennessee, Knoxville",390
Colorado State University,394
Karl-Franzens-Universitaet Graz,394
Universität Düsseldorf,394
Northeastern University,397
University of Naples - Federico II,397
Aston University,399
University of Turin,399
Beihang University (former BUAA),401-410
Indian Institute of Technology Roorkee (IITR),401-410
National Central University,401-410
Oregon State University,401-410
Sogang University,401-410
Universität Regensburg,401-410
"Université Lille 1, Sciences et Technologies",401-410
University of Tasmania,401-410
University of Waikato,401-410
Wuhan University,401-410
York University,401-410
National Taiwan University of Science and Technology (Taiwan Tech),411-420
The University of Georgia,411-420
Universidade Federal de São Paulo (UNIFESP),411-420
Università degli Studi di Pavia,411-420
Universität Bayreuth,411-420
Université Claude Bernard Lyon 1,411-420
Université du Québec,411-420
Universiti Putra Malaysia (UPM),411-420
University of Kent,411-420
University of St.Gallen (HSG),411-420
Bond University,421-430
Florida State University,421-430
United Arab Emirates University,421-430
Universidad de San Andrés - UdeSA,421-430
Universidad Nacional de La Plata,421-430
Universität des Saarlandes,421-430
"University of Missouri, Columbia (Mizzou)",421-430
University of New Mexico,421-430
University of Saskatchewan,421-430
American University of Sharjah,431-440
Bilkent University,431-440
Flinders University,431-440
Hankuk (Korea) University of Foreign Studies,431-440
Middle East Technical University,431-440
Philipps-Universität Marburg,431-440
Swansea University,431-440
Tampere University of Technology,431-440
Universität Bielefeld,431-440
University of Manitoba,431-440
Chiba University,441-450
Illinois Institute of Technology,441-450
Moscow Institute of Physics and Technology State University,441-450
Tallinn University of Technology,441-450
Taras Shevchenko National University of Kyiv,441-450
Tokyo University of Science,441-450
University of Salamanca,441-450
University of Trento,441-450
Université de Sherbrooke,441-450
Université Panthéon-Assas (Paris 2),441-450
University of Delhi,441-450
Abo Akademi University,451-460
Czech Technical University in Prague,451-460
Leibniz Universität Hannover,451-460
Pusan National University,451-460
Shanghai University,451-460
Peter the Great Saint-Petersburg Polytechnic University,451-460
