461-470,,University of Tartu
471-480,,American University
471-480,,Aristotle University of Thessaloniki
471-480,,Auckland University of Technology (AUT)
471-480,,Bangor University
471-480,,Charles Darwin University
471-480,,Kansas State University
471-480,,"Kingston University, London"
471-480,,Universitat de Valencia
471-480,,Université Montpellier 1
471-480,,University of Pretoria
481-490,,Concordia University
481-490,,Drexel University
481-490,,Lincoln University
481-490,,National Taiwan Normal University
481-490,,National University of Sciences And Technology (NUST) Islamabad
481-490,,Swinburne University of Technology
481-490,,Tongji University
481-490,,Universidad de Zaragoza
481-490,,Universidade Federal de Minas Gerais
481-490,,Universität Duisburg-Essen
481-490,,University of Kentucky
481-490,,University of Oklahoma
491-500,,Al-Imam Mohamed Ibn Saud Islamic University
491-500,,Harbin Institute of Technology
491-500,,Peoples' Friendship University of Russia
491-500,,UNESP
491-500,,Université Nice Sophia-Antipolis
491-500,,University of Crete
491-500,,University of Milano-Bicocca
491-500,,University of Nebraska - Lincoln
501-550,,Ateneo de Manila University
501-550,,Beijing Institute of Technology
501-550,,Carleton University
501-550,,Chang Gung University
501-550,,Chung-Ang University(CAU)
501-550,,City University of New York
501-550,,College of William & Mary
501-550,,Dublin Institute of Technology
501-550,,Huazhong University of Science and Technology
501-550,,International Islamic University Malaysia (IIUM)
501-550,,Johannes Kepler University Linz
501-550,,Justus-Liebig-University Giessen
501-550,,Kanazawa University
501-550,,Keele University
501-550,,Koc University
501-550,,Louisiana State University
501-550,,National and Kapodistrian University of Athens
501-550,,Higher School of Economics (HSE)
501-550,,National Technical University of Athens
501-550,,Okayama University
501-550,,Sabanci University
501-550,,Southeast University
501-550,,Sultan Qaboos University
501-550,,Technische Universität Braunschweig
501-550,,TU Dortmund University
501-550,,The Catholic University of Korea
501-550,,Tianjin University
501-550,,Tokyo Metropolitan University
501-550,,Universidad de Antioquia
501-550,,University of Granada
501-550,,Universidad de Palermo (UP)
501-550,,Universidad Nacional de Córdoba - UNC
501-550,,Universidade de Santiago de Compostela
501-550,,Universidade Federal do Rio Grande Do Sul
501-550,,University of Siena
501-550,,University of Trieste
501-550,,Universitas Gadjah Mada
501-550,,University of  Lorraine
501-550,,Université de Rennes 1
501-550,,University of Alabama
501-550,,University of Bradford
501-550,,University of Hull
501-550,,University of Kwazulu-Natal
501-550,,University of Limerick
501-550,,University of South Florida
501-550,,University of Stirling
501-550,,University of Szeged
501-550,,University of Vermont
501-550,,Ural Federal University named after Boris Yeltsin (merger: Ural State and Ural State Technical University)
501-550,,Xiamen University
501-550,,Yokohama City University
551-600,,Aberystwyth University
551-600,,Belarus State University
551-600,,Cairo University
551-600,,Chiang Mai University
551-600,,Chonbuk National University
551-600,,Eötvös Lorànd University
551-600,,Inha University
551-600,,Instituto Politécnico Nacional (IPN)
551-600,,Istanbul Technical University
551-600,,Kumamoto University
551-600,,Kyungpook National University
551-600,,Lehigh University
551-600,,"Lingnan University, Hong Kong"
