Name,Publications,publication,Citation,h-index
"344. Veqar, Zubia",5,2014,24,4
"351. Ahmad, Md Faiz",4,2014,24,8
"433. Anwer, Khalid",3,2016,24,2
"73. Ali, Ikbal",17,2016,23,5
"89. Beg, Mirza M Sufyan Sufyan",14,2016,23,6
"90. Hafiz, Aurangzeb Khurram",14,2016,23,3
"137. Ishrat, Romana",10,2017,23,3
"174. Alam, Md Jahoor",8,2013,23,3
"182. Khatoon, Fehmeeda",8,2015,23,3
"279. Ali, Shahnawaz",5,2017,23,2
"288. Chattopadhyay, Shilpi",5,2014,23,5
"160. Khan, Irshadahmad",9,2013,22,4
"191. Singh, Rajendra Kumar Brojen",8,2013,22,32
"218. Ubaidullah, Mohd",7,2017,22,3
"273. Ahmad, Sheikh Imran",5,2013,22,3
"327. Rani, Neelam Sandhya",5,2013,22,3
"353. Ahmad, Rabia Shabir",4,2016,22,4
"407. Shiekh, Rayees Ahmad",4,2016,22,8
"410. Siddiqui, Sarah",4,2014,22,7
"Qureshi, Rehana",3,2016,22,4
"120. Manzar, Md Dilshad",11,2016,21,3
"179. Husain, Mohammad",8,2017,21,14
"209. Maurya, Neha",7,2017,21,3
"91. Jaffery, Zainul Abdin",14,2016,20,5
"155. Hasan, Shehzad T.",9,2016,20,5
"308. Kirmani, Sheeraz",5,2016,20,2
"322. Puri, Nidhi",5,2015,20,4
"431. Anjum, Sadiya S.",3,2013,20,4
"481. Najm, Mohammad Zeeshan",3,2015,20,3
84. Rahisuddin,15,2016,19,4
"124. Rizvi, Sam A M",11,2017,18,4
"248. Kumar, Ranjit Dhilip",6,2016,18,11
"257. Pandey, Chandana",6,2017,18,2
"319. Papnoi, Uma",5,2014,18,3
"361. Ansari, Sana",4,2015,18,2
"385. Kulsum, Umma K.",4,2016,18,2
"427. Akhtar, Md Salman",3,2014,18,2
"450. Gupta, Gaveshna",3,2012,18,4
"51. Alam, Bashir Rachmatul",21,2016,17,3
"65. Ahmad, Syed Naseem",18,2016,17,3
"76. Alam, Mansaf R.",16,2016,17,3
"178. Devi, Gurumayum Reenaroy",8,2015,17,2
219. Wahiduzzaman,7,2017,17,3
"326. Rana, Omwati",5,2016,17,4
"434. Anwer, Razique",3,2013,17,3
"473. Khursheed, Saima",3,2013,17,3
"38. Siddiqui, Anwar Shahzad",27,2017,16,2
"197. Aneja, Babita",7,2016,16,2
"290. DasGupta, Arnab K.",5,2015,16,8
"366. Devi, Nirupama Chandrachani",4,2014,16,4
"420. Zutshi, Sunaina",4,2013,16,3
"464. Kazim, Zakia",3,2014,16,3
"111. Khatoon, Shahida",12,2016,15,3
"204. Irfan, Mohammad",7,2016,15,2
"299. Joshi, Bipin C.",5,2015,15,5
"170. Soni, Vikram S.",9,2014,14,5
"230. Garg, Bindu P.",6,2013,14,3
"453. Gupta, Ruchika K Paul",3,2011,14,12
"Singh, Mohit B.",3,2013,14,19
"177. Dar, Mohammad Aasif",8,2017,13,3
"207. Khan, Arshad",7,2016,13,11
"240. Khan, Azad A.",6,2017,13,2
"280. Amir, Muhammed",5,2016,13,2
"376. Kashyap, Jyoti",4,2016,13,2
"454. Habib, Khalid",3,2013,13,3
Ravins,3,2013,13,2
"80. Ahmad, Shabir A.",15,2016,12,6
"164. Moiz, Jamal Ali",9,2016,12,3
"252. Manas, Munish",6,2016,12,1
"415. Sultana, Talat",4,2013,12,3
"115. Shahid, Mohammad Hasan",12,2016,11,2
"169. Siddiqui, Weqar Ahmad",9,2017,11,4
"227. Bashir, Faisal",6,2015,11,2
"328. Rashid, Qudsia",5,2015,11,2
"336. Singh, Poonam K.",5,2015,11,16
"397. Pandey, Manju C.",4,2014,11,2
"472. Khudiar, Ausama I.",3,2013,11,4
"125. Sajjad, Haroon",11,2016,10,2
"154. Chackrabarti, Santosh",9,2016,10,3
"223. Alam, Shahzad",6,2015,10,2
"231. Hafiz, Ali Khurram",6,2017,10,2
"235. Islam, Tariqul T.",6,2016,10,5
"243. Khan, Mdshahzad",6,2016,10,4
"251. Mahboob, Md Rahat",6,2016,10,2
"268. Uddin, Saeed",6,2016,10,3
"285. Bhat, Riyaz Ahmad",5,2015,10,3
"297. Imran, Bara Mohammed",5,2012,10,3
"310. Kumar, Jitendra",5,2017,10,2
"311. Kumar, Sumit",5,2015,10,2
"364. Bashir, Waseem",4,2015,10,3
"460. Juneja, Akanksha",3,2013,10,1
"484. Nishat, Shamama",3,2016,10,2
"236. Jabin, Suraiya",6,2017,9,2
"281. Anees, Ahmed Sharique",5,2016,9,2
"287. Biswas, Siddhartha Sankar",5,2016,9,2
"378. Khan, Abidali",4,2016,9,6
"382. Khan, Shakeb A.",4,2016,9,1
"425. Ahmed, Bashir",3,2014,9,2
"436. Bahishti, Adam A.",3,2012,9,4
"459. Islam, Shahid Ul",3,2016,9,2
"144. Nair, Lekha S.",10,2016,8,2
"168. Sharfuddin, Ahmad",9,2016,8,2
"185. Nayab, Pattan Sirajuddin",8,2016,8,2
"202. Dohare, Neeraj",7,2017,8,2
"242. Khan, Jawaid A.",6,2017,8,8
"255. Noohu, Majumi Mohamad",6,2016,8,2
"284. Beg, Ilyas",5,2017,8,2
"302. Karimi, Munawar Nawab",5,2016,8,1
"312. Kundu, Swati",5,2016,8,2
"325. Raja, Vaseem",5,2017,8,2
"331. Shabir, Hiba",5,2016,8,3
"373. Islam, Mohd Ashraful",4,2013,8,3
"383. Khatoon, Nafeesa",4,2016,8,2
"387. Kumar, Ravi",4,2012,8,2
"392. Naqvi, S. Kazim",4,2016,8,1
"416. Tandon, Ankita",4,2014,8,2
"418. Whig, Pawan",4,2014,8,3
"441. Brojen Singh, R. K.",3,2012,8,4
"88. Ahmad, Tanvir",14,2016,7,3
"175. Aziz, Anver",8,2016,7,3
"189. Raza, Khalid",8,2016,7,2
"237. Joseph, Shereena",6,2016,7,2
"267. Tripathi, Nishant",6,2017,7,2
"329. Sehrawat, Poonam",5,2016,7,2
"355. Alam, Mehtab Muhibul",4,2015,7,2
"359. Ansari, A. Q.",4,2016,7,2
"391. Mohammed, Mohsin Talib",4,2015,7,2
"448. Goel, Shubhra",3,2012,7,5
"451. Gupta, Nitin K.",3,2015,7,18
"455. Hasan, Mohammed Muzaffarul Mukitul",3,2013,7,2
"458. Islam, Nazrul Md",3,2012,7,27
"468. Khan, Mohammadsazzad",3,2016,7,2
"482. Naseem, Asma",3,2016,7,2
"98. Beg, Mirza Tariq",13,2016,6,3
"229. Farooq, Ummer",6,2016,6,2
"245. Khan, Noor Zaman",6,2016,6,1
"283. Bashir, Inam Ul",5,2016,6,2
"304. Khan, Rasheedahmed",5,2012,6,6
"317. Mohammad, Aas E.",5,2016,6,2
"346. Zargar, Zubair Hassan",5,2016,6,1
"350. Ahmad, Kafeel",4,2016,6,1
"356. Alam, Pravej",4,2016,6,4
