Name,Publications,publication,Citation,h-index
"440. Kushwaha, Rajendra Kumar Singh",1,2011,0,3
"445. Mehta, Nimish M.",1,2014,0,3
"463. Patil, Shailendra G.",1,2011,0,3
"474. Sayyad, Sadikali F.",1,2016,0,3
"157. Patel, Jay Ram",4,2013,90,2
"364. Smitha, J.",2,2013,59,2
"282. Jain, Som Akshay Kshay",2,2015,56,2
"243. Bagre, Archana Pataskar Ataskar",2,2013,51,2
"250. Chopdey, Prashant K.",2,2015,42,2
"233. Yadlapalli, Rama Krishna",3,2013,35,2
"158. Patel, Satish Kumar",4,2015,32,2
"55. Rawat, Hemant Kumar",9,2017,25,2
"274. Jain, Anupriya",2,2013,25,2
"88. Jain, Aakanchha",6,2016,19,2
"301. Kumar, Pradeep Pavan",2,2015,19,2
"163. Sahu, Satish",4,2015,16,2
"270. Haldar, Arindam",2,2014,16,2
"Uppal, Archana S.",1,2012,15,2
"208. Nyola, Narendra Kumar",3,2013,13,2
"366. Soni, Abhishek",2,2011,13,2
"403. Chaturvedi, Subhash Chand",1,2012,13,2
"228. Tiwari, Annapoorna R.",3,2012,12,2
"237. Agrawal, Nitasha",2,2014,12,2
"144. Gupta, Santosh K.",4,2012,11,2
"211. Pounikar, Yogesh",3,2013,11,2
"260. Gajbhiye, Kavita Rai Ai",2,2015,11,2
"260. Gajbhiye, Kavita Rai Ai",2,2015,11,2
"293. Khairnar, Prashant S.",2,2011,10,2
"371. Srivastava, Jitendra Kumar",2,2015,10,2
"382. Walke, Prashant S.",2,2011,10,2
"137. Chourasiya, Ravindra Kumar",4,2013,9,2
"219. Seelam, Nareshvarma",3,2016,9,2
"264. Giri, Namita",2,2012,9,2
"314. Mourya, Sandeep Kumar",2,2012,9,2
"353. Satnami, D. K.",2,2011,9,2
"196. Kumar, Ashwani",3,2016,8,2
"202. Mishra, Abhay Prakash",3,2013,8,2
"239. Archana, Mehta M.",2,2011,8,2
"242. Astalakshmi, N.",2,2011,8,2
"134. Bose, Devasish",4,2014,7,2
"214. Rai, Kavita",3,2013,7,2
"277. Jain, Ashish",2,2015,7,2
"283. Jain, Sumat Chand",2,2015,7,2
"307. Mansuri, Shakir",2,2016,7,2
"381. Vinayak, Vandana",2,2015,7,2
"187. Jain, Narendra Kumar",3,2016,6,2
"240. Arya, Harsh Bardhan",2,2012,6,2
"251. Deshmukh, Vinay Kumar",2,2013,6,2
"309. Matlam, Munglu",2,2013,6,2
"311. Mishra, J. K.",2,2012,6,2
"113. Limaye, Sudhir N.",5,2017,5,2
"126. Wankar, Sneha R.",5,2017,5,2
"126. Wankar, Sneha R.",5,2017,5,2
"131. Bharti, Veni",4,2013,5,2
"378. Upadhyay, Ramraj",2,2013,5,2
"102. Amin, Sk Abdul",5,2017,4,2
"172. Ahirwar, Mukesh Kumar",3,2012,4,2
"175. Ashok, Vipin",3,2017,4,2
"336. Prajapat, Ram Prakash",2,2012,4,2
"367. Soni, Balram",2,2012,4,2
"432. Kharya, Anil K.",1,2011,4,2
"203. Mishra, Meeta",3,2015,3,2
"225. Srivastava, Anupam",3,2011,3,2
"249. Chaurasia, Gita",2,2013,3,2
"315. Mukesh, Rawat",2,2012,3,2
"114. Pandit, Umar Jan",5,2017,2,2
"171. Ahirwal, Laxmi",3,2016,2,2
"182. Goel, Kapil Kumar",3,2013,2,2
"254. Devi, Uma",2,2016,2,2
"285. Janadri, Suresh",2,2011,2,2
"292. Kewatkar, Shailesh M.",2,2013,2,2
"299. Kothiyal, Preeti",2,2014,2,2
"319. Nandy, Bankim Chandra",2,2016,2,2
"326. Paithankar, Vivek Vijayrao",2,2013,2,2
"462. Pathak, Pawan Kumar",1,2015,2,2
"Silakari, Pratigya",1,2011,2,2
"298. Khurana, Priyanka",2,2015,1,2
"362. Singh, Ajay Pratap",2,2014,1,2
"390. Akhila, S.",1,2014,1,2
"419. Jain, Priyanka R.",1,2016,1,2
"438. Kumar, Ranveerssi",1,2012,1,2
"473. Satish, Sardana",1,2012,1,2
"179. Das, Ratnesh K.",3,2016,0,2
"304. Maheshwari, Hitesh S.",2,2014,0,2
"328. Pandey, Divya",2,2015,0,2
"355. Shandilya, Arun K.",2,2015,0,2
"386. Agrawal, Rakhi",1,2014,0,2
"391. Argal, Ganpat S.",1,2012,0,2
"393. Asthana, Abhay",1,2015,0,2
"407. Dudhipala, Narendar Reddy",1,2017,0,2
"443. Lone, Zahoor A.",1,2017,0,2
"456. Pal, Dilipkumar K.",1,2016,0,2
"Singh, Umesh Kumar",1,2012,0,2
"223. Singh, Shivpal K.",3,2014,21,1
"330. Pandey, Vikas",2,2015,11,1
"227. Susantakumar, P.",3,2011,10,1
"342. Rajbanshi, Sangeetha Lakshmi Akshmi",2,2012,10,1
"276. Jain, Ashish",2,2016,9,1
"420. Jain, Rupshee",1,2011,9,1
"85. Dubey, Surbhi",6,2016,8,1
"205. Mishra, Vikash Kumar",3,2017,8,1
"232. Upadhyay, Kirti",3,2012,8,1
"305. Makhija, Manju",2,2011,8,1
"318. Nandy, Bankim Chand",2,2011,8,1
"339. Rai, Rachana",2,2012,8,1
"354. Saxena, Priya",2,2011,8,1
"460. Parihar, Malkhan Singh",1,2011,7,1
"481. Shrivastava, Arti",1,2011,7,1
"247. Bishnoi, Mamta",2,2016,6,1
"288. Jugran, Vandana",2,2011,6,1
"300. Kumar, Babita Vijaya",2,2015,5,1
"129. Agrawal, Govind P.",4,2016,4,1
"133. Bohrey, Sarvesh",4,2016,4,1
"138. Chourasiya, Vibha",4,2016,4,1
"186. Jadhav Khanderao, R.",3,2013,4,1
"253. Devasish, Bose",2,2014,4,1
"323. Neelam, Dhankhar",2,2012,4,1
"333. Prabhakar, Santosh",2,2013,4,1
"346. Sahoo, K. C.",2,2012,4,1
"372. Subhra, Hoonka",2,2014,4,1
"180. Dehariya, Harsha",3,2012,3,1
"194. Khan, Ahsanahmed",3,2011,3,1
"310. Maurya, Anup Kumar",2,2012,3,1
"335. Pradhan, Rakesh Kumar",2,2016,3,1
"368. Soni, Devendra Kumar",2,2012,3,1
"376. Tripathi, Smriti C.",2,2012,3,1
"128. Adil, Samira H.",4,2015,2,1
"148. Khan, Imran",4,2017,2,1
"173. Ahirwar, Saroj",3,2016,2,1
"176. Avasthi, Kalpana",3,2014,2,1
"204. Mishra, Vikas K.",3,2016,2,1
"212. Priyanka, Rathore",3,2012,2,1
"252. Deshpande, Supriya S.",2,2013,2,1
"373. Thakur, J. S.",2,2012,2,1
"159. Patel, Vivekanand N.",4,2014,1,1
"174. Ankur, Rohilla",3,2012,1,1
"177. Banerjee, Smita",3,2015,1,1
"185. Harijan, Dilip K L",3,2016,1,1
"206. Negi, Vandana Jugran",3,2014,1,1
"220. Seema, Rohilla",3,2012,1,1
"230. Trivedi, Rajendra Kumar",3,2014,1,1
"257. Dobhal, Yogita",2,2016,1,1
"261. Gandhi, K. R.",2,2011,1,1
"268. Gupta, Pushpraj S.",2,2016,1,1
"271. Hoonka, Subhra",2,2014,1,1
"325. Nema, Nitin",2,2014,1,1
"343. Rajput, Neha",2,2012,1,1
"357. Sharma, Shalini N.",2,2013,1,1
"359. Shipra, Duggal",2,2012,1,1
"360. Shukla, Gunjan",2,2012,1,1
"369. Soni, Namrata",2,2016,1,1
"370. Soni, Neetu",2,2016,1,1
"484. Sikdar, Malabika",1,2014,1,1
"178. Bhatt, D. C.",3,2016,0,1
"207. Nema, Neeti",3,2012,0,1
"238. Ain, Shabnam",2,2016,0,1
"266. Goyal, Ruchika R.",2,2016,0,1
"289. Jyoti, H.",2,2016,0,1
"322. Neekhra, Bharat",2,2015,0,1
"347. Sahu, Shikha",2,2017,0,1
"349. Saini, Sangita",2,2016,0,1
"380. Vijayaraj, Surendran",2,2016,0,1
"425. Kataria, Udichi",1,2016,0,1
"447. Mishra, Mitali",1,2017,0,1
"451. Mukhopadhyay, Sayantan",1,2017,0,1
"465. Percha, Versha",1,2013,0,1
"198. Lalwani, Darshan Narendra",3,2013,0,0
"241. Ashok., Kushnoor",2,2012,0,0
"244. Bahmani, Kavita",2,2015,0,0
"272. Indorkar, Dilesh",2,2014,0,0
"279. Jain, Manish Kumar",2,2012,0,0
"308. Maram, Sambasiva Rao",2,2012,0,0
"331. Patel, Dilip Kumar",2,2016,0,0
"341. Raj, Krishna Kumar",2,2012,0,0
"344. Saharan, Priyanka",2,2015,0,0
"348. Saini, Deepika",2,2016,0,0
"351. Sampathkumar, Kokilam Perumal",2,2016,0,0
"365. Solanki, Rekha Garg",2,2015,0,0
"401. Bhargava, Sonam",1,2017,0,0
"405. Donglikar, Mukund Manikrao",1,2016,0,0
"468. Rajput, Yashwant Singh",1,2014,0,0
"476. Shandilya, Anurag K.",1,2014,0,0
