University,Research,Research-16
UiT The Arctic University of NorwayNorway,16.9,18.7
University of TriesteItaly,16,18.5
Tokyo Medical and Dental University (TMDU)Japan,22.9,18.3
University of LisbonPortugal,22.8,18.3
Ewha Womans UniversitySouth Korea,18,18.3
University of WaikatoNew Zealand,17,18.2
"St George’s, University of LondonUnited Kingdom",27.3,18.1
Plymouth UniversityUnited Kingdom,18.1,18
Bilkent UniversityTurkey,27.7,17.5
University of SeoulSouth Korea,20.2,17.5
William & MaryUnited States of America,19.9,17.5
Kansas State UniversityUnited States of America,16.5,17.5
Indian Institute of Technology RoorkeeIndia,14.3,17.5
Middle East Technical UniversityTurkey,36.9,17.3
Boğaziçi UniversityTurkey,27.6,17.2
University of FerraraItaly,15.2,17.2
University of MacauMacau,20.3,17
University of InnsbruckAustria,17.1,16.9
University of ValenciaSpain,12,16.9
Montpellier UniversityFrance,22.5,16.7
University of GrazAustria,17.3,16.3
University of IcelandIceland,24.7,16.2
University of WarsawPoland,13.6,15.8
University of New MexicoUnited States of America,23.4,15.4
Lehigh UniversityUnited States of America,16.6,15
University of Southern DenmarkDenmark,20.5,14.7
Medical University of ViennaAustria,17,14.6
Waseda UniversityJapan,16.3,14.6
Drexel UniversityUnited States of America,14.3,14.6
Wayne State UniversityUnited States of America,15.2,14.2
"University of the Andes, ColombiaColombia",12.1,13.8
University of TampereFinland,22.2,13.7
Renmin University of ChinaChina,14.7,13.7
University of MontanaUnited States of America,13.7,13.6
Florida Institute of TechnologyUnited States of America,13.1,13.5
University of Nebraska Medical CenterUnited States of America,16.5,13.3
University of SalentoItaly,25.6,13.2
Claude Bernard University Lyon 1France,17.2,13.2
Hong Kong Baptist UniversityHong Kong,13.2,12.1
King Mongkut’s University of Technology ThonburiThailand,10,11.4
Tokyo Metropolitan UniversityJapan,9.8,11.4
University of PortsmouthUnited Kingdom,10.6,10.9
Federico Santa María Technical UniversityChile,10.1,10.1
University of HertfordshireUnited Kingdom,10.9,9.5
Panjab UniversityIndia,10.5,8.8
University of Marrakech Cadi AyyadMorocco,6.5,6.3
