University,International Outlook,International Outlook-16
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,26.7,30.5
University of TokyoJapan,32.4,30.3
University of UtahUnited States of America,27.5,30.1
Waseda UniversityJapan,43.1,29.7
Wayne State UniversityUnited States of America,30.7,29.6
Virginia Polytechnic Institute and State UniversityUnited States of America,28.9,29.5
Tohoku UniversityJapan,29.7,29.3
Vanderbilt UniversityUnited States of America,28.3,29.1
University of New MexicoUnited States of America,32.2,28.6
Yeshiva UniversityUnited States of America,27.6,28.5
King Mongkut’s University of Technology ThonburiThailand,22.5,28.5
University of CincinnatiUnited States of America,26,28.3
Hokkaido UniversityJapan,25.2,27.9
National Taiwan UniversityTaiwan,27.5,27.7
National Cheng Kung UniversityTaiwan,26.7,27.7
Shanghai Jiao Tong UniversityChina,23.9,27.5
Nagoya UniversityJapan,31.8,27.4
Middle East Technical UniversityTurkey,38.7,26.7
Osaka UniversityJapan,29.1,26.6
William & MaryUnited States of America,26.5,26.6
Kyushu UniversityJapan,26.1,26.4
Kyoto UniversityJapan,29,26.1
San Diego State UniversityUnited States of America,26.9,25.9
University of São PauloBrazil,25.3,25.3
University of SalentoItaly,40.3,24.5
University of South CarolinaUnited States of America,37.3,24.5
Wake Forest UniversityUnited States of America,26,24.2
National Tsing Hua UniversityTaiwan,24.8,23.2
Tokyo Medical and Dental University (TMDU)Japan,21.8,23.1
Istanbul Technical UniversityTurkey,37.3,22.9
University of MontanaUnited States of America,20.7,21.5
University of Science and Technology of ChinaChina,26.3,21.4
State University of CampinasBrazil,20.7,21.1
Tokyo Metropolitan UniversityJapan,39.5,19.9
National Sun Yat-Sen UniversityTaiwan,24.2,19.7
Zhejiang UniversityChina,21.5,19.6
University of SeoulSouth Korea,34.3,18.7
Indian Institute of Technology BombayIndia,19.5,17.7
Isfahan University of TechnologyIran,20,17.2
Indian Institute of ScienceIndia,18.2,16.4
Sharif University of TechnologyIran,19.4,15.9
Panjab UniversityIndia,29.2,14.1
Indian Institute of Technology RoorkeeIndia,16.6,13.9
