Name,,Publications,publication,Citation,h-index
"240. Kosigyn, L.",,1,2016,0,0
"241. Kumam, Nandini",,1,2015,1,1
"242. Kushwaha, R. A S",,1,2012,4,2
"243. Laikangbam, Reena",,1,2012,12,2
"244. Laishram, Dhiraj",,1,2011,3,1
"245. Laishram, Sunil Singh",,1,2013,20,2
"246. Lakhikumar Sharma, Adhikarimayum",,1,2016,0,0
"247. Lakshmipyari, Wahengbam",,1,2013,0,0
"248. Leihaothabam, Jibon Kumar Sharma",,1,2016,0,0
"249. Lingthoingambi, Ng",,1,2011,9,1
"250. Linthoingambi, Irengbam",,1,2011,3,4
"251. Linthoingambi, W.",,1,2013,1,1
"252. Lonibala, R. K.",,1,2012,0,4
"253. Maisnam, Victory",,1,2015,0,0
"254. Manihar Singh, A. K.",,1,2011,3,1
"255. Manjur Shah, M.",,1,2011,2,1
"256. Meitei, Engudam Sanahal",,1,2016,0,0
"257. Meitei, Heikrujam Thoihen",,1,2015,0,0
"258. Meitei, K. K Singh",,1,2016,0,0
"259. Meitei, M. Hemanta",,1,2014,0,2
"260. Mem Chanu, Ch",,1,2011,0,0
"260. Mem Chanu, Ch",,1,2011,0,0
"261. Moirangthem, Nimalini D.",,1,2015,0,2
"262. Moirangthem, Soniya D.",,1,2013,1,1
"263. Montessori, N.",,1,2015,0,0
"264. Mukherjee, Saikat",,1,2016,3,4
"265. Nambram, S.",,1,2016,0,0
"266. Nameriakpam, Basanta Singh",,1,2015,2,1
"267. Nesa, Nashimun",,1,2016,1,1
"268. Ngangom, Boinis Singh",,1,2012,21,1
"269. Nilima, Nandeibam",,1,2017,0,0
"270. Nimai Singh, Ngangkham",,1,2015,0,7
"271. Ningombam, Anjana",,1,2012,1,2
"272. Ningombam, Goutam Singh",,1,2017,0,0
"273. Ningshen, Thuirei Jacob Acob",,1,2016,0,2
"274. Niraj Luwang, M.",,1,2011,3,1
"275. Nirjanta Devi, Nameirakpam",,1,2013,1,1
"276. Nomita Devi, K.",,1,2013,0,3
"277. Nonglenjaoba, Lairenlakpam",,1,2012,0,0
"278. Oceania, Chirom",,1,2015,0,0
"279. Oinam, Sonia",,1,2013,0,0
"280. Pengkiliya, Phanjoubam",,1,2014,0,0
"281. Potshangbam, Kumar Singh",,1,2014,0,0
"282. Prabhakar, Laishram",,1,2012,0,0
"283. Prabin Devi, S.",,1,2013,6,1
"284. Pradipkumar Singh, Kh",,1,2013,0,0
"285. Pramodini, M.",,1,2011,2,1
"286. Rahaman, Hamidur",,1,2012,16,5
"287. Rajkumar, Hemanta Singh",,1,2014,2,1
"288. Ramananda, Yumnam",,1,2014,1,1
"289. Ramsing Singh, Thiyam",,1,2016,0,0
"290. Rebika, N. D.",,1,2011,0,0
"291. Robinson, Asem",,1,2015,0,0
"292. Rongmei, Lunghim",,1,2013,0,0
"293. Roshan, Asem",,1,2012,0,0
"294. Roy, L. Someshwor",,1,2016,0,0
