Name,,Publications,publication,citation,h-index
"289. Elilarassi, R.",,6,2013,86,9
"290. Haripriya, Sundaramoorthy",,6,2017,0,4
"291. Idayachandran, G.",,6,2016,1,1
"292. Indira, Komma",,6,2015,7,2
"293. Jadhav, Ankush C.",,6,2015,25,3
"294. Jayabharathy, J.",,6,2016,8,2
"295. Jayakumar, Shanmuganathan",,6,2016,14,6
"296. Karthikeyan, Subramanian Vedhanarayanan",,6,2015,24,31
"297. Kuppuswami, S.",,6,2013,9,4
"298. Marutheeswaran, Srinivasan",,6,2015,7,2
"299. Meena, Chetan Kumar",,6,2016,10,2
"300. Mishra, Richa",,6,2015,3,1
"301. Mukunthan, P.",,6,2013,19,3
"302. Nageswara Rao, B.",,6,2015,38,3
"303. Naresh, N.",,6,2014,32,3
"304. Palapetta, Shyam Mohan",,6,2014,51,6
"305. Ponnilavan, V.",,6,2017,6,2
"306. Praneetha, Selvarasu",,6,2016,41,3
"307. Premalatha, R.",,6,2016,7,1
"308. Pundir, Sudesh",,6,2016,9,3
"309. Punitha, S. C.",,6,2016,0,1
"310. Rajkumari, Jobina",,6,2017,5,1
"311. Ramadoss, Prrashanth",,6,2014,19,5
"312. Ramaswamy, Amutha",,6,2016,1,1
"313. Ramesh Kumar, P.",,6,2015,60,4
"314. Raviprakash, A. V.",,6,2012,31,4
"315. Renukadevi, Govindasamy",,6,2014,33,3
"316. Sabari, S.",,6,2016,7,3
"317. Sabiah, Shahulhameed",,6,2017,18,5
"318. Santhi, G.",,6,2016,16,2
"319. Sarvagalla, Sailu",,6,2016,89,3
"320. Sekhar, Nirujogi Raja",,6,2013,107,6
"321. Shafeeque Ali, A. K.",,6,2016,15,2
"322. Singh, Vivek Kumar",,6,2016,45,5
"323. Sivakumar, Nithya Rekha",,6,2016,1,1
"324. Sivakumar, T.",,6,2016,0,0
"325. Sugumaran, M.",,6,2016,9,1
"326. Sundar, K.",,6,2016,14,3
"327. Sunooj, Kappat Valiyapeediyekkal",,6,2016,11,2
"328. Tangeti, Venkata Swamy",,6,2016,16,3
"329. Thirumurugan, Subramani",,6,2016,7,2
"330. Thiyagarajan, Ponmurugarajan S.",,6,2013,9,2
"331. Thiyagarajan, S.",,6,2017,0,0
"332. Tiwary, Basant K.",,6,2015,44,8
"333. Topno, Nishith Saurav",,6,2016,12,2
"334. Vaikundam, Gurusamy",,6,2015,0,0
"335. Vaishnavi, J. S.",,6,2016,0,0
"336. Valli, R.",,6,2012,9,2
"337. Venkatesan, Arul",,6,2017,8,1
"338. Venu, S.",,6,2017,3,1
"339. Vijayasri, G.",,6,2016,15,3
"340. Ajay-D-Vimalraj, P.",,5,2015,8,3
"341. Amala, R.",,5,2015,9,2
"342. Amutha, A.",,5,2016,10,2
"343. Ananda Natarajan, R.",,5,2015,2,1
"344. Ananthalakshmi, A. V.",,5,2016,2,1
"345. Angaiah, Subramania",,5,2017,3,1
"346. Aranganayagi, G.",,5,2011,2,1
"347. Arulalan, V.",,5,2016,3,1
"348. Arunalatha, G.",,5,2016,0,0
"349. Ashok Kumar, Chowan",,5,2017,13,2
"350. Ayyappan, G.",,5,2016,2,1
"351. Babu, Balraj Hari",,5,2016,15,9
"352. Babukarthik, R. G.",,5,2016,12,2
"353. Balamurugan, G.",,5,2016,3,1
"354. Bhanja, Niyati",,5,2015,51,3
"355. Bharathi Mohan, D.",,5,2017,10,5
"356. Borkotoky, Subhomoi",,5,2016,18,2
"357. Cartigueyen, S.",,5,2016,4,1
"358. Coumar, Mohane Selvaraj",,5,2016,20,3
"359. Dar, Arif Billah",,5,2015,42,3
"360. Elavarasan, P.",,5,2015,3,1
"361. Ganesh, Thiruchitrambalam",,5,2015,29,6
"362. Gopalakannan, Subramanian",,5,2013,23,6
"363. Hari Babu, B.",,5,2014,22,3
"364. Jaiswal, Ajeet",,5,2013,0,0
"365. Jannani, M.",,5,2016,2,1
"366. Jayakanthan, Mannu",,5,2014,17,6
"367. Kaliyappan, Thananjayan",,5,2015,11,11
"368. Karthikeyan, M.",,5,2014,9,1
"369. Khapre, Shailesh",,5,2015,18,2
"370. Krishnakumar, K.",,5,2016,0,0
"371. Kumaravel, Mohankumar",,5,2016,41,3
"372. Latha, Periyasamy N Lakshmi",,5,2015,30,7
"373. Managave, Shreyas R.",,5,2016,14,7
"374. Maragathavalli, P.",,5,2016,4,1
"375. Mareeswaran, Ramachandran",,5,2015,81,5
"376. Martin, Alan N.",,5,2014,16,6
"377. Mohan, Dasari Bharathi",,5,2016,5,5
"378. Mohanty, Bibhuti B.",,5,2016,1,2
"379. Muthu, Kannan",,5,2016,9,2
"380. Muthukumaran, Rajagopalan",,5,2015,15,3
"381. Padmavathy, Anbarashan",,5,2013,14,3
"382. Palanivel, Kandasamy",,5,2016,6,4
"383. Palanivel, S.",,5,2014,2,1
"384. Perumal, Dananjayan",,5,2016,2,1
"385. Ponnurangam, Dhavachelvan",,5,2015,4,1
"386. Prakash Rao, H. Surya",,5,2015,11,3
"387. Prakash, Ignacimuthu",,5,2013,27,7
"388. Pramod, K.",,5,2017,1,1
"389. Priyadharsini, P.",,5,2014,74,6
"390. Rajan, K. D.",,5,2017,0,0
"391. Rajathy, R.",,5,2016,3,2
"392. Rajendran, Nallaiyan M.",,5,2014,26,24
"393. Ramalingam, Panch",,5,2016,4,2
"394. Rani, Nidhi",,5,2017,6,2
"395. Rao, B. Nageswara",,5,2015,11,2
"396. Rao, Pillutlasambasiva",,5,2012,18,5
"397. Sagayaraj Francis, F.",,5,2015,2,1
"398. Saranathan, Rajagopalan",,5,2016,6,3
"399. Saraniya, Appukuttan",,5,2015,16,3
"400. Shanmugam, M.",,5,2013,21,3
"401. Shanmuganatham, Thangavelu",,5,2016,4,1
"402. Singson, Mangkholien",,5,2016,2,1
"403. Siva Sankar, Sankar R.",,5,2015,8,2
"404. Sridharan, Subhashree",,5,2015,37,4
