University ,National Rank-14,Overall-14,Alumini-14,Award-14,HiCi-14,N&S-14,PUB-14,PCP-14,World Rank-14
Dartmouth College,,,18.2,0,20.7,14.1,25.6,20.3,
Delft University of Technology,09-Oct,,11.8,0,8.6,18.3,38.6,21.3,
Durham University,,,0,0,19.6,15.5,34.1,21,
Ecole Normale Superieure - Lyon,Sep-14,,0,20,3.6,11.7,21,28.4,
Florida State University,,,0,0,14.6,16,37.9,19.1,
Vrije Universiteit Brussel (VUB),,,,,,,,,
Harbin Institute of Technology,07-Dec,,0,0,10,2.9,47.5,14.7,
Huazhong University of Science and Technology,07-Dec,,0,0,0,7.7,50.4,15.7,
Karlsruhe Institute of Technology (KIT),,,0,0,12,15.1,38,19.8,
Kobe University,09-Oct,,14.9,0,5.1,14.7,30.9,15.4,
Korea Advanced Institute of Science and Technology,02-May,,0,0,8.3,16.8,38.7,28.8,
Korea University,02-May,,0,0,8.7,10.2,49.1,21.2,
Laval University,Aug-16,,0,0,15,9.3,36.9,16,
Louisiana State University - Baton Rouge,,,0,0,13.6,12.6,34,14.3,
Maastricht University,09-Oct,,0,0,10.7,6.6,41.5,24.8,
Macquarie University,9,,0,0,18.1,13,32.8,24.3,
Medical University of Vienna,02-Mar,,9.1,9.4,8.6,9.7,32.9,18,
Nanjing University,07-Dec,,0,0,0.7,6.9,51.5,17.8,
National Autonomous University of Mexico,1,,12.9,0,3.3,10.4,47.7,23.2,
National Cheng Kung University,02-Mar,,0,0,10.1,2.7,43.6,17.9,
National Tsing Hua University,02-Mar,,12.9,0,5.1,12.6,32.7,20.8,
Newcastle University,,,0,0,12.2,16,38.5,18.8,
Northeastern University,,,0,0,15.9,18.1,28.8,20.2,
Norwegian University of Science and Technology - NTNU,02-Mar,,13.9,0,10.1,13.4,37.3,18,
Paul Sabatier University (Toulouse 3),Sep-14,,0,0,12.3,20.6,38.1,14.3,
Polytechnic Institute of Milan,07-Aug,,7.4,14.9,5,8.4,33.1,20.3,
"Queen Mary, University of London",,,18.2,0,18.1,11.6,31.7,19.9,
Pompeu Fabra University,,,,,,,,,
Queen's University,Aug-16,,0,0,13.1,11.8,33.9,19.2,
Rensselaer Polytechnic Institute,,,12.9,0,13.9,12.2,23.1,23.8,
Royal Institute of Technology,06-Aug,,0,14.9,3.6,9.9,38,23.5,
RWTH Aachen University,,,0,0,15.1,8.1,41.1,20.8,
Simon Fraser University,Aug-16,,0,0,12.2,12.9,33.3,18.8,
State University of New York at Buffalo,,,0,0,13.1,8.1,38.8,15.5,
Stony Brook University,,,0,0,14.8,18.9,36.9,16.8,
Queen Mary University of London,,,,,,,,,
Sapienza University of Rome,,,,,,,,,
Sun Yat-sen University,07-Dec,,0,0,8.7,8.8,53.2,17,
Sungkyunkwan University,02-May,,0,0,0,12.2,47.2,21.3,
Swedish University of Agricultural Sciences,06-Aug,,0,0,13.3,13.3,30,24,
The George Washington University,,,11.8,0,6.3,11.1,34.4,17,
The Hong Kong University of Science and Technology,03-Apr,,0,0,17.4,8.1,30.1,22.8,
The University of Alabama at Birmingham,,,0,0,18.1,13.6,41.3,15.5,
The University of Auckland,01-Feb,,13.9,0,10.1,13.5,40,20.8,
The University of Dundee,,,0,0,16.8,16,26.1,20.3,
The University of New Mexico - Albuquerque,,,0,0,14.9,16.8,34.2,15.3,
The University of Texas Health Science Center at Houston,,,0,15.4,13.9,9.7,32.2,16.5,
Toulouse School of Economics,,,,,,,,,
TU Dresden,,,0,0,10.7,16,39.9,20.6,
Umea University,06-Aug,,0,0,12.2,11.3,33.8,16.7,
University at Albany (State University of New York),,,,,,,,,
University College Dublin,2,,0,0,10.7,12.3,34.8,17.9,
"University at Buffalo, the State University of New York",,,,,,,,,
University of Aberdeen,,,0,13.3,12.2,12.6,31.9,21.2,
University of Alabama at Birmingham,,,,,,,,,
University of Bergen,02-Mar,,0,0,10.7,14.6,36.9,19.5,
University of Bochum,,,0,0,13.3,9.9,36.5,18.6,
University of Bordeaux,Sep-14,,0,0,14.3,16.6,40,15.4,
University of Cape Town,01-Feb,,19,0,12.2,10,35.6,19.1,
University of Cincinnati,,,0,0,22.6,9.3,39.7,15.3,
University of Erlangen-Nuremberg,,,0,0,15.9,14.6,39.3,20.8,
University of Exeter,,,0,0,17.8,18.8,33.6,22.7,
University of Florence,07-Aug,,0,0,16.8,10.5,38.9,18.6,
University of Guelph,Aug-16,,0,0,17.5,9.7,31.1,18.7,
University of Houston,,,0,0,17.3,11.4,36.7,19.9,
University of Innsbruck,02-Mar,,0,9.4,14.8,17.1,24.8,24.5,
University of Kansas,,,11.8,0,11.3,13.3,39.5,14.5,
University of Kentucky,,,10.5,0,3.6,12.5,39.7,13.5,
University of Leicester,,,0,0,14.6,18.8,32.7,20.4,
University of Leipzig,,,11.8,13.3,5,9.6,34.6,18.5,
University of Liege,5,,7.4,0,10.1,14.6,31.5,23.9,
University of Lisbon,1,,0,8.1,5,10.8,46.8,22.8,
University of Lorraine,Sep-14,,11.8,16.3,0,7.9,33.7,18.2,
University of Mainz,,,0,7.7,8.9,16.8,37.1,20.1,
University of Marburg,,,10.5,0,14.3,12.1,29.5,16.6,
"University of Maryland, Baltimore",,,0,0,19.1,15.6,38.3,16.8,
University of Missouri - Columbia,,,9.1,0,3.6,15.2,37.2,13.5,
University of Montpellier 2,Sep-14,,10.5,0,6.3,15,31.1,17.3,
University of Montpellier,,,,,,,,,
University of Nebraska - Lincoln,,,17.5,0,16.8,12.5,34.3,16.8,
University of Notre Dame,,,12.9,0,17.5,13,32.1,19.7,
University of Oregon,,,9.1,0,10.1,17,27.1,18.5,
University of Otago,01-Feb,,0,0,12.2,11.3,34.6,27.2,
University of Ottawa,Aug-16,,0,0,8.6,13.4,43.3,18.8,
University of South Carolina - Columbia,,,0,0,16.8,6.9,35.2,15.5,
University of South Florida,,,0,0,16.3,9.7,40,18.1,
University of St Andrews,,,10.5,0,3.8,17.7,29,20.4,
University of Stuttgart,,,19,0,10.1,11.7,27,15.7,
