Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Technology, Kharagpur"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Mandal, Sarthak",36,2015,519,14.4,1.46,15.0,37102022300,http://www.scopus.com/authid/detail.url?authorId=37102022300
"Murthy, P. V S N",36,2017,252,7.0,1.17,19.0,7201374020,http://www.scopus.com/authid/detail.url?authorId=7201374020
"Adyam, Venimadhav",35,2016,144,4.1,0.61,14.0,6602418619,http://www.scopus.com/authid/detail.url?authorId=6602418619
"Basu, J. K.",35,2016,264,7.5,0.95,18.0,55520926800,http://www.scopus.com/authid/detail.url?authorId=55520926800
"Dhara, Dibakar",35,2017,358,10.2,1.58,14.0,6603334811,http://www.scopus.com/authid/detail.url?authorId=6603334811
"Guha, Abhijit",35,2017,136,3.9,1.60,13.0,26867742300,http://www.scopus.com/authid/detail.url?authorId=26867742300
"Pathak, Tanmaya",35,2016,169,4.8,0.63,15.0,56240931200,http://www.scopus.com/authid/detail.url?authorId=56240931200
"Sen, Siddhartha",35,2017,149,4.3,1.40,11.0,7403696862,http://www.scopus.com/authid/detail.url?authorId=7403696862
"Behera, Birendra",34,2017,629,18.5,1.92,11.0,54384754500,http://www.scopus.com/authid/detail.url?authorId=54384754500
"Banerjee, Chiranjib",33,2016,356,10.8,1.30,12.0,14009416100,http://www.scopus.com/authid/detail.url?authorId=14009416100
"Chakrabarti, Partha Pratim",33,2016,84,2.5,0.97,12.0,7101793021,http://www.scopus.com/authid/detail.url?authorId=7101793021
"Das, Tamal D.",33,2015,176,5.3,0.55,13.0,7201461539,http://www.scopus.com/authid/detail.url?authorId=7201461539
"Datta, Raja",33,2016,144,4.4,1.56,8.0,8671014000,http://www.scopus.com/authid/detail.url?authorId=8671014000
"Kuchlyan, Jagannath",33,2017,307,9.3,1.41,11.0,55632761800,http://www.scopus.com/authid/detail.url?authorId=55632761800
"Mukhopadhyay, Siddhartha C.",33,2016,57,1.7,0.43,8.0,7401807695,http://www.scopus.com/authid/detail.url?authorId=7401807695
"Dey, Joykrishna Krishna",32,2016,311,9.7,1.10,25.0,55395484900,http://www.scopus.com/authid/detail.url?authorId=55395484900
"Gupta, Dharmendra Kumar",32,2016,25,0.8,0.22,7.0,35466186000,http://www.scopus.com/authid/detail.url?authorId=35466186000
"Mitra, Rahul",32,2017,181,5.7,0.56,22.0,56225235900,http://www.scopus.com/authid/detail.url?authorId=56225235900
"Nahak, Chandal",32,2017,48,1.5,0.32,7.0,15760149200,http://www.scopus.com/authid/detail.url?authorId=15760149200
"Singh, Ajay Kumar P",32,2016,464,14.5,2.44,33.0,36066009700,http://www.scopus.com/authid/detail.url?authorId=36066009700
"Dey, Tapas Kumar",31,2016,419,13.5,4.14,18.0,24494538300,http://www.scopus.com/authid/detail.url?authorId=24494538300
"Mal, Dipakranjan",31,2017,327,10.5,1.05,23.0,7004004916,http://www.scopus.com/authid/detail.url?authorId=7004004916
"Mandal, Pradip Kumar",31,2015,51,1.6,0.54,9.0,7102223376,http://www.scopus.com/authid/detail.url?authorId=7102223376
"Raj, Chellappan Retna",31,2016,441,14.2,1.67,30.0,7003494949,http://www.scopus.com/authid/detail.url?authorId=7003494949
"Singh, Arvinder K.",31,2017,181,5.8,0.80,16.0,55354226200,http://www.scopus.com/authid/detail.url?authorId=55354226200
"Sinha, Arun Kumar",31,2015,543,17.5,1.64,32.0,7403680059,http://www.scopus.com/authid/detail.url?authorId=7403680059
"Taraphder, A.",31,2016,62,2.0,0.35,9.0,6602698909,http://www.scopus.com/authid/detail.url?authorId=6602698909
"Bhattacharyya, Somnath N.",30,2016,110,3.7,1.29,20.0,7402157365,http://www.scopus.com/authid/detail.url?authorId=7402157365
"Chakraborti, Nirupam B.",30,2017,282,9.4,2.37,23.0,7007154921,http://www.scopus.com/authid/detail.url?authorId=7007154921
