University,# RANK2018,OVERALL SCORE-18,Academic Reputation-18,Citations per Faculty-18,Employer Reputation-18,Faculty Student-18,International Faculty-18,International Students-18
University of Reading,188,49.1,39.4,51.6,55.8,41.3,88.1,92.5
University College Dublin,168,51.5,53.4,48.4,69.4,28,95.7,60.2
University of Göttingen,181,49.6,62.2,23.9,,64.7,43.8,29.6
École Normale Supérieure de Lyon,157,52.8,48.9,30.1,,99.8,57,24.6
University of Bergen,164,52.1,42,59.7,,81,86.4,
University of Twente,179,49.7,28.9,92.2,,42.7,88,76.8
University of Bern,167,51.9,38.1,88.4,43.2,37.7,100,40.8
Vrije Universiteit Brussel (VUB),182,49.5,34.5,23.8,41.3,98.2,79.4,61.9
Politecnico di Milano,170,50.9,63.9,53.1,93.4,,36.9,42.4
Vienna University of Technology,182,49.5,39.8,83.7,75.6,,67.2,91.2
University of Florida,178,49.8,58.6,39.2,37.5,63.1,18.2,21.7
Indian Institute of Technology Delhi (IITD),172,50.7,54.9,91.2,71.1,,,
University of Rochester,186,49.3,32.1,42.6,,100,47.3,90
"University of Illinois, Chicago (UIC)",207,46.9,55,46.9,33.1,36.2,35.4,61.1
University of Sussex,228,43.7,36.6,54.7,,31.7,94.1,97.9
King Fahd University of Petroleum & Minerals,173,50.3,35.7,27.6,40.5,94.9,100,46.6
Radboud University,204,47.1,38.6,73.6,,55.5,44.7,40.4
Universidade Estadual de Campinas (Unicamp),182,49.5,76.9,30,73.4,,,
University of Cape Town,191,48.9,60.2,35.9,55.1,32.9,59.2,49.2
University of Technology Sydney,176,50.1,50.7,45.8,87,,97.2,94.5
Queen's University Belfast,202,47.4,35.2,50.9,50.5,41.7,98.8,94.5
Scuola Normale Superiore di Pisa,192,48.5,,98.3,,91.2,,
Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,192,48.5,,96,,86.3,,49.8
Stockholm University,195,48.1,65.8,49.2,,,64.3,
University of Calgary,217,45.8,42.8,43.5,56.9,35,82.5,61.3
The University of Western Ontario,210,46.6,39.2,72.1,69.3,,99.1,47.6
Vrije Universiteit Amsterdam,218,45.6,50.5,55.8,43.5,35.8,38.2,
Universidad de Chile,201,47.8,82.7,,85.1,,,
Waseda University,203,47.2,69,,89,29.9,28.3,34.2
Case Western Reserve University,213,46.4,,54.9,,97.8,25.4,61.4
Universitat Autònoma de Barcelona,195,48.1,72.1,43.7,41.5,,21.5,28.6
Vanderbilt University,212,46.5,35.8,33.4,,100,21.7,36
University of Notre Dame,216,45.9,36.3,72,34.1,42.3,79.3,
Université Grenoble-Alpes,236,42.9,69.5,38.2,,,20.9,32.5
Instituto Tecnológico y de Estudios Superiores de Monterrey,199,48,42.8,,84.9,77.1,98.4,23.2
Alma Mater Studiorum - University of Bologna,188,49.1,81.5,36.9,62.9,,,
University of Antwerp,210,46.6,35,22.6,38,93,65.3,45.7
Universidad Autónoma de Madrid,187,49.2,65.7,24.7,74.1,43.4,,24.3
Technische Universität Dresden,195,48.1,41.5,79,77,,92.4,38.5
Tel Aviv University,205,47,49.1,96,45.5,,29.7,
Technion - Israel Institute of Technology,224,44,40.6,79.4,40,,63.1,
University of Canterbury,214,46.3,47.1,56.8,48.5,,99,64.7
Georgetown University,227,43.8,41.8,27.5,53.2,62.5,21.1,52.1
Keio University,192,48.5,63,,80.2,60.7,,
Universite libre de Bruxelles,205,47,46.2,44.4,67,,91.7,95.3
University of Wollongong,232,43.3,33.1,59.4,49.3,,98,81.8
Indian Institute of Technology Bombay (IITB),179,49.7,62.3,50.8,77.9,32.1,,
Sciences Po,220,45.2,31.6,,72.1,82.5,62.2,98.5
Université Paris-Sorbonne (Paris IV),293,37.9,65.8,,47.2,,24.4,48.3
Arizona State University,209,46.7,51.4,73,34.2,,51,64
Sapienza University of Rome,215,46.1,78.2,40.1,49.5,,,
Queen's University at Kingston,224,44,43.9,61.9,70.5,,73.8,25.6
University of Tsukuba,250,41.3,42.4,23.8,,70.7,,32
Simon Fraser University,245,41.8,31.5,78,,,94.2,91.9
King Saud University,221,44.5,35.9,,37.7,89.3,98.3,
Université Paris 1 Panthéon-Sorbonne,269,40,63.4,,78.8,,22.2,77.5
Victoria University of Wellington,219,45.5,54,45.8,41.6,,100,58.7
American University of Beirut (AUB),235,43,,,83.7,64.6,99.2,68
Rheinische Friedrich-Wilhelms-Universität Bonn,239,42.6,56.6,23.7,,47.9,,31.2
Universität Hamburg,223,44.2,56.6,,44,51.7,23,26.6
The University of Arizona,230,43.4,51.3,66.4,,,,
University of Turku,276,39.3,32.8,25.3,33.6,75.2,46.4,
Royal Holloway University of London,259,40.5,,63.4,,26.7,98.2,99
Al-Farabi Kazakh National University,236,42.9,38.6,,50.8,99,30.9,
Loughborough University,234,43.1,35.3,41.4,69.2,32.1,79,66.1
Tufts University,243,42,,62.8,,66.1,56.3,33.3
University Complutense Madrid,233,43.2,68.9,,76.8,,,33.8
University of Leicester,238,42.8,28.7,50.9,,46.2,87.1,91.1
National Cheng Kung University (NCKU),222,44.3,49.9,49.3,42,40.2,,26.7
Université Paris-Sud,242,42.3,34.7,24.1,34,78.1,42.5,46.7
National Taiwan University of Science and Technology (Taiwan Tech),264,40.2,30.1,37.1,,79.5,,28.5
University of Dundee,267,40.1,,25.7,,80.9,87.6,74.8
"The University of Newcastle, Australia (UON)",224,44,40,49.1,37,28.4,99.5,74.6
University of Navarra,270,39.8,33.3,,85.7,52.2,,55.3
Macquarie University,240,42.5,41.2,47.2,55.6,,85.9,78.2
Technische Universität Darmstadt,272,39.6,,69.6,87.6,,55.5,49.7
Indian Institute of Technology Madras (IITM),264,40.2,41.1,67.6,51.6,,,
