University,# RANK2017,OVERALL SCORE-17,Academic Reputation-17,Employer Reputation-17,Faculty Student-17,Citations per Faculty-17,International Faculty-17,International Students-17
Nanjing University,115,59.6,69,57.6,26.6,83.8,59.4,23.1
Nagoya University,115,59.6,68.2,42,93.9,38.2,,21.5
Aarhus University,117,59.5,66.3,52.1,35,75.8,68,44.3
"University of California, Santa Barbara (UCSB)",118,59.4,77,,,100,61.5,40.1
Wageningen University,119,59.1,47.7,31.8,99.5,50.8,45.1,88.6
Universidade de São Paulo,120,59,93.3,94.4,30.9,27,,
Humboldt-Universität zu Berlin,121,58.9,93.9,65.2,,35.1,57.3,39.8
Eindhoven University of Technology,121,58.9,41.8,44.8,99,57.2,100,24.7
Freie Universitaet Berlin,123,58.7,88.4,55.9,,51.8,59.8,50.8
Queen Mary University of London,123,58.7,53.6,45.3,64.7,47.7,98.6,99.8
The University of Adelaide,125,58.6,67.4,62.3,29.7,48,94.5,99.2
Université de Montréal,126,58.5,69.3,66.2,28.2,48.5,93.3,79.9
University of York,127,58.4,54.9,54.4,53.2,60,89.6,74.6
Universidad Nacional Autónoma de México  (UNAM),128,58.3,94.3,92.3,49.6,,,
Lancaster University,129,57.9,48.9,51.5,42.3,74.9,91.9,98.1
Hokkaido University,130,57.8,67.3,49.9,84.4,38.1,,
Ghent University,131,57.6,61.9,43.1,88.7,33.7,57.5,23
"University of Maryland, College Park",131,57.6,61.3,33.4,55.5,77.3,30.1,33.2
Universiti Malaya (UM),133,57.1,55.7,48,92.2,,77.7,70.5
Aalto University,133,57.1,45.8,55.9,79.6,57.9,81.6,30
Kyushu University,135,56.8,62.1,53.4,96.5,27,16.7,22.2
University of Southern California,136,56.7,63,50.2,33.4,69.1,44.6,75
University of Minnesota,137,56.4,76.8,40.5,,86.9,,26.3
University of Lausanne,138,56.3,44.8,49.9,89.2,31.6,99.4,80.2
Chalmers University of Technology,139,56.1,37.7,76,62,70.7,83.6,51.9
Cardiff University,140,55.7,54.7,58.1,54.1,45,69.3,92.4
Université Pierre et Marie Curie (UPMC),141,55.6,63.5,45.6,27.3,82.2,27.8,46.9
University of Basel,141,55.6,45.3,35.3,29.1,95.2,100,77.8
University of Aberdeen,141,55.6,42.6,47.3,63.7,56.1,95.9,97.6
Erasmus University Rotterdam,144,55.5,45,85.7,44.9,65.9,63.5,70.6
University of Pittsburgh,145,55.1,48.2,,97.4,52.9,40.1,25.7
RWTH Aachen University,146,55,69.2,96.9,,44.9,30.9,57.1
Pontificia Universidad Católica de Chile (UC),147,54.7,89.7,98.3,28.9,,,
The Hebrew University of Jerusalem,148,54.2,56,,79.5,51.4,51.6,
McMaster University,149,54.1,51.6,50.8,68.9,37.9,93,44.9
Emory University,149,54.1,34.9,,93,72.9,51.2,51.4
National Tsing Hua University,151,53.9,56.8,42.2,,99.6,32.1,
University of Waterloo,152,53.8,49.7,76.2,,84,81.4,74.8
Indian Institute of Science (IISc) Bangalore,152,53.8,42.4,,69.3,99.9,,
Université catholique de Louvain (UCL),154,53.4,65.1,62.3,30.2,37.8,86.3,61.8
University of Vienna,155,53.3,74.9,46.7,,,96.9,94.4
"University of California, Irvine",156,53.2,54.9,,,93.1,51.8,80.2
University of Liverpool,157,53.1,46.1,52.3,57.7,43.2,83.5,97.1
Dartmouth College,158,53,31.4,59,86.3,74.3,,44.5
University of Bath,159,52.7,43.5,78.7,28.5,61.1,95,91.7
Universitat de Barcelona,160,52.6,79.5,66.4,28.4,32.4,,36.1
Texas A&M University,160,52.6,68.7,59,,83.1,,
Michigan State University,160,52.6,63.5,58.2,,62.5,61.8,50.4
Albert-Ludwigs-Universitaet Freiburg,163,52.2,63.7,,39,54.7,57.3,44.5
Technische Universität Berlin (TU Berlin),164,52.1,61.3,78.7,42.7,30,39.8,61.8
The University of Exeter,164,52.1,43.2,62.6,38.6,60,88.3,85.7
CentraleSupélec,164,52.1,,100,88.5,37.1,45.4,92.7
Eberhard Karls Universität Tübingen,167,51.9,56,48,82.3,,55.7,28.4
Newcastle University,168,51.8,40.9,58.4,54.8,46.6,87.9,93.9
University of Otago,169,51.3,57.9,45,,52.8,100,67.9
University of Colorado Boulder,170,51.2,51,44,64.8,53.9,37.4,
Hanyang University,171,50.6,44.7,63.3,86.2,28.8,26.7,41.4
University of Virginia,172,50.5,45.3,47.5,63.6,54.9,51.2,27.8
Maastricht University,173,50.3,30.2,59.8,48.2,62.6,94.9,99.9
National Chiao Tung University,174,50.1,33.3,,60.2,85.8,37.9,55.5
University of Reading,175,50,38.6,52.2,38.2,61.8,89,93.8
University College Dublin,176,49.7,49.8,60.2,,56.5,93.1,60.7
University of Göttingen,177,49.6,62.5,,66.1,24.3,42.1,32.3
École Normale Supérieure de Lyon,177,49.6,49.4,,100,,37.4,27.6
University of Bergen,177,49.6,37.9,,82,53.3,86.1,
University of Twente,177,49.6,29,,42.1,95.6,87.8,70.4
University of Bern,181,49.3,36.1,33.6,27.8,93.7,100,39.9
Vrije Universiteit Brussel (VUB),182,48.9,33,48.4,96.6,,79.3,67.4
Politecnico di Milano,183,48.8,57.2,89.6,,57.7,40.1,41.4
Vienna University of Technology,183,48.8,39.4,67.7,,87.2,65.7,88.1
University of Florida,185,48.6,56.8,34.8,62,40.7,,21.1
Indian Institute of Technology Delhi (IITD),185,48.6,47.2,75.2,,93.2,,
University of Rochester,185,48.6,29.9,,99.9,49.2,31.4,83.9
"University of Illinois, Chicago (UIC)",187,48.4,52.1,41.7,46.8,44.8,51.8,48.3
University of Sussex,187,48.4,37.4,,33.3,73,98.1,97.9
King Fahd University of Petroleum & Minerals,189,48.3,29.3,40.3,89,31.4,100,64.4
Radboud University,190,48.2,38.6,,50.4,78.4,51.8,33.9
Universidade Estadual de Campinas (Unicamp),191,48,70.5,79.2,,33.6,,
University of Cape Town,191,48,58.1,48.1,26.6,42.3,69.3,51.6
University of Technology Sydney,193,47.8,48.8,81,,37.7,96.7,94.6
Queen's University Belfast,195,47.5,36.2,55.2,42.7,45.3,98.8,94.5
Scuola Normale Superiore di Pisa,,,,,,,,
Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,,,,,,,,
Stockholm University,196,47.2,66.3,35.3,,49.5,38.1,
University of Calgary,196,47.2,45,65.9,29.6,46.3,80.4,65
The University of Western Ontario,198,47.1,39.9,60.2,,73.5,99.2,56.1
Vrije Universiteit Amsterdam,199,46.8,52.3,50.7,33.3,56.1,45,
Universidad de Chile,200,46.7,78.6,92.5,,,,
Waseda University,201,46.5,68.1,84.5,29.2,,31.7,37.2
Case Western Reserve University,202,46.4,,,96.8,59.3,29.9,64.2
Universitat Autònoma de Barcelona,203,46.3,68.7,37.5,,42.4,22.2,28
Vanderbilt University,203,46.3,37.7,,100,35.8,,34.5
University of Notre Dame,203,46.3,33.2,43.7,41,80.1,65,22.3
Université Grenoble-Alpes,206,46.1,79.2,,,36.5,,38.3
Instituto Tecnológico y de Estudios Superiores de Monterrey,206,46.1,36,92.6,75.6,,94.9,35.3
Alma Mater Studiorum - University of Bologna,208,46,80.2,54.5,,29.8,,
University of Antwerp,209,45.8,33.9,33,93.1,22.1,67,48.4
Universidad Autónoma de Madrid,210,45.7,64.4,68,34.7,26.3,,
Technische Universität Dresden,210,45.7,41.6,67.8,,77,72.9,36.2
Tel Aviv University,212,45.6,47.7,36.2,,97,31.6,
Technion - Israel Institute of Technology,213,45.5,45.2,32.4,,80.4,65.3,
University of Canterbury,214,45.4,45.7,45.5,,54.8,99,62.6
Georgetown University,214,45.4,40.3,60.9,60.9,31.8,38.4,53.2
Keio University,216,45.1,57.3,73.2,58.9,,,
Universite libre de Bruxelles,216,45.1,46.2,57.9,29.4,25.7,95.1,96
University of Wollongong,218,44.7,31.7,63.1,27.5,56.2,99.7,74.7
Indian Institute of Technology Bombay (IITB),219,44.6,54.7,79.1,25,48.5,,
Sciences Po,220,44.5,31.4,64.7,84.7,,53.2,98
Université Paris-Sorbonne (Paris IV),221,44.4,74.9,68.1,,,26.7,67
Arizona State University,222,44.2,51.8,31,,70.3,30.4,58.3
Sapienza University of Rome,223,44,76.3,43.8,,38.1,,
Queen's University at Kingston,223,44,43.4,62.3,,65.7,76.4,25.6
University of Tsukuba,225,43.8,45.3,,77,24.9,,29.3
Simon Fraser University,226,43.6,31.9,35.6,,82.9,94.9,92.7
King Saud University,227,43.4,34.5,33.4,88.5,,98.8,
Université Paris 1 Panthéon-Sorbonne,228,43.3,71.4,82.5,,,19.2,79.2
Victoria University of Wellington,228,43.3,46.6,42.9,,47.8,100,60.9
American University of Beirut (AUB),228,43.3,28.6,84.9,60.2,,98.6,69.6
Rheinische Friedrich-Wilhelms-Universität Bonn,231,43,57.9,,48.3,23.5,16.7,34.1
Universität Hamburg,232,42.9,58.8,39.2,42,,30.3,27.1
The University of Arizona,233,42.8,52.1,,,67.1,21.8,
University of Turku,234,42.7,34.5,54.8,87.9,,29.5,
Royal Holloway University of London,235,42.6,,,27.2,71.5,98.3,99.1
Al-Farabi Kazakh National University,236,42.5,42.1,36.5,96.9,,30.3,
Loughborough University,237,42.3,31.7,60.1,33.8,47.9,84.3,58.1
Tufts University,238,42.2,,,67.8,59.8,38,60.1
University Complutense Madrid,239,42.1,68,72.6,,,,36.8
University of Leicester,239,42.1,,,56.9,43.7,84.4,97.1
National Cheng Kung University (NCKU),241,42,42.2,34.3,39.8,57.1,17.6,27.7
Université Paris-Sud,241,42,37.4,,68.1,31.8,32.2,52.4
National Taiwan University of Science and Technology (Taiwan Tech),243,41.7,33.1,,73.8,46.2,,26.9
University of Dundee,244,41.6,,,82.1,25.2,88.5,76.2
"The University of Newcastle, Australia (UON)",245,41.3,37.7,43.2,,44.1,99.3,59.5
University of Navarra,245,41.3,32.4,84.7,66.1,,19.5,54.9
Macquarie University,247,41.2,39.2,47.9,,51.4,96,66.9
Technische Universität Darmstadt,247,41.2,29.3,82.6,,69,59.5,56.4
Indian Institute of Technology Madras (IITM),249,41,41.1,55.2,,73.3,,
National University of Ireland Galway,249,41,,35.5,76.8,,90.7,62.6
University of Massachusetts Amherst,251,40.8,47.5,,,69.3,18.5,
Chulalongkorn University,252,40.6,68.9,52.3,,,16.4,
RMIT University,252,40.6,42,74.1,,,100,83.5
SOAS University of London,252,40.6,38.4,,45.8,,100,100
University of East Anglia (UEA),252,40.6,28.3,,35.2,59.5,81,90.1
University of Miami,252,40.6,,,95.2,35.1,,48.9
Beijing Normal University,257,40.4,49.3,33.4,31.8,40.3,40.4,
Saint Petersburg State University,258,40.1,38,31.3,97.6,,,26.4
Norwegian University of Science And Technology,259,39.8,36.6,46,31.4,45.7,73.7,28
Université de Strasbourg,260,39.6,60.7,,,28.1,40.3,49
University of Surrey,261,39.5,,35.6,33.1,43.8,96,98.5
Université Paris Diderot - Paris 7,262,39.4,55.8,,,51.3,34,42.2
Universität Stuttgart,263,39.3,34.8,62.3,35.2,34.6,37.1,64.9
Universität Frankfurt am Main,264,39.2,55.3,51.6,,,17.2,41.4
University of Gothenburg,264,39.2,43,,47.2,32.1,37,26.7
Kyung Hee University,264,39.2,29.1,60.2,74,,,37.3
Ecole Normale Supérieure de Cachan,264,39.2,,,87.8,36.7,32.9,43.3
Ecole des Ponts ParisTech,268,39.1,,74.4,97.9,,,98.6
Universidad Nacional de Colombia,269,38.9,65,91.5,,,,
Universiti Putra Malaysia (UPM),270,38.8,43.2,,48.9,,45.2,71.8
"University of California, Riverside",271,38.7,,,,84,95.4,30.8
Universidad de los Andes,272,38.5,59.7,84.8,,,31.9,
Friedrich-Alexander-Universität Erlangen-Nürnberg,272,38.5,30.1,37.2,,97.5,26.2,27.2
University of Strathclyde,272,38.5,28.7,54.5,28.6,36.3,88.5,80.2
Wuhan University,275,38.2,42.8,46.5,,39.8,54.9,
Queensland University of Technology (QUT),276,38.1,39.9,56.7,,31.4,96.9,49.6
North Carolina State University,277,38,36.2,,29.1,50.1,51.8,40.1
Harbin Institute of Technology,278,37.9,30.5,,49.6,64.4,,
Hong Kong Baptist University,278,37.9,,,35.9,50.2,99.4,91.4
Universidad Carlos III de Madrid (UC3M),280,37.8,34.8,56.9,68.2,,34.2,22.6
"Birkbeck, University of London",280,37.8,,,,70,97.5,99.2
Linköping University,282,37.7,,49.3,70.3,28,41.1,
Mahidol University,283,37.6,45.8,,73.3,,,
Universitat Pompeu Fabra,283,37.6,39.4,31.8,,44.4,76.4,34.5
University College Cork,283,37.6,31.1,44.8,29.5,38.1,93.1,47
King Abdulaziz University (KAU),283,37.6,27.3,,66.5,,99,68.1
Dalhousie University,283,37.6,,,,65.5,100,60.2
University of South Australia,288,37.4,28.8,41.6,28.5,37.3,100,65.5
Universiti Teknologi Malaysia,288,37.4,,,82.9,,56.8,41.3
University of St.Gallen (HSG),288,37.4,,94.3,,61.9,100,97
Indiana University Bloomington,291,37.3,53.1,42.2,,22.1,33.7,26.3
University of Ottawa,291,37.3,34.8,,,59.8,86.6,51
Novosibirsk State University,291,37.3,28.9,34.2,86.6,,,56
Westfälische Wilhelms-Universität Münster,294,37.2,39.8,53.5,45,24.9,25.1,
Umea University,294,37.2,,,85.5,24.3,31.9,
"University of California, Santa Cruz",296,37.1,31.1,,,92,45.7,
Sun Yat-sen University,297,37,41.2,39,,50.1,39.6,
Hiroshima University,297,37,34.3,,86,,,
Universität Innsbruck,299,36.9,31.4,38.4,33.1,,97.2,99.2
Boston College,299,36.9,28.8,44.3,,56.3,95.5,24.5
Rutgers University - New Brunswick,301,36.8,43.8,,34.8,35.7,21.1,27.1
Charles University,302,36.7,48.7,44.9,37.6,,,45
Universiti Kebangsaan Malaysia (UKM),302,36.7,40,,53.9,,55,44
Indian Institute of Technology Kanpur (IITK),302,36.7,36.9,49.9,,64.2,,
Politecnico di Torino,305,36.4,32.6,63.7,,70.7,,45.7
Curtin University,306,36.3,30.7,39,,33.4,100,74.4
Bauman Moscow State Technical University,306,36.3,,50.4,100,,,
Universidad Austral,308,36.2,28.4,61.9,86.7,,,
National Yang Ming University,308,36.2,,,99.5,38.9,,
National Taiwan Normal University,310,36,37.8,,59.3,,16.9,76.3
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA),310,36,29,85.9,72.6,,,22.4
Rensselaer Polytechnic Institute,310,36,,,,95.6,,39.9
Indian Institute of Technology Kharagpur (IIT-KGP),313,35.9,28.7,50.6,,83.9,,
"City, University of London",314,35.8,,65.5,,33.3,96,100
Nankai University,315,35.7,35.5,,,70.3,,
Tongji University,315,35.7,35.5,30.8,29.1,38.5,68.5,26.8
Université de Liège,315,35.7,,,,71.3,,65.5
Xi’an Jiaotong University,318,35.6,33.5,,49.3,38.5,23.4,
Tampere University of Technology,319,35.5,,31.1,94.1,,55.3,21
Ben Gurion University of The Negev,320,35.4,,,28.3,51.8,76.8,59.6
Universidade Federal do Rio de Janeiro,321,35.3,61.6,,,,,
Universitat Politècnica de Catalunya,321,35.3,35.1,42.4,50.4,24.1,,33
University of Porto,323,35.2,41.7,39.5,,54.4,,
University of Waikato,324,35.1,,36.5,,53.1,97.3,79.9
Universitas Indonesia,325,35,42.6,54.5,42.4,,68.1,
University of Victoria,325,35,,,,75.4,82.9,47.2
Université de Montpellier,327,34.8,46.8,32.5,,39.5,,41
Heriot-Watt University,327,34.8,,45.5,34.2,36.2,98.6,99.6
Tokyo Medical and Dental University (TMDU),329,34.7,,,100,26.1,,
University of Lisbon,330,34.6,42.4,50.7,,40.8,,23.1
Universiti Sains Malaysia (USM),330,34.6,40.3,34.7,36.8,25.9,23.4,25.8
Tilburg University,330,34.6,,36.9,,68.3,87,37.9
University of Essex,330,34.6,,,,47.6,99.2,99.8
The Katz School at Yeshiva University,330,34.6,,,98.8,56.6,,24.7
Ewha Womans University,335,34.5,,,80.8,,,35.1
Griffith University,336,34.4,31.7,32.5,,36.5,98,64.1
Gwangju Institute of Science and Technology (GIST),337,34.3,,,35,100,,
Università di Padova,338,34.2,56,,,24.3,,
University of Jyväskylä,338,34.2,,,81.7,,36.7,
Massey University,340,34.1,33.7,,,,96.5,73.4
James Cook University,340,34.1,,,,49.4,96.9,83.9
University at Buffalo SUNY,342,34,,,,72.9,68,66.4
Lincoln University,343,33.9,,,58,37.9,91.7,93.9
University of Hawai'i at Mañoa,343,33.9,,,56.6,40.2,64.7,25.8
Brunel University London,345,33.8,,,,48.8,97.5,99.6
L.N. Gumilyov Eurasian National University (ENU),345,33.8,,,99.6,,28.9,
University of Cologne,347,33.6,42.9,54.9,,,32.2,28.7
University of Tartu,347,33.6,28.7,,72.9,,17.4,
University Ulm,347,33.6,,,64.7,52.6,52.9,33.7
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),350,33.4,,,98.4,,22.8,36.5
Moscow State Institute of International Relations (MGIMO University),350,33.4,,32.1,99.4,,,36.1
Universität Konstanz,352,33.2,33.7,,40.4,23.2,58.7,33
Universidad de Belgrano,352,33.2,,60.5,80.6,,,89.9
Belarusian State University,354,33,,,92.4,,,22.9
Deakin University,355,32.9,31.9,38.5,,35.7,98.5,54.8
Université Paris Dauphine,356,32.8,31.2,67,,,45,86.2
Aston University,358,32.7,,43.3,,38.3,98.1,82.1
University of the Witwatersrand,359,32.6,33.9,34.2,,30.3,95.9,
Oxford Brookes University,359,32.6,30.9,69,,,66,84.8
Virginia Polytechnic Institute and State University,361,32.4,31.8,40.2,25.6,42.2,20.4,21.4
Northeastern University,361,32.4,,37.5,27.4,40,57,96.2
George Washington University,363,32.3,32.4,37.8,27.1,29.6,35.3,47.9
Universität Jena,363,32.3,,,78.2,22,,33.2
The American University in Cairo,365,32.2,31.6,61.4,35.5,,96.9,
University of Warsaw,366,32.1,42.5,48.1,35.4,,,
Universidade Nova de Lisboa,366,32.1,29.3,51.7,38.7,21.4,36.1,26.6
University of Kent,366,32.1,,,32.4,25.6,97.7,90.7
Universiti Brunei Darussalam (UBD),,,,,,,,
Kobe University,369,32,31.7,30.8,59.2,,,
University of Milan,370,31.9,48.2,,,34.4,,
University of Tasmania,370,31.9,,,,35.7,92.6,75.9
Laval University,372,31.8,29,,29.1,31.5,69.9,35
University of Kansas,373,31.7,,,76.9,24.3,17.6,21.6
University of the Philippines,374,31.5,42.5,46.9,46,,,
Aalborg University,374,31.5,,48.6,,27.3,72.2,47.3
"University of Colorado, Denver",374,31.5,,,100,,,22.1
Université Paris Descartes,377,31.4,30.8,,32,37.5,19.6,53.2
Tomsk State University,377,31.4,,,83.5,,23.7,57.3
University of Tromsø The Arctic University of Norway,377,31.4,,,96.7,,17.3,29.9
Dublin City University,380,31.3,,36.9,36.2,24,86.1,57.5
University of Texas Dallas,380,31.3,,,,88.9,,48
University of Eastern Finland,382,31.2,,,62.1,27.6,42.9,
V. N. Karazin Kharkiv National University,382,31.2,,,88.4,,,97.7
American University,384,31.1,35.4,55.7,30.8,,,35.2
University of Stirling,385,31,,,,56.5,73,64.2
Colorado State University,386,30.9,29.8,36.6,,49.5,22.7,
Chung-Ang University (CAU),386,30.9,,,82.6,,17.3,37.3
La Trobe University,386,30.9,,30.8,,26,97.8,95.1
Beijing Institute of Technology,389,30.8,33.3,31.5,31,37.7,,
