Rank,Teaching,University
322,47.7,Universidad Central de Venezuela - UCV
323,47.5,Universitat Autònoma de Barcelona
324,46.8,Colegio Mayor de Nuestra Senora del Rosario
325,46.8,University of Surrey
326,46.7,"University of Illinois, Chicago (UIC)"
327,46.7,Saint-Petersburg State University
328,46.7,Swinburne University of Technology
329,46.6,Tongji University
330,46.3,Pontificia Universidad Católica de Valparaíso
331,46.3,University of Minnesota
332,46.2,Baylor College of Medicine
333,46.1,University of Limerick
334,46,Xi’an Jiaotong University
335,46,Université du Québec
336,45.9,National and Kapodistrian University of Athens
337,45.9,Universidad Latinoamericana de Ciencia y Tecnología - ULACIT
338,45.9,King Saud University
339,45.8,University of Tsukuba
340,45.7,"University of North Carolina, Chapel Hill"
341,45.7,Universidade Católica Portuguesa - UCP
342,45.6,Shanghai University
343,45.6,Universidad Torcuato Di Tella
344,45.4,University of Oslo
345,45.4,University of Bern
346,45.3,"University of California, Riverside"
347,45.3,"National University of Ireland, Galway"
348,45.3,Simon Fraser University
349,45.2,Universidad Politècnica de València
350,45,University of Gothenburg
351,45,BI Norwegian Business School
352,45,Wuhan University
353,44.8,Northumbria University at Newcastle
354,44.7,Al-Farabi Kazakh National University
355,44.6,University of Florida
356,44.5,Bilkent University
357,44.2,Universidad Nacional de La Plata
358,43.9,Auckland University of Technology (AUT)
359,43.6,Novosibirsk State University
360,43.3,University of the Witwatersrand
361,43.3,Lebanese American University
362,43.2,Hankuk (Korea) University of Foreign Studies
363,43.1,University of Milan
364,42.9,Universidad Técnica Federico Santa María (USM)
365,42.9,Universitat Politècnica de Catalunya
366,42.6,University of Massachusetts Amherst
367,42.4,Technion - Israel Institute of Technology
368,42.3,Université de Technologie de Compiègne (UTC)
369,42.2,Sun Yat-sen University
370,42.2,Radboud University
371,42,Virginia Polytechnic Institute and State University
372,41.7,Dublin Institute of Technology
373,41.2,Massey University
374,41.1,Universiti Sains Malaysia (USM)
375,41.1,Leibniz Universität Hannover
376,41,La Trobe University
377,40.9,National University of Sciences And Technology (NUST) Islamabad
378,40.9,"University of California, San Francisco"
379,40.9,"University of California, Irvine"
380,40.8,Alexandria University
381,40.6,Brandeis University
382,40.6,Brunel University London
383,40.5,University of Antwerp
384,40.4,University of Santo Tomas
385,40.3,Aristotle University of Thessaloniki
386,40.3,Pontifícia Universidade Católica do Rio de Janeiro
387,40.1,University of Leicester
388,40,Universidad de Concepción
389,40,Wageningen University
390,39.9,Laval University
391,39.9,University of Porto
392,39.8,Beijing Institute of Technology
393,39.7,Indian Institute of Science (IISc) Bangalore
394,39.7,Universität Innsbruck
395,39.6,University of Twente
