Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
"Ghosal, Ambar",262,Saha Institute of Nuclear Physics,4,1.69,116,100.0
"Gupta, Alok C.",262,University of Gorakhpur,8,0.95,116,100.0
"Lekshmi, D. ViJaya",262,University of Kerala,3,1.63,116,100.0
"Sripathi, S.",267,Indian Institute of Geomagnetism,14,0.58,115,92.86
"Haider, S. A.",267,Physical Research Laboratory - India,14,0.38,115,100.0
"Chattopadhyay, Utpal",267,Indian Association for the Cultivation of Science,7,1.03,115,100.0
"Chattopadhyay, Utpal",267,Indian Association for the Cultivation of Science (IACS) - Jadavpur,7,1.03,115,100.0
"Kakad, A. P.",271,Indian Institute of Geomagnetism,4,1.33,113,100.0
"Majumder, G.",271,Tata Institute of Fundamental Research,4,4.23,113,100.0
"Dabas, R. S.",271,National Physics Laboratory - India,15,0.35,113,100.0
"Khare, Pushpa",274,Inter-University Centre for Astronomy & Astrophysics,8,0.94,112,100.0
"Kantharia, N. G.",275,Tata Institute of Fundamental Research,20,0.29,111,95.0
"Uddin, Wahab",275,Aryabhatta Research Institute of Observational Sciences,9,0.72,111,100.0
"Singh, J.",277,Panjab University,1,8.35,110,100.0
"Misra, Aalok",278,Indian Institute of Technology (IIT) - Roorkee,7,0.88,109,100.0
"Punnadi, Sujit",278,Inter-University Centre for Astronomy & Astrophysics,5,2.1,109,80.0
"Gaur, Haritma",278,Aryabhatta Research Institute of Observational Sciences,6,0.96,109,100.0
"Majumdar, Debasish",281,Saha Institute of Nuclear Physics,7,1.86,108,100.0
"Mohanty, G. B.",281,Tata Institute of Fundamental Research,4,4.1,108,75.0
"Aziz, T.",281,Tata Institute of Fundamental Research,4,4.1,108,75.0
"Modak, A.",284,Saha Institute of Nuclear Physics,2,8.18,107,100.0
"Dewanjee, R. K.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Parida, B.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Roy, D.",284,Saha Institute of Nuclear Physics,2,8.18,107,100.0
"Kalsi, A. K.",284,Panjab University,2,8.18,107,100.0
"Mazumdar, K.",284,Tata Institute of Fundamental Research,3,5.45,107,66.67
"Kole, G.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Maity, M.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Chatterjee, K.",284,Saha Institute of Nuclear Physics,2,8.18,107,100.0
"Chatterjee, R. M.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Ghosh, S.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Ganguly, S.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Jog, Chanda J.",284,Indian Institute of Science (IISC) - Bangalore,11,0.49,107,90.91
"Mukherjee, S.",284,Saha Institute of Nuclear Physics,2,8.18,107,100.0
"Chakraborti, Sayan",284,Tata Institute of Fundamental Research,7,0.87,107,100.0
"Wickramage, N.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Kumar, S.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Sudhakar, K.",284,Tata Institute of Fundamental Research,3,5.45,107,66.67
"Bhawandeep, U.",284,Panjab University,2,8.18,107,100.0
"Dugad, S.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Topkar, A.",284,Bhabha Atomic Research Center,2,8.18,107,100.0
"Guchait, M.",284,Tata Institute of Fundamental Research,2,8.18,107,100.0
"Mittal, M.",284,Panjab University,2,8.18,107,100.0
