Data set,"102 competencies of the Indian Institute of Technology, Bombay (2015), based on publications in 2011-2015"
Entity,"Indian Institute of Technology, Bombay"
Year,2015

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Competency ID,"Authors (Indian Institute of Technology, Bombay)",Keywords,Subject Areas,Publications worldwide,Publications in competencies (fractionalized count),Average annual growth,"Publications (Indian Institute of Technology, Bombay)","Publications from Indian Institute of Technology, Bombay (fractionalized count)",% Share of publications worldwide,"Average annual growth (Indian Institute of Technology, Bombay)","Rank of Indian Institute of Technology, Bombay by number of publications",Relative Publication Share,Relative Reference Share,State of the Art,"Citations of publications from the Indian Institute of Technology, Bombay"
82 (EC),"Khakhar D.V., Tripathi A.K., Gharat S.H.","Granular materials; separation; flow","Condensed Matter Physics (100.0)",271,113.6,4.0%,7,3.7,3.3%,-38.8%,7,0.44,0.05,-1.51,45
83 (EC),"Bandyopadhyay S., Desai N.B., Kedare S.B.","Solar energy; Solar collectors; Efficiency","Renewable Energy, Sustainability and the Environment (100.0)",316,108.6,28.0%,12,7.3,6.8%,62.0%,1,1.35,0.87,2.91,28
84 (EC),"Agarwal V.K., Chatterjee K., Duttagupta S.P.","Electric potential; DC-DC converters; Photovoltaic cells","Electrical and Electronic Engineering (100.0)",331,95.7,0.0%,9,4.8,5.0%,15.9%,1,1.03,0.00,0.35,10
85 (EC),"Rao C.P., Mitra A., Areti S.","Fluorescence; Metal ions; Ions","General Chemistry (100.0)",398,108.9,-17.0%,7,5.4,5.0%,-15.4%,2,0.82,0.00,-0.04,58
86 (EC),"Sasidhar Y.U., Shukla R.T., Chakrabarti R.","Polymers; Receptor, IGF Type 2; Cyclization","General Medicine (59.2); Biochemistry (40.8)",377,110.2,-4.1%,6,4.2,3.8%,22.6%,3,0.89,0.00,-3.34,11
87 (EC),"Trivedi A., Krishna S.N., Manasa L.","Model checking; Algorithms; Computability and decidability","General Computer Science (50.2); Theoretical Computer Science (49.8)",354,107.1,-9.5%,5,4.4,4.1%,83.3%,4,0.78,0.00,-5.13,2
88 (EC),"Wangikar P.P., Singh M.P.V.V., Gupta V.H.","Tuberculosis; Isoniazid; Antitubercular Agents","General Medicine (100.0)",278,95.8,0.9%,4,3.0,3.1%,-7.1%,3,0.71,0.44,0.15,30
89 (EC),"Kathuria V., Narayanan K.V.","Productivity; Exporting; Firms","Economics and Econometrics (67.0); General Economics,Econometrics and Finance (33.0)",286,94.1,-10.7%,6,4.1,4.3%,-27.2%,1,1.29,0.00,-1.32,8
90 (EC),"Vasa P., Singh M.S.","Plasmons; polaritons; coupling","Electronic, Optical and Magnetic Materials (100.0)",321,100.8,9.2%,11,9.1,9.0%,30.2%,2,0.95,0.18,0.01,89
91 (EC),"Asolekar S.R., Kalbar P.P., Karmakar S.","Decision making; sustainable development; sustainability","Geography, Planning and Development (50.1); General Engineering (49.9)",363,89.1,-2.3%,4,2.4,2.7%,-5.5%,5,0.60,0.00,-3.03,30
92 (EC),"Sarkar S.K., Subbiah A.S., Chowdhury A.A.","Perovskite; Solar cells; Conversion efficiency","General Materials Science (63.9); Electrical and Electronic Engineering (36.1)",321,95.9,39.4%,9,4.6,4.8%,62.7%,3,0.63,1.11,4.59,102
93 (EC),"Kulkarni P.T., Mishra D., Bellur U.","Data storage equipment; Virtual reality; Program processors","Software (100.0)",240,91.2,14.7%,6,4.3,4.7%,28.7%,2,0.74,0.20,0.78,13
94 (EC),"Sukhatme S.P., Bandyopadhyay S., Bade M.H.","electricity; energy; poverty","Management, Monitoring, Policy and Law (58.0); General Engineering (42.0)",235,80.9,-1.3%,6,3.9,4.8%,-14.9%,4,0.82,0.00,-4.24,35
95 (EC),"Joshi S.S., Singh R.K.P., Mastud S.A.","Electric discharge machining; Machining; Electrodes","Industrial and Manufacturing Engineering (68.1); General Materials Science (31.9)",194,85.7,-13.4%,7,5.3,6.1%,-4.1%,1,1.42,0.13,2.30,13
96 (EC),"Wangikar P.P., Gaudana S.B., Krishnakumar S.","Cyanothece; Cyanobacteria; Photosynthesis","Biotechnology (59.8); Biochemistry (40.2)",340,83.2,4.2%,14,7.7,9.3%,8.7%,2,0.78,0.56,0.75,45
97 (EC),"Buddhiraju K.M., Banerjee B., Varma S.","Image segmentation; Clustering algorithms; Algorithms","General Computer Science (64.4); General Earth and Planetary Sciences (35.6)",251,75.0,-14.4%,6,4.3,5.7%,-76.9%,1,1.62,0.00,-2.60,13
98 (EC),"Lahiri G.K.U., Mobin S.M., Agarwala H.","ligands; oxidation; reduction (chemistry)","Inorganic Chemistry (66.1); Physical and Theoretical Chemistry (33.9)",314,76.4,-8.5%,40,21.7,28.5%,-6.0%,2,0.81,1.69,1.26,315
99 (EC),"Lodha S., Bhatt P., Kothari S.","Germanium; Doping (additives); Chemical activation","Electrical and Electronic Engineering (63.3); Condensed Matter Physics (36.7)",228,69.2,12.7%,14,7.3,10.6%,70.0%,1,1.27,0.21,2.42,64
100 (EC),"Bhattacharyya A.R., Panwar A.S., Poyekar A.V.","Multiwalled carbon nanotubes (MWCN); Carbon nanotubes; Percolation (computer storage)","General Chemistry (100.0)",248,59.5,8.7%,12,5.3,8.8%,45.8%,1,1.58,0.80,1.79,63
101 (EC),"Pani A.K., Yadav S.K., Goswami D.","Galerkin methods; Local discontinuous Galerkin method; Integrodifferential equations","Applied Mathematics (100.0)",150,58.7,0.9%,7,5.8,9.9%,20.0%,1,1.17,0.00,-1.99,11
102 (EC),"Prabhu S.V., Agrawal A.M.I.T., Bhadouriya R.A.M.B.I.R.","Heat transfer; Heat transfer coefficients; Tubes (components)","Mechanical Engineering (57.9); Condensed Matter Physics (42.1)",111,57.8,11.8%,4,3.3,5.6%,56.7%,5,0.59,0.20,-8.15,5

"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
