Name,,Publications,publication,Citations,h-index
"317. Murugananthkumar, Raju",,7,2016,77,4
"318. Nadimpalli, Siva Kumar Umar",,7,2014,12,11
"319. Nagarajan, Rajagopal",,7,2016,47,3
"320. Naik, Nenavath Srinivas",,7,2016,5,1
"321. Nellaepalli, Sreedhar",,7,2015,42,6
"322. Pandeeti, Emmanuel Vijay Paul",,7,2015,28,4
"323. Patel, Sujata",,7,2016,4,4
"324. Prakasa Rao, B. L S",,7,2013,27,8
"325. Prasad, Kartik Satya",,7,2016,17,17
"326. Raghuveer, Kavarthapu",,7,2015,82,10
"327. Raju, Borelli Deva Prasad",,7,2016,64,9
"328. Ramakrishna, Dasari",,7,2016,14,4
"329. Ramaswamy, Ram",,7,2015,118,3
"330. Rani, Pittu Sandhya Andhya",,7,2014,53,4
"331. Reddy, Gorla Venkateswara",,7,2017,54,16
"332. Reddy, Sanjay Thirupathi",,7,2017,38,6
"333. Sagar, Aman B.",,7,2014,1,1
"334. Sarath, Ravipati",,7,2012,1,1
"335. Sashi, Pulikallu",,7,2016,29,3
"336. Sathyavathi, R.",,7,2016,84,7
"337. Sen, Saikat",,7,2013,38,12
"338. Sendil Kumar, A.",,7,2015,8,2
"339. Shadak Alee, K.",,7,2013,80,5
"340. Shrivastava, Keshav N.",,7,2014,11,11
"341. Shukla, Pawan",,7,2016,31,3
"342. Singh, Naveen Kumar",,7,2016,35,12
"343. Singha, Shuvra",,7,2016,47,3
"344. Soumya, C.",,7,2017,6,1
"345. Srinivas, Venu",,7,2013,69,10
"346. Sudhamalla, Babu",,7,2013,62,6
"347. Tarafdar, Pradip K.",,7,2015,35,6
"348. Venkatakrishnarao, Dasari",,7,2017,19,3
"349. Ananthaiah, J.",,6,2014,24,4
"350. Asghar, Khushnuma",,6,2016,18,3
"351. Bimolata, Waikhom",,6,2015,27,3
"352. Dar, Mudasir H.",,6,2017,8,2
"353. Dayakar, Alti",,6,2016,23,3
"354. Ghosh, Koushik",,6,2016,118,13
"355. Gokara, Mahesh",,6,2016,92,8
"356. Gundawar, Manoj Kumar",,6,2016,11,2
"357. Hariharan, Meena",,6,2016,4,1
"358. Hussain, Arif B.",,6,2017,76,15
"359. Jose, Regina",,6,2015,6,2
"360. Joseph, Andrews",,6,2016,6,1
"361. Krishna, Malika Bala Murali",,6,2012,48,3
"362. Kumar, Baskaran Ganesh",,6,2017,27,3
"363. Kumar, Chandan Sudheer",,6,2017,20,3
"364. Kumar, Dheeraj Sanjeev",,6,2016,1,1
"365. Kumar, Gurvinder Manoj",,6,2014,8,3
"366. Lakshmi, Khandavalli Venkata Naga Satya",,6,2016,11,4
"367. Laskar, Shyamasree",,6,2016,25,3
"368. Manikanthababu, N.",,6,2016,6,2
"369. Manojveer, Seetharaman",,6,2015,64,5
"370. Mirza, Azeem Baig",,6,2016,10,1
"371. Monisha, P. J.",,6,2016,3,1
"372. Nagaraju, Koppanathi",,6,2016,35,3
"373. Narayana, Yemineni S L V",,6,2017,50,4
"374. Pareek, Alka",,6,2017,30,4
"375. Parthasarathy, Sunil",,6,2016,13,3
"376. Patnaik, Arun Kumar",,6,2014,2,1
"377. Paul Praveen, John",,6,2017,2,1
"378. Pavan Kumar Naik, S.",,6,2014,16,3
"379. Peddireddy, Vidyullatha",,6,2016,4,2
"380. Prakash Babu, Phanithi",,6,2016,30,4
"381. Prakash, Jogadhenu Shyam Sunder",,6,2015,49,13
"382. Prasad, M.Durga",,6,2015,18,6
"383. Praveen, Jain Paul",,6,2016,58,5
"384. Qasim, M.",,6,2016,53,4
"385. Rajesh, Angireddy",,6,2015,32,4
"386. Ramamma, Batta",,6,2017,6,2
"387. Ramana, Chintalapati Venkata",,6,2016,21,6
"388. Ramkumar, Nagarajan",,6,2015,73,4
"389. Ramudu, M.",,6,2015,23,3
"390. Rao, Epurunageswara",,6,2016,14,3
"391. Sandhya, Mulagala",,6,2017,4,1
"392. Sankhala, Rajeshwer Singh",,6,2014,48,6
"393. Sarkar, Rudraditya",,6,2017,10,2
"394. Setty, Oruganti H.",,6,2015,29,8
"395. Shankar, Bhaskaran Ravi",,6,2017,3,10
"396. Shankar, Majji",,6,2016,127,4
"397. Sreeja, S.",,6,2013,9,2
"398. Sreeramulu, Valligatla",,6,2016,48,2
"399. Sudheendran, Kooriyattil",,6,2012,33,10
"400. Sundar, Shyam",,6,2014,55,7
"401. Suri, K. C.",,6,2014,0,3
"402. Swain, Umakanta",,6,2016,52,6
"403. Upender, G.",,6,2015,76,13
"404. Veeraraghavaiah, Gorre",,6,2016,197,4
