University,Faculty Student-14,Faculty Student-15,FS-14,FS-15,b2-c2,B2/D2,E2^2,,ABS
Southern Federal University,82.3,90.1,,,-7.8,-0.0947752126,0.0089823409,,0.0947752126
"University of North Carolina, Chapel Hill",82.2,81.7,,,0.5,0.0060827251,3.69995441656159E-005,,0.0060827251
Kyung Hee University,82.2,72.6,,,9.6,0.1167883212,0.013639512,,0.1167883212
Belarus State University,82,88.7,,,-6.7,-0.0817073171,0.0066760857,,0.0817073171
Peking University,82,73,,,9,0.1097560976,0.012046401,,0.1097560976
Tampere University of Technology,81.7,89.2,,,-7.5,-0.0917992656,0.0084271052,,0.0917992656
University of Bergen,81.4,86.4,,,-5,-0.0614250614,0.0037730382,,0.0614250614
The Hebrew University of Jerusalem,81.1,82.5,,,-1.4,-0.0172626387,0.0002979987,,0.0172626387
Tokyo Institute of Technology,80.5,87.2,,,-6.7,-0.0832298137,0.0069272019,,0.0832298137
University of Eastern Finland,80.4,77.5,,,2.9,0.0360696517,0.0013010198,,0.0360696517
University of Navarra,80.2,84.2,,,-4,-0.0498753117,0.0024875467,,0.0498753117
Universidade Federal da Bahia,79.8,68.6,,,11.2,0.1403508772,0.0196983687,,0.1403508772
ETH Zurich - Swiss Federal Institute of Technology,79.7,78.6,,,1.1,0.0138017566,0.0001904885,,0.0138017566
Georg-August-University Goettingen,79.5,74.9,,,4.6,0.0578616352,0.0033479688,,0.0578616352
The University of Edinburgh,79.4,85.3,,,-5.9,-0.0743073048,0.0055215755,,0.0743073048
University of Toronto,78.8,82.6,,,-3.8,-0.0482233503,0.0023254915,,0.0482233503
The Chinese University of Hong Kong (CUHK),78.4,69.3,,,9.1,0.1160714286,0.0134725765,,0.1160714286
The Hong Kong University of Science and Technology,78,65.8,,,12.2,0.1564102564,0.0244641683,,0.1564102564
Gifu University,77.6,77.1,,,0.5,0.006443299,4.15161016048464E-005,,0.006443299
Rice University,77.4,84.2,,,-6.8,-0.0878552972,0.0077185532,,0.0878552972
Umea University,77.3,84,,,-6.7,-0.0866752911,0.0075126061,,0.0866752911
Khalifa University,77,84,,,-7,-0.0909090909,0.0082644628,,0.0909090909
National University of Sciences And Technology (NUST) Islamabad,77,75.4,,,1.6,0.0207792208,0.000431776,,0.0207792208
UniversitÃ© PanthÃ©on-Assas (Paris 2),77,62.4,,,14.6,0.1896103896,0.0359520998,,0.1896103896
The Australian National University,76.9,68.9,,,8,0.1040312094,0.0108224925,,0.1040312094
UniversitÃ© Paris-Sud,76.9,66.4,,,10.5,0.1365409623,0.0186434344,,0.1365409623
Queen Mary University of London,76.6,72.4,,,4.2,0.0548302872,0.0030063604,,0.0548302872
Hallym University,76.5,79.8,,,-3.3,-0.0431372549,0.0018608228,,0.0431372549
Al-Imam Muhammed Ibn Saud Islamic University,76.4,75.4,,,1,0.0130890052,0.0001713221,,0.0130890052
Kazakh National Technical University named after K.I.Satpaev,75.9,86.7,,,-10.8,-0.1422924901,0.0202471527,,0.1422924901
University of St Andrews,75.7,79,,,-3.3,-0.0435931308,0.0019003611,,0.0435931308
Okayama University,75.7,77.9,,,-2.2,-0.0290620872,0.0008446049,,0.0290620872
Chung-Ang University (CAU),75.5,82.5,,,-7,-0.0927152318,0.0085961142,,0.0927152318
City University of Hong Kong,75.4,81.9,,,-6.5,-0.0862068966,0.007431629,,0.0862068966
Maastricht University,75.3,71.5,,,3.8,0.0504648074,0.0025466968,,0.0504648074
Cornell University,75.2,73.9,,,1.3,0.017287234,0.0002988485,,0.017287234
University of Dundee,74.9,79.4,,,-4.5,-0.0600801068,0.0036096192,,0.0600801068
University of Oslo,74.8,61.3,,,13.5,0.1804812834,0.0325734937,,0.1804812834
KTH Royal Institute of Technology,74.5,67.7,,,6.8,0.0912751678,0.0083311563,,0.0912751678
The University of Manchester,74.4,79.4,,,-5,-0.0672043011,0.0045164181,,0.0672043011
University of Kansas,74,76.4,,,-2.4,-0.0324324324,0.0010518627,,0.0324324324
Albert-Ludwigs-Universitaet Freiburg,73.6,59.3,,,14.3,0.1942934783,0.0377499557,,0.1942934783
University of Groningen,73.3,81.1,,,-7.8,-0.1064120055,0.0113235149,,0.1064120055
Hankuk (Korea) University of Foreign Studies,72.4,70.7,,,1.7,0.023480663,0.0005513415,,0.023480663
Howard University,72.2,67.6,,,4.6,0.0637119114,0.0040592076,,0.0637119114
"National Technical University of Ukraine ""Kyiv Polytechnic Institute""",72.1,62.1,,,10,0.1386962552,0.0192366512,,0.1386962552
University of Oulu,72.1,61.4,,,10.7,0.1484049931,0.022024042,,0.1484049931
Tulane University,71.7,69.6,,,2.1,0.0292887029,0.0008578281,,0.0292887029
Universidade Federal de SÃ£o Paulo,71.5,74.3,,,-2.8,-0.0391608392,0.0015335713,,0.0391608392
University of Hawai'i at MaÃ±oa,71,67.6,,,3.4,0.0478873239,0.0022931958,,0.0478873239
Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn,70.7,60.3,,,10.4,0.1471004243,0.0216385348,,0.1471004243
Universiti Teknologi Malaysia,70.5,77.9,,,-7.4,-0.104964539,0.0110175544,,0.104964539
University of Virginia,70.5,70.9,,,-0.4,-0.0056737589,3.21915396609838E-005,,0.0056737589
Ewha Womans University,70,78.5,,,-8.5,-0.1214285714,0.014744898,,0.1214285714
Inha University,70,70.9,,,-0.9,-0.0128571429,0.0001653061,,0.0128571429
University of Southampton,69.8,76.6,,,-6.8,-0.0974212034,0.0094908909,,0.0974212034
University of Colorado Boulder,69.7,70.1,,,-0.4,-0.0057388809,3.29347541935191E-005,,0.0057388809
UniversitÃ© de LiÃ¨ge,69.6,48.8,,,20.8,0.2988505747,0.089311666,,0.2988505747
Arabian Gulf University,69.3,73.7,,,-4.4,-0.0634920635,0.0040312421,,0.0634920635
Newcastle University,68.4,61.8,,,6.6,0.0964912281,0.0093105571,,0.0964912281
Kazakh National Pedagogical University named after Abay,68.2,79.8,,,-11.6,-0.1700879765,0.0289299198,,0.1700879765
National Taiwan University of Science and Technology (Taiwan Tech),68.2,74.7,,,-6.5,-0.0953079179,0.0090835992,,0.0953079179
Dongguk University,68,75.2,,,-7.2,-0.1058823529,0.0112110727,,0.1058823529
Universidade Federal de ViÃ§osa-UFV,67.9,56.9,,,11,0.1620029455,0.0262449544,,0.1620029455
UniversitÃ¤t Stuttgart,67.8,64.7,,,3.1,0.0457227139,0.0020905666,,0.0457227139
Sumy State University,67.8,60.8,,,7,0.1032448378,0.0106594965,,0.1032448378
Ben Gurion University of The Negev,67.8,49,,,18.8,0.2772861357,0.076887601,,0.2772861357
Chang Gung University,67.7,74.6,,,-6.9,-0.1019202363,0.0103877346,,0.1019202363
Kazan (Volga region) Federal University,67.5,75.3,,,-7.8,-0.1155555556,0.0133530864,,0.1155555556
Far Eastern Federal University,67.3,75.6,,,-8.3,-0.1233283804,0.0152098894,,0.1233283804
"University of Maryland, College Park",67.3,63.3,,,4,0.059435364,0.0035325625,,0.059435364
University of Bern,67.3,46.3,,,21,0.3120356612,0.0973662539,,0.3120356612
Beihang University (former BUAA),67.2,51.8,,,15.4,0.2291666667,0.0525173611,,0.2291666667
University of Liverpool,67.1,66.8,,,0.3,0.0044709389,1.99892946222131E-005,,0.0044709389
London School of Economics and Political Science (LSE),66.9,65,,,1.9,0.0284005979,0.000806594,,0.0284005979
UniversitÃ© de Sherbrooke,66.6,49.1,,,17.5,0.2627627628,0.0690442695,,0.2627627628
University of Vermont,66.5,72.2,,,-5.7,-0.0857142857,0.0073469388,,0.0857142857
Erasmus University Rotterdam,66.5,65.7,,,0.8,0.0120300752,0.0001447227,,0.0120300752
King Abdullah University of Science & Technology,66.2,77,,,-10.8,-0.163141994,0.0266153102,,0.163141994
Tomsk State University,66.1,74,,,-7.9,-0.119515885,0.0142840468,,0.119515885
The University of Sheffield,66.1,66.3,,,-0.2,-0.0030257186,0.000009155,,0.0030257186
Ajou University,66.1,63.5,,,2.6,0.0393343419,0.0015471905,,0.0393343419
National Chiao Tung University,66,64.9,,,1.1,0.0166666667,0.0002777778,,0.0166666667
Umm Al-Qura University,65.9,64.7,,,1.2,0.0182094082,0.0003315825,,0.0182094082
