# RANK     2014,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
173,Universitat Autònoma de Barcelona,57.5,80,45.7,32.5,20.9,30.4,58.8
173,Universite libre de Bruxelles,57.5,55.3,69.5,41.3,91.2,95,53.8
175,Universidad Nacional Autónoma de México  (UNAM),56.9,93.9,88.4,40.8,15.4,2.9,6.3
175,Chalmers University of Technology,56.9,49.1,86.6,64.8,74.2,42.7,48.1
177,Rheinische Friedrich-Wilhelms-Universität Bonn,56.8,65.2,37.2,70.7,14.7,40.2,49.8
178,Universidad Autónoma de Madrid,56.5,75.2,71.4,45.3,15,17.5,42.2
179,École Normale Supérieure de Lyon,56.3,59.5,27.9,100,51.4,37.1,25.8
179,University of Bath,56.3,50,90.8,37.2,88.2,91.9,53
181,Vrije Universiteit Brussel (VUB),56.2,41.1,60.5,94.9,77.4,70.8,36
182,Alma Mater Studiorum - University of Bologna,55.8,90,56.6,17.9,8.6,18.2,45.3
182,Stockholm University,55.8,81,45.1,51.3,4.6,20.9,36.1
182,University of Colorado Boulder,55.8,54.3,50.4,69.7,39.3,13.7,61.5
182,Vanderbilt University,55.8,49.3,14,100,5.7,28.6,64
186,"University of Illinois, Chicago (UIC)",55.7,55.2,47.5,45.1,58.4,48.2,71.8
187,Queen's University at Kingston,55.5,60.4,65.5,22.4,80.7,26.8,73.9
187,Aalto University,55.5,50.6,61.3,98.4,72,37.1,19.2
189,Case Western Reserve University,55.4,29.7,11.9,96.8,21.9,59.2,93.7
190,Technion - Israel Institute of Technology,55.3,54.6,46,36.1,66.8,10.1,88.4
191,The University of Western Ontario,55.2,56.9,59.1,32,85.3,54.1,65.2
192,Technische Universität Berlin (TU Berlin),54.9,73.7,80.3,46.6,36.7,42.3,20.2
192,Universität Hamburg,54.9,70.9,58.9,46,28.8,36.6,40.4
192,University of Florida,54.9,58.8,35.1,63.9,16.5,25,64.2
195,Michigan State University,54.6,63.5,49.5,27.1,63.3,53.6,64.5
195,Tel Aviv University,54.6,60.2,53.3,14.7,35.6,8.1,99.8
197,Keio University,54.4,70.6,88,59.1,14.3,8.2,21.5
198,Universidad de Buenos Aires (UBA),54.3,94.2,95.7,17.9,27.2,19.2,5
198,University of Tsukuba,54.3,57.9,49.8,83,16.3,29.5,35.8
200,University of Sussex,53.9,52.6,28.1,37.1,87.8,96.6,66.3
200,Georgetown University,53.9,50,66.1,50.6,44.6,54.2,60.4
202,Sapienza University of Rome,53.8,88.5,49.3,8.5,2.5,17.6,53
202,University of Reading,53.8,47.7,67.1,51.3,86.4,89.1,44.2
202,National Chiao Tung University,53.8,45.1,30,66,51.6,54.1,71
205,University of Antwerp,53.6,43.6,41.3,98.1,68.4,49.5,32.2
206,Universidade Estadual de Campinas (Unicamp),53.5,75.4,75.8,33.5,12.6,6.4,39.7
206,University of Gothenburg,53.5,59.5,33,50.7,38.3,14.1,67.6
208,University of Turku,53.4,48.4,58.7,88,37.4,11.4,39.9
209,Université Paris-Sud,53.3,47.9,21.2,76.9,38.3,53.1,59.7
210,Université Paris Diderot - Paris 7,53,68.1,6,21.8,39.8,47.7,81.3
211,University of Leicester,52.7,35.6,35.3,63.3,77.1,97.2,67.1
212,University Complutense Madrid,52.2,79.7,81.5,39.8,4.2,18.9,14.6
212,University of Twente,52.2,42.7,47.5,39.2,74.5,78.1,74.1
214,Tufts University,51.9,29.1,32.6,63.8,47.6,41.7,98.2
215,Université Joseph Fourier - Grenoble 1,51.8,56.5,22.5,45.1,19.7,42.8,73.3
215,The University of Arizona,51.8,55.7,34.8,33.3,24.2,21.4,85.1
217,Universität Frankfurt am Main,51.6,63.1,63.8,36.6,21.7,47.3,45.6
