University,N&S-16,N&S-17,,,,,,,
St George's Hospital Medical School,4.5,3.9,,,0.6,0.1333333333,0.0177777778,,0.1333333333
Federal University of Minas Gerais,4.2,3.9,,,0.3,0.0714285714,0.0051020408,,0.0714285714
Nanjing Medical University,4.2,3.9,,,0.3,0.0714285714,0.0051020408,,0.0714285714
East China University of Science and Technology,3.7,3.8,,,-0.1,-0.027027027,0.0007304602,,0.027027027
Rush University,6.6,3.6,,,3,0.4545454545,0.2066115702,,0.4545454545
The Hong Kong Polytechnic University,3.7,3.6,,,0.1,0.027027027,0.0007304602,,0.027027027
Brunel University,3.7,3.6,,,0.1,0.027027027,0.0007304602,,0.027027027
University of Aveiro,3,3.6,,,-0.6,-0.2,0.04,,0.2
University of Electronic Science and Technology of China,1.5,3.6,,,-2.1,-1.4,1.96,,1.4
University of Minho,4.1,3.5,,,0.6,0.1463414634,0.0214158239,,0.1463414634
Istanbul University,3.5,3.5,,,0,0,0,,0
Nanjing University of Science and Technology,3.3,3.3,,,0,0,0,,0
"University of Science, Malaysia",3.3,3.3,,,0,0,0,,0
City University of Hong Kong,2.1,3.3,,,-1.2,-0.5714285714,0.3265306122,,0.5714285714
Cairo University,3.2,3.1,,,0.1,0.03125,0.0009765625,,0.03125
South China University of Technology,3,2.9,,,0.1,0.0333333333,0.0011111111,,0.0333333333
Central South University,3,2.9,,,0.1,0.0333333333,0.0011111111,,0.0333333333
Indian Institute of Science,2.8,2.8,2.8,2.8,0,0,0,,0
Hunan University,2.4,2.8,,,-0.4,-0.1666666667,0.0277777778,,0.1666666667
Capital Medical University,1.5,2.8,,,-1.3,-0.8666666667,0.7511111111,,0.8666666667
Aristotle University of Thessaloniki,2.1,2.6,,,-0.5,-0.2380952381,0.0566893424,,0.2380952381
Chang Gung University,2.8,2.3,,,0.5,0.1785714286,0.0318877551,,0.1785714286
King Fahd University of Petroleum & Minerals,5.2,2.1,,,3.1,0.5961538462,0.3553994083,,0.5961538462
Shandong University,3.2,1.5,,,1.7,0.53125,0.2822265625,,0.53125
University of Tehran,1.5,1.5,,,0,0,0,,0
,,,,,,,,,
,,,,,,,15.1435434763,,
,,,,,,,0.0332825131,,42.7711570083
,,,,,,,0.1824349559,,0.0940025429
