,Rank,Rank-14
Universitat Autònoma de Barcelona,190,173
University of Calgary,204,171
Vrije Universiteit Amsterdam,176,171
Queen's University Belfast,182,170
University of Waterloo,152,169
Pontificia Universidad Católica de Chile (UC),170,167
National Tsing Hua University,155,167
University of Barcelona,166,166
Texas A&M University,159,165
University of Rochester,190,164
Nanjing University,130,162
The Hong Kong Polytechnic University,116,162
The University of Exeter,161,161
Lancaster University,121,160
University of Otago,173,159
Radboud University,177,156
Emory University,165,156
University of Vienna,153,156
University of Bergen,181,155
Université Catholique de Louvain (UCL),149,154
"University of California, Irvine",163,153
Universiti Malaya (UM),146,151
Wageningen University,135,151
Freie Universitaet Berlin,119,150
RWTH Aachen University,145,147
Eindhoven University of Technology,117,147
University of Science and Technology of China,113,147
Georg-August-University Goettingen,168,146
University of Bern,166,145
Zhejiang University,110,144
Eberhard Karls Universität Tübingen,173,141
University of Virginia,172,141
University of Cape Town,171,141
Sungkyunkwan University (SKKU),118,140
University College Dublin,154,139
The Hebrew University of Jerusalem,148,138
University of Aberdeen,137,137
Dartmouth College,158,136
Hokkaido University,139,135
Humboldt-Universität zu Berlin,126,134
Universidade de São Paulo,143,132
"University of California, Santa Barbara (UCSB)",129,132
University of Southern California,130,131
Ghent University,124,129
Rice University,106,129
Newcastle University,162,127
"KIT, Karlsruhe Institute of Technology",93,127
Kyushu University,142,126
University of Liverpool,151,123
Cardiff University,122,123
Technical University of Denmark,112,123
"University of Maryland, College Park",126,122
Albert-Ludwigs-Universitaet Freiburg,133,121
University of York,103,120
University of Minnesota,123,119
Maastricht University,169,118
University of Basel,139,116
Korea University,104,116
Université Pierre et Marie Curie (UPMC),137,115
Lomonosov Moscow State University,108,114
McMaster University,149,113
Pennsylvania State University,101,112
University of Pittsburgh,133,111
KTH Royal Institute of Technology,92,110
The Ohio State University,99,109
City University of Hong Kong,57,108
Georgia Institute of Technology,84,107
Yonsei University,105,106
University of Lausanne,143,105
Shanghai Jiao Tong University,70,104
Nagoya University,120,103
Purdue University,89,102
University of Oslo,135,101
The University of Adelaide,113,100
Washington University in St. Louis,110,99
Queen Mary University of London,109,98
University of Leeds,87,97
Aarhus University,107,96
"University of California, Davis",85,95
University of Southampton,81,94
The University of Auckland,82,92
Durham University,61,92
Erasmus University Rotterdam,126,90
University of Groningen,100,90
The University of Western Australia,98,89
University of St Andrews,68,88
Pohang University of Science And Technology (POSTECH),87,86
Delft University of Technology,64,86
University of Geneva,89,85
University of Alberta,96,84
Université de Montréal,115,83
KU Leuven,82,82
Uppsala University,102,81
Utrecht University,94,80
University of Texas at Austin,77,79
Boston University,91,78
The University of Nottingham,70,77
National Taiwan University (NTU),70,76
Leiden University,95,75
Tohoku University,74,71
Fudan University,51,71
London School of Economics and Political Science (LSE),35,71
Monash University,67,70
The University of Sheffield,80,69
Tokyo Institute of Technology,56,68
University of Helsinki,96,67
University of Washington,65,65
Carnegie Mellon University,62,65
University of Birmingham,76,64
University of Illinois at Urbana-Champaign,59,63
"University of North Carolina, Chapel Hill",79,62
The University of Warwick,48,61
Lund University,70,60
"University of California, San Diego (UCSD)",44,59
University of Zurich,85,57
Peking University,41,57
University of Glasgow,62,55
Osaka University,58,55
Technische Universität München,60,54
Ludwig-Maximilians-Universität München,75,52
Brown University,49,52
KAIST - Korea Advanced Institute of Science & Technology,43,51
University of Amsterdam,55,50
Ruprecht-Karls-Universitaet Heidelberg,66,49
The University of New South Wales (UNSW Australia),46,48
Tsinghua University,25,47
University of Copenhagen,69,45
University of British Columbia,50,43
The University of Queensland,46,43
University of Wisconsin-Madison,54,41
New York University (NYU),53,41
The Hong Kong University of Science and Technology,28,40
"Nanyang Technological University, Singapore (NTU)",13,39
The University of Sydney,45,37
"University of California, Los Angeles (UCLA)",27,37
Kyoto University,38,36
Ecole Polytechnique,40,35
Northwestern University,32,34
The University of Melbourne,42,33
The University of Tokyo,39,31
Seoul National University,36,31
The University of Manchester,33,30
University of Bristol,37,29
The University of Hong Kong,30,28
"University of California, Berkeley (UCB)",26,27
Duke University,29,25
The Australian National University,19,25
"Ecole normale supérieure, Paris",23,24
University of Michigan,30,23
National University of Singapore (NUS),12,22
McGill University,24,21
University of Toronto,34,20
Cornell University,17,19
The University of Edinburgh,21,17
Columbia University,22,14
Johns Hopkins University,16,14
University of Pennsylvania,18,13
ETH Zurich - Swiss Federal Institute of Technology,9,12
University of Chicago,10,11
Yale University,15,10
Princeton University,11,9
California Institute of Technology (Caltech),5,8
Stanford University,3,7
UCL (University College London),7,5
University of Oxford,6,5
Harvard University,2,4
Imperial College London,8,2
University of Cambridge,3,2
Massachusetts Institute of Technology (MIT),1,1
