University,Teaching-16,Teaching-17,,,B2-C2,D2/B2,,,,ABS()
University of Urbino Carlo BoItaly,17.2,14.1,,,3.1,0.1802325581,0.032483775,,,0.1802325581
Pontifical Catholic University of ValparaÃ­soChile,18.4,14,,,4.4,0.2391304348,0.0571833648,,,0.2391304348
Fu Jen Catholic UniversityTaiwan,14.4,13.8,,,0.6,0.0416666667,0.0017361111,,,0.0416666667
YÄ±ldÄ±z Technical UniversityTurkey,14.5,13.6,,,0.9,0.0620689655,0.0038525565,,,0.0620689655
University of NairobiKenya,13.7,13.6,,,0.1,0.0072992701,5.32793435984865E-005,,,0.0072992701
"Asia University, TaiwanTaiwan",14.4,13.5,,,0.9,0.0625,0.00390625,,,0.0625
I-Shou UniversityTaiwan,12.8,12.7,,,0.1,0.0078125,6.10351562500017E-005,,,0.0078125
Qatar UniversityQatar,9.9,11.6,,,-1.7,-0.1717171717,0.0294867871,,,0.1717171717
Anadolu UniversityTurkey,12.2,10.9,,,1.3,0.106557377,0.0113544746,,,0.106557377
Jordan University of Science and TechnologyJordan,16.4,10.4,,,6,0.3658536585,0.1338488995,,,0.3658536585
,,,,,,,,,,
,,,,,,,9.5615095769,,,59.8726761454
,,,,,,,0.0123533715,,,0.0773548787
,,,,,,,0.1111457221,,,
