University,Industry Income-16,Industry Income-17,,,B2-C2,D2/B2,E2^2,,,
University of G̦ttingenGermany,31.8,34.8,,,-3,-0.0943396226,0.0088999644,,,0.0943396226
Alexandria UniversityEgypt,29.7,34.8,,,-5.1,-0.1717171717,0.0294867871,,,0.1717171717
University of Cergy-PontoiseFrance,28.6,34.8,,,-6.2,-0.2167832168,0.0469949631,,,0.2167832168
Qatar UniversityQatar,55.2,34.7,,,20.5,0.3713768116,0.1379207362,,,0.3713768116
University of SienaItaly,33.2,34.7,,,-1.5,-0.0451807229,0.0020412977,,,0.0451807229
University of WaikatoNew Zealand,30.7,34.7,,,-4,-0.1302931596,0.0169763074,,,0.1302931596
University of the Basque CountrySpain,30.3,34.7,,,-4.4,-0.1452145215,0.0210872572,,,0.1452145215
University of CyprusCyprus,30,34.7,,,-4.7,-0.1566666667,0.0245444444,,,0.1566666667
Universit̩ de SherbrookeCanada,29.6,34.7,,,-5.1,-0.1722972973,0.0296863587,,,0.1722972973
National Chengchi UniversityTaiwan,31.3,34.6,,,-3.3,-0.1054313099,0.0111157611,,,0.1054313099
University of BordeauxFrance,30.6,34.6,,,-4,-0.1307189542,0.017087445,,,0.1307189542
University of CataniaItaly,29.5,34.6,,,-5.1,-0.1728813559,0.0298879632,,,0.1728813559
Ṣo Paulo State University (UNESP)Brazil,40.1,34.5,,,5.6,0.1396508728,0.0195023663,,,0.1396508728
University of TartuEstonia,31.5,34.5,,,-3,-0.0952380952,0.0090702948,,,0.0952380952
University of TurkuFinland,31.2,34.5,,,-3.3,-0.1057692308,0.0111871302,,,0.1057692308
Semmelweis UniversityHungary,30.7,34.5,,,-3.8,-0.1237785016,0.0153211175,,,0.1237785016
University of ValenciaSpain,31.3,34.4,,,-3.1,-0.0990415335,0.0098092254,,,0.0990415335
Concordia UniversityCanada,30.9,34.4,,,-3.5,-0.1132686084,0.0128297777,,,0.1132686084
Boston UniversityUnited States,30.3,34.4,,,-4.1,-0.1353135314,0.0183097518,,,0.1353135314
Aston UniversityUnited Kingdom,34.6,34.3,,,0.3,0.0086705202,7.51779210798912E-005,,,0.0086705202
University of Castilla-La ManchaSpain,29.7,34.3,,,-4.6,-0.1548821549,0.0239884819,,,0.1548821549
Florida State UniversityUnited States,32,34.2,,,-2.2,-0.06875,0.0047265625,,,0.06875
University of HullUnited Kingdom,31.8,34.2,,,-2.4,-0.0754716981,0.0056959772,,,0.0754716981
Kanazawa UniversityJapan,30.4,34.2,,,-3.8,-0.125,0.015625,,,0.125
Miami UniversityUnited States,30.2,34.2,,,-4,-0.1324503311,0.0175430902,,,0.1324503311
Ohio UniversityUnited States,30.1,34.2,,,-4.1,-0.1362126246,0.0185538791,,,0.1362126246
University of Marrakech Cadi AyyadMorocco,29.2,34.2,,,-5,-0.1712328767,0.0293206981,,,0.1712328767
Capital Medical UniversityChina,28.8,34.2,,,-5.4,-0.1875,0.03515625,,,0.1875
University of PalermoItaly,28,34.2,,,-6.2,-0.2214285714,0.0490306122,,,0.2214285714
University of YorkUnited Kingdom,31.1,34.1,,,-3,-0.0964630225,0.0093051147,,,0.0964630225
Deakin UniversityAustralia,30,34.1,,,-4.1,-0.1366666667,0.0186777778,,,0.1366666667
Tokyo Metropolitan UniversityJapan,30.9,34,,,-3.1,-0.1003236246,0.0100648297,,,0.1003236246
University of Wisconsin-MilwaukeeUnited States,29,34,,,-5,-0.1724137931,0.0297265161,,,0.1724137931
Universiti Kebangsaan MalaysiaMalaysia,28.4,34,,,-5.6,-0.1971830986,0.0388811744,,,0.1971830986
Brown UniversityUnited States,31.4,33.9,,,-2.5,-0.0796178344,0.0063389996,,,0.0796178344
