Name,Publications,publication,Citations,h-index
"224. Kumar, Surinder",1,2013,0,1
"235. Mishra, Rajeev Kumar",1,2012,0,1
"252. Pandey, Dhirendra",1,2016,0,1
"271. Rawat, Bhupesh",1,2016,0,1
"287. Shikhar, Abhijat",1,2015,0,1
"295. Singh, Anjali",1,2016,0,1
"304. Singh, Nav Prem",1,2011,0,1
"341. Yadav, Akhilesh Kumar",1,2012,0,1
"50. Parashar, Poonam",6,2017,0,0
"71. Kumar, Pramod",4,2016,0,0
"82. Upadhyay, Pranav",4,2016,0,0
"91. Mamoria, Pushpa",3,2016,0,0
99. Sonam,3,2017,0,0
"100. Tripathi, Chandra Bhusan",3,2017,0,0
"101. Verma, N. M P",3,2013,0,0
"108. Agarwal, Shalini",2,2014,0,0
"124. Kumar, Utkarsh",2,2016,0,0
"126. Kumari, Rima",2,2017,0,0
"126. Kumari, Rima",2,2017,0,0
"130. Mathur, Virendra",2,2016,0,0
"132. Pandey, Gajanan",2,2016,0,0
"140. Saraf, Shubhini A.",2,2017,0,0
"149. Singh, Mahender Pratap",2,2016,0,0
"150. Singh, Manoj Kumar",2,2016,0,0
"152. Singh, Prabhishek",2,2016,0,0
"154. Singh, Vaishali",2,2016,0,0
"155. Sonkar, Priyamvada",2,2015,0,0
"156. Sonker, Sharad Kumar",2,2016,0,0
"161. Ahmad, Shamshad",1,2017,0,0
"164. Arora, Mega",1,2016,0,0
"169. Bala, Madhu",1,2014,0,0
"171. Bhadauriaa, B. S.",1,2014,0,0
"177. Chandra, Ram",1,2017,0,0
"179. Chaturvedi, S. K.",1,2014,0,0
"180. Chaturvedi, Swati",1,2016,0,0
"181. Chaudhary, Pallavi",1,2014,0,0
"182. Chaudhary, Priyanka",1,2016,0,0
"183. Chauhan, K. S.",1,2016,0,0
"190. Gangwar, Nidhi",1,2016,0,0
"191. Garanayak, Satyabrata",1,2015,0,0
"192. Gautam, Manisha",1,2016,0,0
"194. Gautam, Preeti",1,2013,0,0
"195. Gautam, Raju",1,2016,0,0
"198. Goyal, Ashish Kumar",1,2014,0,0
"200. Gupta, Vibha",1,2016,0,0
"202. Kotaiah, Bonthu",1,2015,0,0
"204. Kumar, Ajay",1,2016,0,0
"209. Kumar, Devendra Sudhir",1,2015,0,0
"215. Kumar, Mukesh",1,2014,0,0
"216. Kumar, Narendra",1,2016,0,0
"227. Lodhi, Ram Lal",1,2012,0,0
228. Mahendra,1,2016,0,0
"230. Manral, Chetan",1,2016,0,0
"231. Meher, Surendra",1,2016,0,0
"233. Mishra, K.",1,2014,0,0
"236. Mishra, Rakesh K.",1,2016,0,0
"238. Mishra, Suman S.",1,2012,0,0
"240. Misra, Preeti",1,2011,0,0
"242. Momin, Weena Yancey M",1,2014,0,0
"243. Narander, Kumar",1,2016,0,0
"247. Nigam, Karnika",1,2016,0,0
"250. Pandey, Archana",1,2013,0,0
"251. Pandey, Arya",1,2017,0,0
"253. Pandey, Govind Ji",1,2014,0,0
"256. Pokhrel, Sabita",1,2013,0,0
"258. Prakash, Jai",1,2016,0,0
"259. Prasad, Birendra Nath",1,2013,0,0
"262. Rai, Amit",1,2017,0,0
263. Rajshree,1,2014,0,0
"266. Rani, Asha",1,2016,0,0
"268. Rashmi, Singh",1,2016,0,0
"269. Rastogi, Manoj Kumar",1,2015,0,0
"270. Ravi Kumar, V. M.",1,2012,0,0
"272. Rawat, Sunil Kumar",1,2013,0,0
"276. Sandeep, Singh",1,2015,0,0
"278. Sankhwar, Shweta",1,2016,0,0
"280. Sarraf, S.",1,2013,0,0
"281. Saxena, Vipin",1,2015,0,0
"282. Saxena, Vipin",1,2016,0,0
283. Shalini,1,2015,0,0
"288. Shringar, R.",1,2011,0,0
"289. Shukla, Ankita",1,2016,0,0
"292. Shukla, Preeti",1,2015,0,0
"293. Siddiqui, Sarfaraj Ahmad",1,2015,0,0
"296. Singh, Anjali",1,2016,0,0
"301. Singh, Harsh Deep",1,2014,0,0
"305. Singh, Neelu",1,2017,0,0
"308. Singh, Rashmi",1,2016,0,0
"311. Singh, Sanjay K.",1,2015,0,0
"312. Singh, Sarita",1,2017,0,0
"314. Singh, Vijay K.",1,2016,0,0
"317. Singh, Vineeta",1,2015,0,0
"318. Sonam, Sonam870115@gmail Com",1,2017,0,0
"319. Sonkar, Sharad Kumar",1,2013,0,0
"322. Srivastava, Chandni",1,2017,0,0
"323. Swati, Saxena",1,2016,0,0
"329. Verma, Anjali",1,2016,0,0
"331. Verma, Maya",1,2016,0,0
"333. Verma, Sarita",1,2012,0,0
"334. Verma, Saurabh",1,2016,0,0
"335. Verma, Shilpi",1,2016,0,0
"336. Vikram, Shweta",1,2016,0,0
"337. Vipin, Saxena",1,2016,0,0
"342. Yadav, Alok K.",1,2016,0,0
"344. Yadav, Ashutosh",1,2016,0,0
"345. Yadav, D. K.",1,2013,0,0
"346. Yadav, Sheelu",1,2017,0,0
"347. Yadav, Sneha",1,2016,0,0
"349. Zaidi, Taskeen",1,2015,0,0
