# RANK20182017201620152018,UNIVERSITY,OVERALL SCORE,Academic Reputation,Citations per Faculty,Employer Reputation,Faculty Student,International Faculty,International Students
249,University of Massachusetts Amherst,41.5,51.9,63.1,,,,
=250,Novosibirsk State University,41.3,37.6,,43.6,82.4,,56.3
=250,University of Tsukuba,41.3,42.4,23.8,,70.7,,32
252,University of Miami,41.2,,46.5,,85.8,,46.9
253,Universiti Teknologi Malaysia,41.1,32.8,,38.9,85.9,35.2,51.4
=254,Universidad Nacional de Colombia,40.9,72,,82.7,,,
=254,Universität Frankfurt am Main,40.9,58.5,,58.4,,,38.3
=256,Beijing Normal University,40.6,49.3,44.5,,32,33.3,
=256,Kyung Hee University,40.6,34.7,,61.6,71.4,,28.3
=256,Universidad de los Andes,40.6,66,,77.2,,30.9,
=259,Norwegian University of Science And Technology,40.5,36.4,43.9,47.9,38.4,72,
=259,Royal Holloway University of London,40.5,,63.4,,26.7,98.2,99
=259,Universität Stuttgart,40.5,36.2,48.8,71.7,,35,62
262,Curtin University,40.4,38.7,35,49.1,,100,64.7
263,North Carolina State University,40.3,41.3,46.7,,36,60.8,40
=264,Indian Institute of Technology Madras (IITM),40.2,41.1,67.6,51.6,,,
=264,National Taiwan University of Science and Technology (Taiwan Tech),40.2,30.1,37.1,,79.5,,28.5
=264,Universiti Sains Malaysia (USM),40.2,48.2,,43.8,46.7,27.2,27.5
=267,King Abdulaziz University (KAU),40.1,31.1,,,67.5,98.9,66
=267,University of Dundee,40.1,,25.7,,80.9,87.6,74.8
269,Université Paris 1 Panthéon-Sorbonne,40,63.4,,78.8,,22.2,77.5
=270,Ecole des Ponts ParisTech,39.8,,,82.5,93,,99.7
=270,University of Navarra,39.8,33.3,,85.7,52.2,,55.3
=272,Technische Universität Darmstadt,39.6,,69.6,87.6,,55.5,49.7
=272,University of Surrey,39.6,29.4,47.8,35.6,,95.7,99.1
274,University of East Anglia (UEA),39.5,,49.8,,43.4,82.1,82.7
275,Universitat Politècnica de Catalunya,39.4,42.4,22.3,49.1,55,,30.7
276,University of Turku,39.3,32.8,25.3,33.6,75.2,46.4,
=277,Universitas Indonesia,39.2,48.1,,60.1,44.3,87.1,
=277,University of Strathclyde,39.2,30.4,32.6,63.9,29,87.6,77.7
=279,Dalhousie University,39.1,,68.5,,,100,72.3
=279,University of South Australia,39.1,32,41.9,36.4,29.4,100,65.7
281,Universidad Carlos III de Madrid (UC3M),38.9,37.6,,64.9,68.3,34.4,
282,Wuhan University,38.8,43.9,37.5,57.9,,52.7,
=283,Rutgers University - New Brunswick,38.6,49.1,32,,35.2,26.3,26.4
=283,University College Cork,38.6,37.8,36.7,47.7,,94.8,34.9
=283,University of Gothenburg,38.6,43.5,32.9,,45.8,39.5,33.2
286,Universität Innsbruck,38.5,29.1,,47.6,42.6,97.9,99.1
=287,Linköping University,38.4,27.3,30.4,44.4,70.2,39,
=287,Friedrich-Alexander-Universität Erlangen-Nürnberg,38.4,28.9,97.3,40.2,,23.9,27.4
=289,National Taiwan Normal University,38.3,36.7,,,73,,86
=289,University of Ottawa,38.3,32.6,66,36,,85.1,52.1
291,Bauman Moscow State Technical University,38.2,28,,60.2,99.9,,
292,University of Waikato,38.1,,64.4,,,97.3,79.7
=293,Deakin University,37.9,39.9,38.9,48.9,,96.1,59.6
=293,Indian Institute of Technology Kanpur (IITK),37.9,38.8,73.2,43.8,,,
=293,Université Paris-Sorbonne (Paris IV),37.9,65.8,,47.2,,24.4,48.3
=296,SOAS University of London,37.8,33.7,,,43.1,100,100
=296,Università di Padova,37.8,58,39.6,38.8,,,
=296,Universitat Pompeu Fabra,37.8,37.8,47.7,36.3,,74.8,31.6
=299,Ewha Womans University,37.7,29.8,,,83.6,,45.4
=299,Hong Kong Baptist University,37.7,,52.6,,35.6,100,86.3
=301,"University of California, Santa Cruz",37.6,30.6,94.4,,,24.2,
=301,University of Porto,37.6,45.6,52.8,49.3,,,
303,Université de Strasbourg,37.5,57.4,27.9,,,35.7,50.9
304,Indiana University Bloomington,37.4,53.5,,41.6,,37.6,26.1
=305,Université Paris Diderot - Paris 7,37.3,53.7,38.1,,,21.3,56.5
=305,University of Lisbon,37.3,47.4,37.5,61,,,32.1
307,Politecnico di Torino,37,36,63.8,71.1,,,38.1
=308,"Birkbeck, University of London",36.9,,61.7,,25.9,97.3,99.1
=308,Indian Institute of Technology Kharagpur (IIT-KGP),36.9,31.4,81.8,49.5,,,
=308,Westfälische Wilhelms-Universität Münster,36.9,42,22.2,50.9,43.5,24.6,
311,Universidade Federal do Rio de Janeiro,36.7,67.1,,,,,
312,Heriot-Watt University,36.6,,37.5,46.8,32.9,95.4,98.9
313,University of Tasmania,36.5,,46.2,,31.2,97.3,90.1
=314,Charles University,36.3,48.5,,40.6,37.1,,45.2
=314,University of Tartu,36.3,28.5,,37.9,79.2,,
=316,Massey University,36.2,37.2,,35.6,,96.8,86.6
=316,Tongji University,36.2,36.1,43.8,,,83.2,24.2
318,University at Buffalo SUNY,36.1,,73.3,,,82.9,63.2
=319,Lincoln University,35.9,,33.3,,68.5,95.4,93.2
=319,Sun Yat-sen University,35.9,42.4,31,49.4,28.6,30.6,
=319,Université de Liège,35.9,,78.6,33.9,,,63.8
322,Hiroshima University,35.8,31.4,,,83.8,,
=323,Tomsk State University,35.7,,,,94,22.2,69.4
=323,"University of California, Riverside",35.7,,77.9,35.4,,76.5,
=325,Griffith University,35.6,33.6,40.2,35.8,,98.2,57.5
=325,Harbin Institute of Technology,35.6,,60,,50.3,,
=325,University of Milan,35.6,52.9,41.1,36.4,,,
=325,The Katz School at Yeshiva University,35.6,,65.9,,96.3,,24.2
329,National Yang Ming University,35.5,,37.4,,99.8,,
330,Ecole Normale Supérieure de Cachan,35.4,,31.6,,85,27.5,32
=331,Bandung Institute of Technology (ITB),35.3,52.9,,56.1,31,30.1,
=331,Universidad Austral,35.3,28.8,,51.2,86.4,,
=331,University of Cologne,35.3,43.8,,62.4,33.4,26.7,21.3
=334,Belarusian State University,35.1,28.3,,,92.3,,25.5
=334,Mahidol University,35.1,46.4,,,58,,
336,L.N. Gumilyov Eurasian National University (ENU),35,,,35.7,98.2,31.7,
337,Universidad de Belgrano,34.9,,,47.5,91,,86.5
338,Umea University,34.8,,23.4,,79.9,29,
=339,Boston College,34.7,29.9,43.4,38.2,,94.8,
=339,Gwangju Institute of Science and Technology (GIST),34.7,,100,,37.6,,
=341,Universität Jena,34.6,,,,87.6,,30.3
=341,University of Hawai'i at Mañoa,34.6,,46.2,,56.5,62.2,22.9
343,"City, University of London",34.2,,37.5,48,,98.2,100
=344,Nankai University,34,32.6,58.6,,30.1,19.5,
=344,Xi’an Jiaotong University,34,29.1,38.5,,48.5,28.9,
=346,Brunel University London,33.9,,49.8,,,97.3,99.3
=346,Northeastern University,33.9,,40.1,35.1,25.2,71.8,96.5
=346,University of Victoria,33.9,,74.4,,,82.5,46.1
=349,Qatar University,33.8,,,,59.9,100,99.9
=349,Universiti Brunei Darussalam (UBD),33.8,,,,92.5,100,64.7
351,Kobe University,33.6,33.8,,36.8,61.8,,
=352,Ben Gurion University of The Negev,33.5,,49.2,,,77.1,42.4
=352,George Washington University,33.5,35.3,33.8,37,,36.4,47.8
=352,University of Essex,33.5,,29.9,,,99.9,99.8
=355,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),33.4,,,,98.3,23.7,33.5
=355,Université Paris Dauphine,33.4,28.8,,75.2,30.7,45.6,80.9
=357,Tilburg University,33.3,,74.5,,,82.8,40.5
=357,University Ulm,33.3,,51.2,,63.7,50.9,34.1
=357,University of Jyväskylä,33.3,,,,80.8,42.4,
360,La Trobe University,33.2,29.6,28.5,39.9,,97.3,95.3
=361,Oxford Brookes University,33.1,30.3,,75.6,,65.5,83.9
=361,Stellenbosch University,33.1,34.4,52.9,33.5,,78.2,
=361,Universidade Nova de Lisboa,33.1,34.6,,60.9,35.4,,23.5
=364,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA),33,,,66.9,76.9,,
=364,Rensselaer Polytechnic Institute,33,,78.2,,,26.4,47.7
=364,University of the Witwatersrand,33,34.7,33.7,43.6,,88.3,
=367,James Cook University,32.9,,56.8,,,91.5,96.2
=367,Tokyo Medical and Dental University (TMDU),32.9,,23.9,,100,,
=367,University of the Philippines,32.9,46,,56.6,40.7,,
=367,University of Tromsø The Arctic University of Norway,32.9,,,,96.7,41,29
=367,Virginia Polytechnic Institute and State University,32.9,33.2,44.1,40.4,,19.8,23.4
372,University of St.Gallen (HSG),32.8,,34.9,93.7,,100,95.9
=373,Aston University,32.5,,40.2,54.1,,95.8,87.2
=373,Moscow State Institute of International Relations (MGIMO University),32.5,,,36.9,99.2,,50.1
=373,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),32.5,,,,94.1,39.1,62.3
=373,Universitat Politècnica de València,32.5,,,36.7,65.6,,28.7
=373,University of Kent,32.5,,24.5,,30.8,97.6,89.5
378,Laval University,32.4,31.3,30.8,,27.8,67.1,32.9
379,Aalborg University,32.2,,26.9,47.3,31.9,74.3,42.8
380,Tampere University of Technology,32.1,,24.7,,84.8,34.8,
