"363. Biswas, N. B.",,1,2011,0,0
"364. Bushan Paul, Satya",,1,2013,0,0
"365. Chakrabarty, Nilanjana",,1,2013,0,0
"366. Chakraborty, Arindam",,1,2016,0,19
"367. Chakraborty, Biswajit",,1,2015,3,13
"368. Chakraborty, Nivedita",,1,2011,0,0
"369. Chakraborty, Sekhar",,1,2011,25,1
"370. Chakraborty, Sumana",,1,2014,0,1
"371. Chaudhuri, Biswadeep K.",,1,2013,32,6
"372. Choudhury Dutta, Manabendra",,1,2012,0,0
"373. Choudhury, Arpita Das",,1,2014,2,1
"374. Choudhury, Debangana",,1,2011,5,4
"375. Choudhury, Deepjyoti",,1,2013,0,0
"376. Choudhury, Katyayani Dutta",,1,2012,4,1
"377. Choudhury, Nabajit",,1,2012,0,0
"378. Choudhury, Parthankar",,1,2013,1,1
"379. Choudhury, Prakash Roy",,1,2017,0,1
"380. Choudhury, Sudip",,1,2017,0,0
"381. Chowra, Umakanta",,1,2017,0,0
"382. Das Mitra, Susweta",,1,2014,8,2
"383. Das, Kankana",,1,2011,1,1
"384. Das, Nirupam K.",,1,2016,0,5
"385. Das, Prodipto",,1,2016,0,1
"386. Das, Subhrabaran",,1,2012,0,1
"387. Das, Subrata",,1,2017,0,0
"388. Datta, Suparna",,1,2012,0,0
"389. de Sarkar, Dipikabnath",,1,2013,11,1
"390. De, Aparajita",,1,2012,2,1
"391. Deb, Ishita",,1,2013,3,1
"392. Debbarma, Mrinal Kanti",,1,2013,0,2
"393. Devi, A. Senorita",,1,2014,0,2
"394. Devi, Athokpam Florida",,1,2013,4,1
"395. Devi, Kshetrimayum Miranda",,1,2013,2,1
"396. Devi, Maibam Rasila",,1,2012,0,0
"397. Devi, Ngangom Nganbi",,1,2013,3,1
"398. Devi, Ngangom Priya",,1,2012,2,1
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"399. Devi, Okram Gangarani",,1,2013,0,0
"400. Devi, Salam Rita",,1,2017,0,1
"401. Dey, Mohitosh",,1,2011,42,3
"402. Dhanamanjuri, Wahengbam",,1,2013,2,1
"403. Dibamani Singh, L.",,1,2011,2,1
"404. Dutta, Dipak",,1,2012,1,1
"405. Gang, Sneha",,1,2012,0,1
"406. Ganguli, Sabitri",,1,2013,32,1
"407. Ghosh, Debasish",,1,2016,0,3
"408. Ghosh, Sampreeti K.",,1,2013,10,3
"409. Ghosh, Sankar Kumar",,1,2017,1,1
"410. Gope, Ranabijoy",,1,2012,2,1
"411. Gupta, Sanjay Kumar",,1,2012,3,5
"412. Gupta, Shikha K.",,1,2012,0,22
"413. Gupta, Tapashi R C S",,1,2011,1,2
"414. Hagjer, Sumitra",,1,2012,0,0
"415. Haokip, Pauthang",,1,2011,0,0
"416. Hazarika, Susmita",,1,2015,1,1
"417. Huidrom, Pratibha",,1,2011,2,1
"418. Hussain, Gulzar",,1,2017,0,1
"419. Hussain, M. Faruque",,1,2011,0,3
"420. Hussain, Marine",,1,2013,32,1
"421. Indu, Sharma",,1,2012,0,0
"422. Joylani, S. D.",,1,2011,0,0
"423. Jyoti, Assam Arun",,1,2011,5,1
"424. Kalita, Anamika",,1,2013,12,1
"425. Kausar, Afifa",,1,2014,3,2
"426. Krishnamoorthy, Paramanandham",,1,2014,0,5
"427. Kumar Das, Ashesh",,1,2013,3,1
"428. Kumar, Atmesh",,1,2013,1,1
"429. Kumar, Avinash Suresh",,1,2014,0,6
"430. Kumar, Manish Suresh",,1,2015,1,13
"431. Kumar, Raj Vinoth S",,1,2015,1,23
"432. Kumar, Sanjeev",,1,2017,0,1
"433. Kundu, Shantanu",,1,2013,14,2
"434. Lal, Rattan",,1,2015,0,72
"435. Laskar, Folguni",,1,2012,2,1
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"436. Mazumdar, J. A.",,1,2014,2,1
"437. Mazumdar, Z. U.",,1,2012,4,1
"438. Meetei, Thiyam Churjit",,1,2013,0,0
"439. Mema Devi, O.",,1,2013,0,0
"439. Mema Devi, O.",,1,2013,0,0
"440. Miranda Devi, K. S H",,1,2013,0,0
"441. Mishra, Asmita",,1,2017,0,0
"442. Mishra, Mridusmita",,1,2013,3,3
"443. Mitra, Abhijit",,1,2017,0,1
"444. Mitra, Jayeeta",,1,2013,11,3
"445. Mohanta, Bidhan",,1,2017,0,0
"446. Mohanta, Sagarika",,1,2012,0,0
"447. Nag, Debojyoti",,1,2017,0,0
"448. Nag, Sajal",,1,2012,0,1
"449. Nandi, Manish",,1,2012,3,1
"450. Nandiraju, Rao V S",,1,2013,6,1
"451. Narzary, Rupali",,1,2013,2,1
"452. Nath, Dilip",,1,2012,1,1
"453. Nath, Jay",,1,2015,2,6
"454. Nath, Shikhasmita",,1,2017,0,0
"455. Nath, Shwetosmita",,1,2014,12,3
"456. NathChoudhury, Monisha",,1,2013,32,1
"457. Paikhomba Singha, L.",,1,2013,0,0
"458. Panda, Sanjib Kumar",,1,2012,0,0
"459. Panda, Sanjib Kumar Umar",,1,2014,4,30
"460. Pandey, N.",,1,2011,4,1
"461. Pandey, Piyush",,1,2016,0,1
"462. Pandey, Piyush L.",,1,2012,0,0
"463. Pandey, Priyanka",,1,2016,0,2
"464. Patel, Jatinkumar Vishnubhai",,1,2017,0,0
"465. Pathak, Suryasikha",,1,2012,1,1
"466. Paul, Rimi Subhra",,1,2016,0,3
"467. Paul, Sanjib Kr",,1,2016,0,0
"468. Pegu, Priyanka",,1,2013,1,1
"469. Prasad, Himanshu K.",,1,2012,17,2
"470. Purkayastha, Ayan",,1,2017,0,0
"471. Rabha, Bijuli",,1,2013,32,1
"472. Raghumani Singh, Ch",,1,2011,0,0
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"473. Rahman, Habibar",,1,2014,0,10
"474. Rajbonshi, Reeta",,1,2011,0,0
"475. Rajkumari, Jina",,1,2017,0,0
"476. Ranibala Devi, S.",,1,2013,3,1
"477. Ranjita, I.",,1,2013,0,0
"478. Rasila Devi, Maibam",,1,2013,0,0
"479. Rosalind, T. H.",,1,2013,10,1
"480. Roy, Dolly",,1,2017,0,0
"481. Roy, Sudipta",,1,2015,0,15
"482. Roy, Sudipta",,1,2017,0,0
"483. Saha, Bedabrata",,1,2014,0,10
"484. Sahu, Navajit",,1,2012,0,0
485.,"Saikia, Kumud C.",1,2012,0,0
486.,"Saikia, Rupjyoti",1,2012,0,0
487.,"Sarkar, Kripamoy",1,2012,33,5
488.,"Sarkar, S.",1,2017,0,0
489.,"Sen, Mausumi",1,2013,0,5
490.,"Sen, Shantanu",1,2012,3,1
491.,"Seram, Anil",1,2013,32,1
492.,"Sethi, Laxmi Narayan",1,2017,0,2
493.,"Sharma, Aribam Satish Chandra",1,2013,0,0
494.,"Sharma, Bhavna Indrajit",1,2012,1,1
495.,"Sharma, Bhumika Indrajit",1,2012,0,0
496.,"Sharma, Debdulal P.",1,2014,1,1
497.,"Sharma, Gauri Dutt Utta",1,2012,7,1
498.,"Sharma, Pranjal",1,2013,1,1
499.,"Shil, Sanjib",1,2014,10,1
500.,"Shome, Bibek Ranjan",1,2014,0,10
