University,Alumini-14,Alumini,,,,,,,
University of Marburg,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
University of St Andrews,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
University of Tennessee - Knoxville,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
Jagiellonian University,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
University of North Carolina at Chapel Hill,9.1,8.9,,,0.2,0.021978022,0.0004830335,,0.021978022
Osaka University,9.1,8.9,,,0.2,0.021978022,0.0004830335,,0.021978022
Michigan State University,9.1,8.9,,,0.2,0.021978022,0.0004830335,,0.021978022
Charles University in Prague,9.1,8.9,,,0.2,0.021978022,0.0004830335,,0.021978022
Medical University of Vienna,9.1,8.9,,,0.2,0.021978022,0.0004830335,,0.021978022
University of Missouri - Columbia,9.1,8.9,,,0.2,0.021978022,0.0004830335,,0.021978022
University of Oregon,9.1,8.9,,,0.2,0.021978022,0.0004830335,,0.021978022
Brigham Young University,9.1,8.9,,,0.2,0.021978022,0.0004830335,,0.021978022
University of Saskatchewan,9.1,8.9,,,0.2,0.021978022,0.0004830335,,0.021978022
University of Bristol,7.4,7.3,,,0.1,0.0135135135,0.000182615,,0.0135135135
The University of Glasgow,7.4,7.3,,,0.1,0.0135135135,0.000182615,,0.0135135135
Polytechnic Institute of Milan,7.4,7.3,,,0.1,0.0135135135,0.000182615,,0.0135135135
University of Liege,7.4,7.3,,,0.1,0.0135135135,0.000182615,,0.0135135135
ESPCI ParisTech,7.4,7.3,,,0.1,0.0135135135,0.000182615,,0.0135135135
London School of Hygiene & Tropical Medicine,7.4,7.3,,,0.1,0.0135135135,0.000182615,,0.0135135135
University of Chile,7.4,7.3,,,0.1,0.0135135135,0.000182615,,0.0135135135
University of Graz,7.4,7.3,,,0.1,0.0135135135,0.000182615,,0.0135135135
University of Zurich,5.3,5.1,,,0.2,0.0377358491,0.0014239943,,0.0377358491
Ghent University,5.3,5.1,,,0.2,0.0377358491,0.0014239943,,0.0377358491
Technical University of Denmark,5.3,5.1,,,0.2,0.0377358491,0.0014239943,,0.0377358491
University of Amsterdam,5.3,5.1,,,0.2,0.0377358491,0.0014239943,,0.0377358491
,,,,,,,0.8530941619,,6.6696861818
,,,,,,,0.0043085564,V,0.0336852837
,,,,,,V,0.0656395946,,
