University,PUB-14,PUB,,,,,,,
University of Saskatchewan,32.7,32.3,,,0.4,0.0122324159,0.000149632,,0.0122324159
"University of California, Riverside",32.7,32.2,,,0.5,0.0152905199,0.0002338,,0.0152905199
National Chiao Tung University,34.7,32.1,,,2.6,0.0749279539,0.0056141983,,0.0749279539
University of Wollongong,31.9,32,,,-0.1,-0.0031347962,9.82694745531224E-006,,0.0031347962
The University of Texas Health Science Center at Houston,32.2,31.9,,,0.3,0.0093167702,8.68022067049907E-005,,0.0093167702
The Hong Kong University of Science and Technology,30.1,31.9,,,-1.8,-0.0598006645,0.0035761195,,0.0598006645
University of Notre Dame,32.1,31.8,,,0.3,0.0093457944,8.73438728273216E-005,,0.0093457944
University of Guelph,31.1,31.8,,,-0.7,-0.0225080386,0.0005066118,,0.0225080386
Georgetown University,31.9,31.7,,,0.2,0.0062695925,3.93077898212475E-005,,0.0062695925
Yeshiva University,32.9,31.5,,,1.4,0.0425531915,0.0018107741,,0.0425531915
University of Duesseldorf,31,31.5,,,-0.5,-0.0161290323,0.0002601457,,0.0161290323
University of Twente,32.5,31.4,,,1.1,0.0338461538,0.0011455621,,0.0338461538
Queen's University Belfast,32.4,31.4,,,1,0.0308641975,0.0009525987,,0.0308641975
Hannover Medical School,31.5,31.4,,,0.1,0.0031746032,1.00781053162008E-005,,0.0031746032
University of Aberdeen,31.9,31.3,,,0.6,0.0188087774,0.0003537701,,0.0188087774
London School of Economics and Political Science,30.5,31.2,,,-0.7,-0.0229508197,0.0005267401,,0.0229508197
Stellenbosch University,30.2,31.2,,,-1,-0.0331125828,0.0010964431,,0.0331125828
Hiroshima University,33.1,31.1,,,2,0.0604229607,0.0036509342,,0.0604229607
Eindhoven University of Technology,31.9,31.1,,,0.8,0.0250783699,0.0006289246,,0.0250783699
University of Santiago Compostela,31.8,31.1,,,0.7,0.0220125786,0.0004845536,,0.0220125786
University of Leicester,32.7,31,,,1.7,0.0519877676,0.002702728,,0.0519877676
Trinity College Dublin,32,31,,,1,0.03125,0.0009765625,,0.03125
Washington State University,30,31,,,-1,-0.0333333333,0.0011111111,,0.0333333333
Cairo University,29.7,31,,,-1.3,-0.0437710438,0.0019159043,,0.0437710438
University of Milan - Bicocca,31.4,30.9,,,0.5,0.0159235669,0.00025356,,0.0159235669
University of Ulm,31.3,30.9,,,0.4,0.0127795527,0.000163317,,0.0127795527
University of Delaware,32.2,30.8,,,1.4,0.0434782609,0.0018903592,,0.0434782609
University of Liege,31.5,30.8,,,0.7,0.0222222222,0.0004938272,,0.0222222222
Kobe University,30.9,30.8,,,0.1,0.003236246,1.04732878792635E-005,,0.003236246
University of Giessen,30.9,30.8,,,0.1,0.003236246,1.04732878792635E-005,,0.003236246
Catholic University of Chile,30,30.8,,,-0.8,-0.0266666667,0.0007111111,,0.0266666667
University of Pavia,31.4,30.7,,,0.7,0.0222929936,0.0004969776,,0.0222929936
"University of Science, Malaysia",31.4,30.6,,,0.8,0.025477707,0.0006491136,,0.025477707
University of Duisburg-Essen,30.8,30.6,,,0.2,0.0064935065,4.21656265812107E-005,,0.0064935065
Aalborg University,27.6,30.4,,,-2.8,-0.1014492754,0.0102919555,,0.1014492754
University of Sussex,29,30.3,,,-1.3,-0.0448275862,0.0020095125,,0.0448275862
Lancaster University,29.3,30.1,,,-0.8,-0.0273037543,0.000745495,,0.0273037543
Pohang University of Science and Technology,30.6,29.9,,,0.7,0.022875817,0.000523303,,0.022875817
University of Warsaw,30.6,29.9,,,0.7,0.022875817,0.000523303,,0.022875817
Northeastern University,28.8,29.9,,,-1.1,-0.0381944444,0.0014588156,,0.0381944444
Catholic University of Korea,30.3,29.8,,,0.5,0.0165016502,0.0002723045,,0.0165016502
Catholic University of the Sacred Heart,30.1,29.8,,,0.3,0.0099667774,9.93366519133348E-005,,0.0099667774
University of Kiel,31.2,29.7,,,1.5,0.0480769231,0.0023113905,,0.0480769231
University of Victoria,30.6,29.7,,,0.9,0.0294117647,0.0008650519,,0.0294117647
Chalmers University of Technology,30.2,29.7,,,0.5,0.0165562914,0.0002741108,,0.0165562914
Medical University of South Carolina,29.8,29.7,,,0.1,0.0033557047,1.12607540200895E-005,,0.0033557047
Saint Petersburg State University,28,29.7,,,-1.7,-0.0607142857,0.0036862245,,0.0607142857
Drexel University,28.6,29.5,,,-0.9,-0.0314685315,0.0009902685,,0.0314685315
University of St Andrews,29,29.3,,,-0.3,-0.0103448276,0.0001070155,,0.0103448276
University of Perugia,28.6,29.3,,,-0.7,-0.0244755245,0.0005990513,,0.0244755245
Rice University,30,29.2,,,0.8,0.0266666667,0.0007111111,,0.0266666667
Swedish University of Agricultural Sciences,30,29.1,,,0.9,0.03,0.0009,,0.03
University of Bremen,29.6,29.1,,,0.5,0.0168918919,0.000285336,,0.0168918919
Technical University of Berlin,29.4,29.1,,,0.3,0.0102040816,0.0001041233,,0.0102040816
Chiba University,29,29.1,,,-0.1,-0.0034482759,1.18906064209278E-005,,0.0034482759
Flinders University,28.5,29.1,,,-0.6,-0.0210526316,0.0004432133,,0.0210526316
"University of California, Santa Cruz",29.4,29,,,0.4,0.0136054422,0.0001851081,,0.0136054422
University of Tasmania,27.6,28.9,,,-1.3,-0.0471014493,0.0022185465,,0.0471014493
