University,Teaching,Teaching-16
Simon Fraser UniversityCanada,24.6,23.2
University of Rome IIIItaly,19.3,23.1
Kansas State UniversityUnited States of America,27,22.9
University of SeoulSouth Korea,21,22.8
University of ValenciaSpain,17.9,22.7
Bilkent UniversityTurkey,28,22.6
Bangor UniversityUnited Kingdom,22.4,22.6
University of StirlingUnited Kingdom,21.5,22.6
Hong Kong Baptist UniversityHong Kong,21.2,22.6
Deakin UniversityAustralia,20.1,22.4
Sabancı UniversityTurkey,26,22.3
University of FlorenceItaly,18.1,21.7
University of PisaItaly,22.4,21.6
Aberystwyth UniversityUnited Kingdom,20.7,21.6
Tokyo Metropolitan UniversityJapan,19.6,21.6
Swinburne University of TechnologyAustralia,20.2,21.5
Claude Bernard University Lyon 1France,19.1,21.3
Boğaziçi UniversityTurkey,28.5,21.2
Koç UniversityTurkey,21.6,21.2
"University of the Andes, ColombiaColombia",17.3,21.2
Umeå UniversitySweden,21.2,20.8
University of VictoriaCanada,21.6,20.6
Florida Institute of TechnologyUnited States of America,19.7,20.4
San Diego State UniversityUnited States of America,19.7,20.3
Curtin UniversityAustralia,20.1,20.1
Western Sydney UniversityAustralia,17.8,20.1
Carleton UniversityCanada,24.3,19.9
University of WaikatoNew Zealand,18.6,19.3
Plymouth UniversityUnited Kingdom,18.4,19.3
Istanbul Technical UniversityTurkey,30.2,19.2
University of Southern DenmarkDenmark,19.5,19.2
Murdoch UniversityAustralia,21.2,18.7
University of CreteGreece,19,18.6
University of MacauMacau,17.1,18.5
Aston UniversityUnited Kingdom,19.4,18.4
King Mongkut’s University of Technology ThonburiThailand,16.7,18.2
Isfahan University of TechnologyIran,20.7,18.1
Charles Darwin UniversityAustralia,20.3,17.8
University of FerraraItaly,19.5,17.7
University of Marrakech Cadi AyyadMorocco,16.3,17.4
University of PortsmouthUnited Kingdom,16.1,17.2
Federico Santa María Technical UniversityChile,13,17.2
Norwegian University of Science and TechnologyNorway,33.5,16.3
University of IcelandIceland,14.9,16.2
University of HertfordshireUnited Kingdom,16.2,15.5
