Name,Publications,publication,Citation,h-index
"423. Singh, Chandan P.",13,2016,112,6
"394. Srivastava, Abhijeet",14,2017,109,6
"416. Nair, Rohini Ravindran",13,2015,102,6
"378. Pratap, Chandra Bhan",14,2016,96,6
"341. Pande, Deepti",15,2015,92,6
"455. Malaviya, Paritosh",12,2014,86,6
"332. Dubey, Mrigendra",15,2016,82,6
"424. Singh, Kanhaiya N.",13,2016,81,6
"478. Tripathi, Vishal",12,2016,78,6
"97. Pandey, Gaurav Kumar",30,2016,77,6
"301. Khandai, Prashanta Kumar",16,2016,74,6
"392. Singh, Suryabhan B.",14,2014,74,6
"383. Shrivastava, Alok Kumar",14,2017,70,6
"342. Patel, Ravi R.",15,2017,63,6
"359. Bahadur, Amresh",14,2017,60,6
"483. Garabadu, Debapriya",11,2015,60,6
"330. Bhatt, Pragya",15,2014,54,6
"361. Chaturvedi, T. P.",14,2016,44,6
"459. Mishra, Ravi Bhushan",12,2015,41,6
"469. Singh, Rana Gopal",12,2016,41,6
"211. Singh, Umesh",21,2017,38,6
"442. Dubey, Sarvesh S.",12,2013,38,6
"393. Singh, Triloki",14,2016,30,6
"356. Yadav, Ghanshyam S.",15,2016,25,6
"174. Patne, Shashikant C U",23,2017,21,6
"473. Srivastava, Kartikeya M.",12,2016,19,6
"257. Bhatla, Rajeev",18,2017,13,6
"375. Pathak, Ram Shankar",14,2017,13,6
"432. Tripathi, Pankaj Kumar",13,2016,13,6
"382. Sharma, Vivek G.",14,2016,11,6
"479. Verma, Sharad R.",12,2015,99,5
"419. Rai, Spardha",13,2017,98,5
"285. Jaiswal, Nandini",17,2016,95,5
"331. Bhattacharya, Pallab",15,2016,87,5
"376. Paul, Sudip",14,2015,87,5
"293. Singh, Rahul Pratap",17,2017,84,5
"434. Verma, Yogendra Lal",13,2016,81,5
"430. Srivastava, Neelam",13,2016,80,5
"427. Singh, Rajesh Kumar",13,2015,67,5
"295. Tiwari, Shrikant C.",17,2015,65,5
"350. Singh, Praveen",15,2017,65,5
"178. Singh, Sanjay Kumar",23,2017,64,5
"239. Bohra, Jitendra Singh",19,2016,62,5
"352. Singh, Tej Bali",15,2015,60,5
"371. Naik, Amiya Shankar",14,2016,58,5
"209. Singh, Rajesh Karan",21,2016,56,5
"447. Kapusetti, Govinda",12,2015,55,5
"357. Yadav, Namita K.",15,2014,54,5
"358. Yadav, Ranvijay S.",15,2017,54,5
"422. Singh, Benoy K.",13,2016,54,5
"450. Kumar, Manindra Girish",12,2016,54,5
"364. Kumar, Ashish",14,2017,53,5
"310. Raghuwanshi, Richa",16,2017,50,5
