Column 1,Column 2,Column 3,Column 4
383 32.9,Carleton University,,
384 32.6,Universität Mannheim,,
385 32.5,University of Jordan,,
386 32.3,Universit Paul-Valery Montpellier 3,,
387 31.9,Universiti Utara Malaysia (UUM),,
388 31.6,Universidad de Talca,,
389 31.4,RWTH Aachen University,,
390 31.4,Universidad Metropolitana,,
391 31.3,"University of California, San Diego (UCSD)",,
392 31.2,"University of Maryland, College Park",,
393 31.2,Université Paris-Sorbonne (Paris IV),,
394 31.0,Ritsumeikan University,,
395 30.7,Technische Universität Dresden,,
396 30.6,Friedrich-Alexander-Universität Erlangen-Nürnberg,,
397 30.5,Bogaziçi Üniversitesi,,
398 30.4,Universidad de Buenos Aires (UBA),,
399 30.2,Seoul National University,,
400 30.1,Tufts University,,
